Percentage served,Time in ms
0,31.072
1,71.355
2,93.136
3,116.709
4,125.316
5,136.603
6,141.239
7,149.892
8,154.687
9,158.813
10,162.592
11,169.480
12,172.286
13,176.528
14,181.695
15,188.076
16,192.920
17,195.246
18,201.112
19,204.277
20,206.456
21,209.461
22,212.426
23,214.604
24,217.470
25,219.611
26,223.514
27,226.220
28,228.115
29,231.639
30,235.645
31,237.501
32,241.960
33,243.116
34,246.402
35,250.128
36,253.796
37,255.711
38,256.714
39,260.744
40,263.420
41,266.942
42,269.818
43,273.732
44,276.247
45,278.320
46,279.997
47,284.941
48,289.831
49,295.129
50,300.673
51,305.163
52,309.670
53,315.190
54,320.026
55,324.397
56,326.970
57,331.851
58,335.601
59,339.270
60,342.832
61,347.148
62,349.517
63,353.613
64,357.457
65,361.741
66,366.295
67,372.531
68,376.368
69,379.972
70,383.936
71,388.161
72,392.574
73,397.530
74,399.715
75,405.912
76,412.366
77,415.778
78,422.588
79,426.638
80,432.090
81,439.717
82,445.267
83,453.346
84,462.402
85,474.588
86,483.173
87,497.429
88,508.772
89,524.038
90,528.848
91,542.314
92,559.791
93,570.482
94,589.548
95,602.027
96,639.440
97,674.400
98,867.432
99,922.308
