starttime	seconds	ctime	dtime	ttime	wait
Tue Jan 26 14:38:27 2016	1453815507	0	62	62	60
Tue Jan 26 14:38:25 2016	1453815505	0	115	115	114
Tue Jan 26 14:38:25 2016	1453815505	6	117	123	114
Tue Jan 26 14:38:27 2016	1453815507	0	135	135	110
Tue Jan 26 14:38:25 2016	1453815505	3	136	138	131
Tue Jan 26 14:38:25 2016	1453815505	0	145	145	103
Tue Jan 26 14:38:40 2016	1453815520	0	152	152	150
Tue Jan 26 14:38:27 2016	1453815507	0	157	157	135
Tue Jan 26 14:38:26 2016	1453815506	0	169	169	149
Tue Jan 26 14:38:33 2016	1453815513	0	186	186	184
Tue Jan 26 14:38:33 2016	1453815513	17	175	193	174
Tue Jan 26 14:38:33 2016	1453815513	0	194	195	192
Tue Jan 26 14:38:33 2016	1453815513	36	167	203	165
Tue Jan 26 14:38:33 2016	1453815513	2	203	205	182
Tue Jan 26 14:38:33 2016	1453815513	0	208	208	206
Tue Jan 26 14:38:33 2016	1453815513	16	199	215	193
Tue Jan 26 14:38:33 2016	1453815513	4	211	215	199
Tue Jan 26 14:38:35 2016	1453815515	0	216	216	214
Tue Jan 26 14:38:32 2016	1453815512	0	221	221	199
Tue Jan 26 14:38:25 2016	1453815505	8	215	223	211
Tue Jan 26 14:38:35 2016	1453815515	0	243	243	237
Tue Jan 26 14:38:25 2016	1453815505	2	243	245	240
Tue Jan 26 14:38:30 2016	1453815510	32	213	245	211
Tue Jan 26 14:38:35 2016	1453815515	16	230	246	228
Tue Jan 26 14:38:35 2016	1453815515	2	245	246	230
Tue Jan 26 14:38:25 2016	1453815505	5	244	250	238
Tue Jan 26 14:38:32 2016	1453815512	0	255	255	233
Tue Jan 26 14:38:27 2016	1453815507	0	255	256	253
Tue Jan 26 14:38:30 2016	1453815510	0	267	267	255
Tue Jan 26 14:38:30 2016	1453815510	34	234	269	226
Tue Jan 26 14:38:30 2016	1453815510	0	273	273	271
Tue Jan 26 14:38:35 2016	1453815515	0	273	273	270
Tue Jan 26 14:38:25 2016	1453815505	0	273	273	271
Tue Jan 26 14:38:30 2016	1453815510	40	234	274	229
