Percentage served,Time in ms
0,652.887
1,750.601
2,786.171
3,807.228
4,830.017
5,854.340
6,877.347
7,899.770
8,911.940
9,920.275
10,931.197
11,939.146
12,950.774
13,962.832
14,978.747
15,987.729
16,997.143
17,1011.737
18,1028.215
19,1040.808
20,1054.980
21,1064.256
22,1074.037
23,1081.773
24,1088.162
25,1096.153
26,1105.978
27,1119.848
28,1130.659
29,1147.514
30,1164.884
31,1178.054
32,1191.620
33,1210.563
34,1229.996
35,1237.138
36,1246.498
37,1258.945
38,1270.657
39,1282.977
40,1289.267
41,1299.247
42,1312.972
43,1330.814
44,1345.377
45,1353.551
46,1365.942
47,1385.922
48,1396.268
49,1415.576
50,1430.146
51,1451.295
52,1476.654
53,1512.497
54,1541.263
55,1597.292
56,1631.374
57,1667.938
58,1700.425
59,1740.387
60,1769.989
61,1786.722
62,1812.451
63,1825.382
64,1858.857
65,1879.544
66,2014.521
67,2110.188
68,2155.122
69,2203.114
70,2279.346
71,2305.834
72,2329.764
73,2365.648
74,2445.422
75,2546.329
76,2729.515
77,2921.188
78,3002.910
79,3082.134
80,3209.826
81,3329.755
82,3397.791
83,3441.040
84,3528.429
85,3571.002
86,3624.789
87,3686.313
88,3751.017
89,3820.095
90,3882.150
91,3902.496
92,4051.923
93,4122.257
94,4143.578
95,4174.881
96,4213.765
97,4256.768
98,4844.414
99,5889.782
