Percentage served,Time in ms
0,1015.746
1,1492.591
2,1592.785
3,1633.661
4,1680.221
5,1732.897
6,1790.684
7,1837.062
8,1865.671
9,1909.437
10,1940.023
11,1977.076
12,1996.293
13,2020.412
14,2038.716
15,2052.789
16,2094.039
17,2129.541
18,2171.354
19,2204.912
20,2228.345
21,2265.023
22,2280.223
23,2293.635
24,2309.663
25,2327.360
26,2351.997
27,2378.395
28,2397.045
29,2416.802
30,2434.486
31,2463.604
32,2486.980
33,2511.492
34,2548.090
35,2606.053
36,2621.406
37,2652.159
38,2677.380
39,2708.363
40,2743.789
41,2771.471
42,2792.287
43,2806.491
44,2841.230
45,2862.525
46,2899.595
47,2921.469
48,2951.945
49,2987.671
50,3019.596
51,3042.039
52,3079.614
53,3100.447
54,3161.685
55,3215.283
56,3228.871
57,3278.696
58,3313.307
59,3343.486
60,3373.150
61,3443.405
62,3472.254
63,3523.036
64,3588.906
65,3704.070
66,3877.613
67,4097.999
68,4176.898
69,4316.479
70,4359.141
71,4495.635
72,4642.223
73,5351.838
74,5474.584
75,5710.111
76,5764.784
77,5882.695
78,5967.162
79,5979.392
80,6004.900
81,6102.190
82,6319.529
83,6476.504
84,6812.263
85,7145.195
86,7346.636
87,7531.438
88,7746.772
89,8287.257
90,9347.021
91,10039.958
92,10859.293
93,11157.556
94,11841.255
95,12001.877
96,12118.829
97,12480.311
98,12644.405
99,13010.837
