starttime	seconds	ctime	dtime	ttime	wait
Fri Jan 22 13:13:01 2016	1453464781	0	1190	1190	1187
Fri Jan 22 13:13:09 2016	1453464789	0	1609	1609	1601
Fri Jan 22 13:13:09 2016	1453464789	0	1630	1630	1623
Fri Jan 22 13:13:08 2016	1453464788	0	1689	1689	1681
Fri Jan 22 13:13:12 2016	1453464792	0	1698	1699	1692
Fri Jan 22 13:13:13 2016	1453464793	0	1703	1703	1700
Fri Jan 22 13:13:13 2016	1453464793	0	1712	1712	1693
Fri Jan 22 13:13:13 2016	1453464793	0	1720	1720	1718
Fri Jan 22 13:13:09 2016	1453464789	0	1722	1722	1704
Fri Jan 22 13:13:12 2016	1453464792	0	1729	1729	1727
Fri Jan 22 13:13:08 2016	1453464788	0	1739	1739	1736
Fri Jan 22 13:13:08 2016	1453464788	0	1741	1741	1738
Fri Jan 22 13:13:08 2016	1453464788	0	1741	1741	1738
Fri Jan 22 13:13:13 2016	1453464793	0	1768	1768	1754
Fri Jan 22 13:13:12 2016	1453464792	0	1772	1772	1727
Fri Jan 22 13:13:08 2016	1453464788	0	1792	1792	1788
Fri Jan 22 13:13:12 2016	1453464792	0	1792	1792	1776
Fri Jan 22 13:13:05 2016	1453464785	0	1795	1795	1793
Fri Jan 22 13:13:12 2016	1453464792	0	1796	1796	1791
Fri Jan 22 13:13:08 2016	1453464788	0	1805	1805	1800
Fri Jan 22 13:13:05 2016	1453464785	0	1824	1824	1821
Fri Jan 22 13:13:08 2016	1453464788	0	1831	1831	1828
Fri Jan 22 13:13:12 2016	1453464792	0	1832	1833	1822
Fri Jan 22 13:13:08 2016	1453464788	0	1834	1834	1832
Fri Jan 22 13:13:12 2016	1453464792	0	1895	1895	1892
Fri Jan 22 13:13:08 2016	1453464788	0	1909	1909	1893
Fri Jan 22 13:13:13 2016	1453464793	0	1911	1911	1908
Fri Jan 22 13:13:13 2016	1453464793	2	1923	1925	1920
Fri Jan 22 13:13:12 2016	1453464792	0	1941	1941	1925
Fri Jan 22 13:13:12 2016	1453464792	0	1959	1959	1943
Fri Jan 22 13:13:12 2016	1453464792	0	1978	1978	1975
Fri Jan 22 13:13:12 2016	1453464792	0	1985	1985	1982
Fri Jan 22 13:13:12 2016	1453464792	0	1993	1993	1991
Fri Jan 22 13:13:05 2016	1453464785	0	2010	2011	1994
Fri Jan 22 13:13:12 2016	1453464792	0	2017	2017	1975
Fri Jan 22 13:13:09 2016	1453464789	0	2019	2019	2014
