Percentage served,Time in ms
0,1110.268
1,2287.887
2,2326.375
3,2504.105
4,2582.130
5,2915.562
6,3035.288
7,3393.837
8,3609.565
9,3647.279
10,3740.901
11,3791.287
12,3995.282
13,4082.073
14,4150.424
15,4273.988
16,4364.198
17,4475.584
18,4566.459
19,4682.274
20,4772.195
21,4866.977
22,5016.819
23,5108.088
24,5221.125
25,5286.077
26,5414.008
27,5494.072
28,5578.945
29,5636.098
30,5753.307
31,5828.120
32,5917.214
33,6065.038
34,6152.890
35,6198.365
36,6198.740
37,6321.741
38,6477.713
39,6557.559
40,6601.583
41,6681.657
42,6754.033
43,6846.593
44,6933.538
45,7012.042
46,7108.574
47,7229.732
48,7346.358
49,7507.177
50,7602.912
51,7680.854
52,7830.427
53,7935.342
54,8004.549
55,8147.407
56,8223.828
57,8328.093
58,8442.764
59,8542.943
60,8659.949
61,8716.229
62,8809.340
63,8995.801
64,9090.930
65,9198.001
66,9334.230
67,9455.724
68,9642.374
69,9786.452
70,9964.660
71,10016.887
72,10153.887
73,10335.994
74,10449.832
75,10545.114
76,10608.619
77,10742.962
78,10879.699
79,11024.432
80,11103.178
81,11246.979
82,11390.255
83,11523.084
84,11669.888
85,11836.549
86,12055.743
87,12287.152
88,12393.557
89,12667.872
90,13048.753
91,13240.803
92,13592.060
93,13950.648
94,14217.675
95,14544.541
96,14950.786
97,15505.155
98,16105.357
99,17151.000
100,19690.409
