Percentage served,Time in ms
0,154.781
1,205.053
2,264.195
3,282.220
4,309.199
5,321.687
6,329.890
7,333.440
8,335.597
9,338.292
10,339.977
11,342.383
12,344.685
13,345.620
14,346.459
15,347.771
16,348.658
17,350.508
18,352.444
19,355.103
20,356.578
21,358.210
22,360.028
23,360.892
24,362.683
25,363.796
26,365.007
27,365.704
28,366.938
29,368.797
30,369.688
31,371.899
32,373.134
33,374.500
34,375.615
35,376.889
36,377.771
37,378.807
38,379.784
39,381.526
40,382.480
41,383.422
42,385.218
43,386.264
44,388.226
45,390.090
46,391.929
47,393.142
48,394.923
49,396.521
50,398.402
51,399.244
52,400.925
53,402.509
54,404.366
55,405.482
56,406.715
57,408.555
58,410.276
59,411.671
60,414.299
61,417.566
62,419.772
63,421.851
64,423.821
65,425.700
66,427.344
67,429.232
68,430.248
69,432.552
70,435.358
71,437.355
72,440.090
73,442.124
74,444.822
75,447.287
76,449.837
77,460.191
78,468.600
79,490.521
80,505.108
81,512.169
82,516.474
83,521.548
84,533.347
85,548.973
86,553.779
87,556.690
88,561.125
89,565.978
90,586.588
91,613.518
92,648.596
93,670.881
94,698.692
95,898.202
96,1052.989
97,1166.394
98,1271.222
99,1390.261
