starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 21 23:03:34 2016	0	10	888	898	886
Thu Jan 21 23:03:34 2016	0	4	895	899	894
Thu Jan 21 23:03:34 2016	0	9	890	899	884
Thu Jan 21 23:03:34 2016	0	3	897	899	888
Thu Jan 21 23:03:34 2016	0	5	926	931	925
Thu Jan 21 23:03:34 2016	0	3	935	937	922
Thu Jan 21 23:03:34 2016	0	4	984	988	983
Thu Jan 21 23:03:34 2016	0	4	1012	1016	1011
Thu Jan 21 23:03:34 2016	0	6	1020	1026	1020
Thu Jan 21 23:03:34 2016	0	10	1032	1041	1025
Thu Jan 21 23:03:34 2016	0	6	1047	1053	1046
Thu Jan 21 23:03:34 2016	0	10	1060	1070	1060
Thu Jan 21 23:03:34 2016	0	9	1083	1092	1083
Thu Jan 21 23:03:34 2016	0	3	1091	1094	1091
Thu Jan 21 23:03:34 2016	0	11	1095	1106	1094
Thu Jan 21 23:03:34 2016	0	4	1114	1118	1113
Thu Jan 21 23:03:34 2016	0	11	1121	1131	1120
Thu Jan 21 23:03:34 2016	0	5	1132	1137	1132
Thu Jan 21 23:03:34 2016	0	11	1141	1153	1141
Thu Jan 21 23:03:34 2016	0	5	1152	1157	1146
Thu Jan 21 23:03:34 2016	0	6	1161	1166	1151
Thu Jan 21 23:03:34 2016	0	2	1170	1173	1170
Thu Jan 21 23:03:34 2016	0	6	1185	1191	1184
Thu Jan 21 23:03:34 2016	0	8	1185	1193	1184
Thu Jan 21 23:03:34 2016	0	6	1201	1208	1201
Thu Jan 21 23:03:34 2016	0	9	1208	1216	1207
Thu Jan 21 23:03:34 2016	0	11	1214	1225	1213
Thu Jan 21 23:03:34 2016	0	10	1238	1249	1237
Thu Jan 21 23:03:34 2016	0	7	1252	1259	1251
Thu Jan 21 23:03:34 2016	0	6	1258	1264	1254
Thu Jan 21 23:03:34 2016	0	11	1261	1271	1260
Thu Jan 21 23:03:34 2016	0	3	1278	1281	1277
Thu Jan 21 23:03:34 2016	0	9	1280	1289	1280
Thu Jan 21 23:03:34 2016	0	4	1299	1303	1298
Thu Jan 21 23:03:34 2016	0	5	1312	1317	1311
Thu Jan 21 23:03:34 2016	0	9	1308	1317	1305
Thu Jan 21 23:03:34 2016	0	7	1326	1333	1325
Thu Jan 21 23:03:34 2016	0	5	1341	1346	1340
Thu Jan 21 23:03:34 2016	0	7	1351	1358	1350
Thu Jan 21 23:03:34 2016	0	10	1362	1372	1360
Thu Jan 21 23:03:34 2016	0	11	1379	1390	1377
Thu Jan 21 23:03:34 2016	0	2	1392	1394	1391
Thu Jan 21 23:03:34 2016	0	5	1403	1409	1403
Thu Jan 21 23:03:34 2016	0	8	1408	1416	1406
Thu Jan 21 23:03:34 2016	0	10	1422	1432	1413
Thu Jan 21 23:03:34 2016	0	3	1430	1433	1428
Thu Jan 21 23:03:34 2016	0	4	1430	1434	1428
Thu Jan 21 23:03:34 2016	0	11	1430	1442	1430
Thu Jan 21 23:03:34 2016	0	9	1437	1447	1437
Thu Jan 21 23:03:34 2016	0	11	1446	1457	1446
Thu Jan 21 23:03:35 2016	1	0	568	568	566
Thu Jan 21 23:03:35 2016	1	0	641	641	640
Thu Jan 21 23:03:35 2016	1	0	654	654	653
Thu Jan 21 23:03:35 2016	1	0	654	654	653
Thu Jan 21 23:03:35 2016	1	0	659	659	658
Thu Jan 21 23:03:35 2016	1	0	661	661	661
Thu Jan 21 23:03:35 2016	1	0	665	665	665
Thu Jan 21 23:03:35 2016	1	0	670	670	670
Thu Jan 21 23:03:35 2016	1	0	671	671	670
Thu Jan 21 23:03:35 2016	1	0	678	678	674
Thu Jan 21 23:03:35 2016	1	0	680	680	679
Thu Jan 21 23:03:35 2016	1	0	683	683	682
Thu Jan 21 23:03:35 2016	1	0	686	686	685
Thu Jan 21 23:03:35 2016	1	0	688	688	688
Thu Jan 21 23:03:35 2016	1	0	690	690	689
Thu Jan 21 23:03:35 2016	1	0	690	691	690
Thu Jan 21 23:03:35 2016	1	0	691	691	689
Thu Jan 21 23:03:35 2016	1	0	698	698	696
Thu Jan 21 23:03:35 2016	1	0	699	699	696
Thu Jan 21 23:03:35 2016	1	0	700	700	699
Thu Jan 21 23:03:35 2016	1	0	709	709	709
Thu Jan 21 23:03:35 2016	1	0	718	718	717
Thu Jan 21 23:03:35 2016	1	0	729	729	728
Thu Jan 21 23:03:35 2016	1	0	766	766	766
Thu Jan 21 23:03:35 2016	1	0	770	770	769
Thu Jan 21 23:03:35 2016	1	0	784	784	783
Thu Jan 21 23:03:35 2016	1	0	786	786	785
Thu Jan 21 23:03:35 2016	1	0	787	787	787
Thu Jan 21 23:03:36 2016	2	0	394	394	392
Thu Jan 21 23:03:36 2016	2	0	397	397	396
Thu Jan 21 23:03:36 2016	2	0	399	399	398
Thu Jan 21 23:03:36 2016	2	0	399	399	399
Thu Jan 21 23:03:36 2016	2	0	402	402	401
Thu Jan 21 23:03:36 2016	2	0	402	403	402
Thu Jan 21 23:03:36 2016	2	0	406	406	405
Thu Jan 21 23:03:36 2016	2	0	407	407	407
Thu Jan 21 23:03:36 2016	2	0	408	408	407
Thu Jan 21 23:03:36 2016	2	0	408	408	408
Thu Jan 21 23:03:36 2016	2	0	409	410	409
Thu Jan 21 23:03:36 2016	2	0	410	410	408
Thu Jan 21 23:03:36 2016	2	0	410	410	409
Thu Jan 21 23:03:36 2016	2	0	411	411	410
Thu Jan 21 23:03:36 2016	2	0	412	412	411
Thu Jan 21 23:03:36 2016	2	0	413	413	412
Thu Jan 21 23:03:36 2016	2	0	414	414	413
Thu Jan 21 23:03:36 2016	2	0	418	418	417
Thu Jan 21 23:03:36 2016	2	0	419	419	418
Thu Jan 21 23:03:36 2016	2	0	421	421	420
Thu Jan 21 23:03:36 2016	2	0	421	421	421
Thu Jan 21 23:03:36 2016	2	0	422	422	421
Thu Jan 21 23:03:36 2016	2	0	422	422	419
Thu Jan 21 23:03:36 2016	2	0	422	422	422
Thu Jan 21 23:03:36 2016	2	0	422	422	419
Thu Jan 21 23:03:36 2016	2	0	422	422	422
Thu Jan 21 23:03:36 2016	2	0	424	424	423
Thu Jan 21 23:03:36 2016	2	0	424	424	423
Thu Jan 21 23:03:36 2016	2	0	424	424	424
Thu Jan 21 23:03:36 2016	2	0	424	425	424
Thu Jan 21 23:03:36 2016	2	0	425	425	425
Thu Jan 21 23:03:36 2016	2	0	425	425	425
Thu Jan 21 23:03:36 2016	2	0	426	426	425
Thu Jan 21 23:03:36 2016	2	0	426	426	426
Thu Jan 21 23:03:36 2016	2	0	426	427	426
Thu Jan 21 23:03:36 2016	2	0	429	429	428
Thu Jan 21 23:03:36 2016	2	0	429	429	428
Thu Jan 21 23:03:36 2016	2	0	430	430	429
Thu Jan 21 23:03:36 2016	2	0	431	431	431
Thu Jan 21 23:03:36 2016	2	0	432	432	431
Thu Jan 21 23:03:36 2016	2	0	433	433	433
Thu Jan 21 23:03:36 2016	2	0	434	435	432
Thu Jan 21 23:03:36 2016	2	0	435	436	435
Thu Jan 21 23:03:36 2016	2	0	436	436	434
Thu Jan 21 23:03:36 2016	2	0	438	438	437
Thu Jan 21 23:03:36 2016	2	0	439	439	438
Thu Jan 21 23:03:36 2016	2	0	440	440	433
Thu Jan 21 23:03:36 2016	2	0	441	441	441
Thu Jan 21 23:03:36 2016	2	0	442	442	441
Thu Jan 21 23:03:36 2016	2	0	445	445	444
Thu Jan 21 23:03:36 2016	2	0	445	445	445
Thu Jan 21 23:03:36 2016	2	0	446	446	446
Thu Jan 21 23:03:36 2016	2	0	543	543	543
Thu Jan 21 23:03:36 2016	2	0	548	549	548
Thu Jan 21 23:03:36 2016	2	0	549	549	548
Thu Jan 21 23:03:36 2016	2	0	551	551	550
Thu Jan 21 23:03:36 2016	2	0	551	551	549
Thu Jan 21 23:03:36 2016	2	0	553	553	547
Thu Jan 21 23:03:36 2016	2	0	554	554	553
Thu Jan 21 23:03:36 2016	2	0	555	555	555
