starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 21 22:59:02 2016	1453413542	0	223	223	222
Thu Jan 21 22:59:02 2016	1453413542	0	241	241	240
Thu Jan 21 22:59:02 2016	1453413542	0	245	245	244
Thu Jan 21 22:59:02 2016	1453413542	0	246	246	245
Thu Jan 21 22:59:02 2016	1453413542	0	251	251	251
Thu Jan 21 22:59:02 2016	1453413542	0	266	266	266
Thu Jan 21 22:59:02 2016	1453413542	0	275	275	275
Thu Jan 21 22:59:02 2016	1453413542	0	276	276	275
Thu Jan 21 22:59:01 2016	1453413541	0	282	282	281
Thu Jan 21 22:59:02 2016	1453413542	0	288	288	287
Thu Jan 21 22:59:02 2016	1453413542	0	291	291	290
Thu Jan 21 22:59:01 2016	1453413541	0	301	301	300
Thu Jan 21 22:59:01 2016	1453413541	0	310	310	308
Thu Jan 21 22:59:02 2016	1453413542	0	314	314	313
Thu Jan 21 22:59:01 2016	1453413541	0	319	319	318
Thu Jan 21 22:59:02 2016	1453413542	0	326	326	325
Thu Jan 21 22:58:58 2016	1453413538	0	336	336	335
Thu Jan 21 22:58:58 2016	1453413538	0	341	341	338
Thu Jan 21 22:59:01 2016	1453413541	1	349	349	348
Thu Jan 21 22:59:02 2016	1453413542	0	349	349	348
Thu Jan 21 22:59:01 2016	1453413541	0	356	356	356
Thu Jan 21 22:59:02 2016	1453413542	0	359	359	358
Thu Jan 21 22:58:52 2016	1453413532	0	365	365	365
Thu Jan 21 22:58:58 2016	1453413538	0	367	367	366
Thu Jan 21 22:59:02 2016	1453413542	0	367	367	366
Thu Jan 21 22:59:02 2016	1453413542	0	368	369	367
Thu Jan 21 22:59:01 2016	1453413541	0	372	372	371
Thu Jan 21 22:58:58 2016	1453413538	0	373	373	372
Thu Jan 21 22:59:02 2016	1453413542	0	376	376	375
Thu Jan 21 22:58:52 2016	1453413532	0	377	377	376
Thu Jan 21 22:59:02 2016	1453413542	0	378	378	377
Thu Jan 21 22:59:02 2016	1453413542	0	381	381	380
Thu Jan 21 22:58:57 2016	1453413537	0	384	384	383
Thu Jan 21 22:59:02 2016	1453413542	1	383	384	382
Thu Jan 21 22:58:52 2016	1453413532	0	384	384	382
Thu Jan 21 22:58:58 2016	1453413538	1	391	391	390
Thu Jan 21 22:58:53 2016	1453413533	0	391	391	391
Thu Jan 21 22:58:58 2016	1453413538	0	393	393	391
Thu Jan 21 22:58:57 2016	1453413537	0	397	397	393
Thu Jan 21 22:58:58 2016	1453413538	0	397	397	396
Thu Jan 21 22:58:53 2016	1453413533	0	397	397	396
Thu Jan 21 22:58:55 2016	1453413535	1	398	399	395
Thu Jan 21 22:58:52 2016	1453413532	0	399	399	398
Thu Jan 21 22:58:58 2016	1453413538	0	400	400	399
Thu Jan 21 22:58:58 2016	1453413538	0	400	400	399
Thu Jan 21 22:58:55 2016	1453413535	0	400	401	400
