Percentage served,Time in ms
0,311.752
1,486.181
2,547.574
3,574.423
4,625.644
5,680.691
6,728.181
7,770.401
8,798.309
9,842.790
10,888.969
11,902.323
12,923.708
13,935.030
14,946.957
15,963.664
16,974.734
17,999.421
18,1018.565
19,1034.991
20,1056.004
21,1072.895
22,1086.600
23,1105.671
24,1120.542
25,1142.561
26,1153.065
27,1171.136
28,1183.857
29,1196.282
30,1206.567
31,1226.135
32,1237.187
33,1247.511
34,1258.224
35,1272.636
36,1280.206
37,1294.482
38,1313.193
39,1325.683
40,1344.028
41,1359.205
42,1384.383
43,1398.431
44,1416.101
45,1424.933
46,1441.838
47,1452.291
48,1460.925
49,1488.666
50,1501.884
51,1520.024
52,1528.536
53,1536.629
54,1543.181
55,1550.787
56,1563.680
57,1577.075
58,1584.703
59,1593.120
60,1605.009
61,1614.656
62,1628.828
63,1643.594
64,1650.220
65,1659.547
66,1679.958
67,1688.701
68,1698.965
69,1708.951
70,1715.839
71,1728.073
72,1739.161
73,1751.934
74,1762.661
75,1772.803
76,1785.498
77,1802.365
78,1820.888
79,1846.600
80,1871.242
81,1900.216
82,1917.270
83,1943.334
84,1957.403
85,1983.547
86,2015.692
87,2049.592
88,2069.329
89,2128.110
90,2154.851
91,2181.347
92,2236.357
93,2291.842
94,2358.751
95,2475.101
96,2607.034
97,3029.390
98,3237.184
99,3428.533
