starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 21 23:14:47 2016	1453414487	0	199	199	177
Thu Jan 21 23:14:47 2016	1453414487	0	199	199	198
Thu Jan 21 23:14:47 2016	1453414487	0	222	222	189
Thu Jan 21 23:14:47 2016	1453414487	0	227	227	227
Thu Jan 21 23:14:47 2016	1453414487	0	263	263	262
Thu Jan 21 23:14:47 2016	1453414487	0	270	270	269
Thu Jan 21 23:14:47 2016	1453414487	0	277	277	274
Thu Jan 21 23:14:47 2016	1453414487	0	283	283	283
Thu Jan 21 23:14:46 2016	1453414486	0	296	296	291
Thu Jan 21 23:14:46 2016	1453414486	0	300	300	296
Thu Jan 21 23:14:46 2016	1453414486	0	306	306	306
Thu Jan 21 23:14:46 2016	1453414486	0	315	315	313
Thu Jan 21 23:14:41 2016	1453414481	0	331	331	330
Thu Jan 21 23:14:41 2016	1453414481	0	340	340	338
Thu Jan 21 23:14:46 2016	1453414486	0	341	341	340
Thu Jan 21 23:14:46 2016	1453414486	0	341	341	340
Thu Jan 21 23:14:46 2016	1453414486	0	349	349	348
Thu Jan 21 23:14:46 2016	1453414486	0	350	350	348
Thu Jan 21 23:14:46 2016	1453414486	0	369	369	368
Thu Jan 21 23:14:46 2016	1453414486	0	369	369	367
Thu Jan 21 23:14:46 2016	1453414486	0	374	375	374
Thu Jan 21 23:14:44 2016	1453414484	0	383	383	381
Thu Jan 21 23:14:43 2016	1453414483	0	383	383	383
Thu Jan 21 23:14:37 2016	1453414477	0	384	384	383
Thu Jan 21 23:14:43 2016	1453414483	0	387	387	386
Thu Jan 21 23:14:46 2016	1453414486	0	388	388	387
Thu Jan 21 23:14:43 2016	1453414483	0	392	392	391
Thu Jan 21 23:14:42 2016	1453414482	0	394	394	393
Thu Jan 21 23:14:44 2016	1453414484	1	394	395	394
Thu Jan 21 23:14:44 2016	1453414484	0	395	395	394
Thu Jan 21 23:14:43 2016	1453414483	0	396	396	395
Thu Jan 21 23:14:45 2016	1453414485	0	396	396	392
Thu Jan 21 23:14:44 2016	1453414484	0	399	399	398
Thu Jan 21 23:14:45 2016	1453414485	0	399	399	399
Thu Jan 21 23:14:43 2016	1453414483	0	400	400	399
Thu Jan 21 23:14:44 2016	1453414484	0	401	401	400
Thu Jan 21 23:14:42 2016	1453414482	0	401	401	397
Thu Jan 21 23:14:41 2016	1453414481	0	401	401	400
Thu Jan 21 23:14:46 2016	1453414486	0	402	402	378
Thu Jan 21 23:14:41 2016	1453414481	0	402	402	401
Thu Jan 21 23:14:37 2016	1453414477	0	405	405	404
Thu Jan 21 23:14:44 2016	1453414484	0	405	405	404
Thu Jan 21 23:14:41 2016	1453414481	0	406	407	405
Thu Jan 21 23:14:41 2016	1453414481	0	407	407	406
Thu Jan 21 23:14:44 2016	1453414484	0	409	409	408
Thu Jan 21 23:14:45 2016	1453414485	0	410	410	408
Thu Jan 21 23:14:45 2016	1453414485	0	410	410	409
