Percentage served,Time in ms
0,420.005
1,478.670
2,559.278
3,584.890
4,608.529
5,622.844
6,637.538
7,649.306
8,661.527
9,676.819
10,683.675
11,695.450
12,704.106
13,712.438
14,720.615
15,730.079
16,737.180
17,744.405
18,747.852
19,750.631
20,755.075
21,760.275
22,764.478
23,767.291
24,770.486
25,772.458
26,777.129
27,779.984
28,784.394
29,786.000
30,793.686
31,797.747
32,803.611
33,809.942
34,812.548
35,817.791
36,821.627
37,825.438
38,829.418
39,837.175
40,841.079
41,846.748
42,852.116
43,855.055
44,858.672
45,864.412
46,868.145
47,873.431
48,877.540
49,882.681
50,888.142
51,891.342
52,893.614
53,896.649
54,898.756
55,902.629
56,906.274
57,909.518
58,914.835
59,920.060
60,924.156
61,925.399
62,929.951
63,934.563
64,946.877
65,951.662
66,959.426
67,967.685
68,979.386
69,989.736
70,1003.577
71,1014.476
72,1022.137
73,1027.849
74,1035.642
75,1043.020
76,1054.627
77,1061.552
78,1072.506
79,1084.220
80,1099.557
81,1105.715
82,1112.302
83,1125.133
84,1164.581
85,1195.837
86,1221.565
87,1230.749
88,1248.038
89,1293.287
90,1323.253
91,1352.539
92,1410.672
93,1432.831
94,1503.511
95,1670.403
96,1845.480
97,2310.206
98,2533.455
99,2860.605
