starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 21 23:27:33 2016	0	119	3233	3352	3226
Thu Jan 21 23:27:33 2016	0	134	3228	3363	3200
Thu Jan 21 23:27:33 2016	0	1	3362	3363	3339
Thu Jan 21 23:27:33 2016	0	146	3258	3403	3251
Thu Jan 21 23:27:33 2016	0	102	3314	3416	3312
Thu Jan 21 23:27:33 2016	0	171	3398	3570	3396
Thu Jan 21 23:27:33 2016	0	97	3633	3730	3627
Thu Jan 21 23:27:33 2016	0	166	3734	3901	3731
Thu Jan 21 23:27:33 2016	0	155	3951	4105	3948
Thu Jan 21 23:27:33 2016	0	163	4239	4403	4237
Thu Jan 21 23:27:33 2016	0	112	4580	4692	4577
Thu Jan 21 23:27:33 2016	0	162	4736	4897	4733
Thu Jan 21 23:27:33 2016	0	107	5039	5146	5036
Thu Jan 21 23:27:33 2016	0	153	5130	5283	5117
Thu Jan 21 23:27:33 2016	0	99	5477	5576	5475
Thu Jan 21 23:27:33 2016	0	94	5993	6087	5989
Thu Jan 21 23:27:33 2016	0	120	6128	6248	6125
Thu Jan 21 23:27:33 2016	0	156	6127	6283	6125
Thu Jan 21 23:27:33 2016	0	142	6289	6431	6286
Thu Jan 21 23:27:33 2016	0	131	6438	6569	6433
Thu Jan 21 23:27:33 2016	0	165	6512	6677	6509
Thu Jan 21 23:27:33 2016	0	151	6550	6701	6538
Thu Jan 21 23:27:33 2016	0	168	6577	6746	6575
Thu Jan 21 23:27:33 2016	0	124	6628	6752	6625
Thu Jan 21 23:27:33 2016	0	129	6752	6881	6748
Thu Jan 21 23:27:33 2016	0	100	6981	7082	6979
Thu Jan 21 23:27:33 2016	0	173	6916	7090	6914
Thu Jan 21 23:27:33 2016	0	115	7023	7139	7021
Thu Jan 21 23:27:33 2016	0	133	7073	7206	7071
Thu Jan 21 23:27:33 2016	0	150	7074	7224	7072
Thu Jan 21 23:27:33 2016	0	170	7123	7293	7120
Thu Jan 21 23:27:33 2016	0	137	7232	7369	7229
Thu Jan 21 23:27:33 2016	0	109	7271	7381	7268
Thu Jan 21 23:27:33 2016	0	126	7621	7747	7615
Thu Jan 21 23:27:33 2016	0	104	7901	8005	7899
Thu Jan 21 23:27:33 2016	0	127	7972	8100	7968
Thu Jan 21 23:27:33 2016	0	122	8054	8176	8051
Thu Jan 21 23:27:33 2016	0	139	8042	8181	8039
Thu Jan 21 23:27:33 2016	0	83	8127	8210	8116
Thu Jan 21 23:27:33 2016	0	43	8190	8233	8138
Thu Jan 21 23:27:33 2016	0	2	8257	8259	8214
Thu Jan 21 23:27:33 2016	0	175	8115	8290	8113
Thu Jan 21 23:27:33 2016	0	141	8152	8292	8090
Thu Jan 21 23:27:33 2016	0	148	8514	8662	8510
Thu Jan 21 23:27:33 2016	0	144	8553	8697	8550
Thu Jan 21 23:27:33 2016	0	160	8548	8708	8545
Thu Jan 21 23:27:33 2016	0	158	8559	8717	8556
Thu Jan 21 23:27:33 2016	0	117	8891	9008	8888
Thu Jan 21 23:27:33 2016	0	105	9008	9113	9005
Thu Jan 21 23:27:33 2016	0	114	9120	9233	9118
Thu Jan 21 23:27:36 2016	3	0	4308	4308	4304
Thu Jan 21 23:27:36 2016	3	0	4359	4359	4352
Thu Jan 21 23:27:36 2016	3	0	4380	4380	4376
Thu Jan 21 23:27:36 2016	3	0	5246	5246	5242
Thu Jan 21 23:27:36 2016	3	0	5907	5907	5897
Thu Jan 21 23:27:36 2016	3	2	5962	5963	5960
Thu Jan 21 23:27:37 2016	4	0	4203	4203	4189
Thu Jan 21 23:27:37 2016	4	0	4492	4492	4489
Thu Jan 21 23:27:37 2016	4	0	4657	4657	4655
Thu Jan 21 23:27:37 2016	4	0	4992	4992	4970
Thu Jan 21 23:27:37 2016	4	0	5114	5114	5101
Thu Jan 21 23:27:38 2016	5	0	1940	1940	1904
Thu Jan 21 23:27:38 2016	5	0	2376	2376	2374
Thu Jan 21 23:27:38 2016	5	0	2726	2726	2723
Thu Jan 21 23:27:38 2016	5	0	4062	4062	4045
Thu Jan 21 23:27:39 2016	6	0	2188	2189	2175
Thu Jan 21 23:27:39 2016	6	0	2456	2456	2454
Thu Jan 21 23:27:39 2016	6	0	2965	2965	2951
Thu Jan 21 23:27:39 2016	6	0	3168	3168	3166
Thu Jan 21 23:27:39 2016	6	0	3506	3506	3504
Thu Jan 21 23:27:39 2016	6	0	3810	3810	3808
Thu Jan 21 23:27:40 2016	7	2	2103	2105	2098
Thu Jan 21 23:27:40 2016	7	0	2524	2524	2521
Thu Jan 21 23:27:40 2016	7	0	2943	2943	2937
Thu Jan 21 23:27:40 2016	7	0	3143	3143	3141
Thu Jan 21 23:27:40 2016	7	0	3308	3308	3305
Thu Jan 21 23:27:40 2016	7	0	3336	3336	3334
Thu Jan 21 23:27:40 2016	7	0	3378	3378	3376
Thu Jan 21 23:27:40 2016	7	0	3403	3403	3401
Thu Jan 21 23:27:40 2016	7	0	3507	3507	3501
Thu Jan 21 23:27:40 2016	7	0	3638	3638	3624
Thu Jan 21 23:27:40 2016	7	0	3905	3905	3888
Thu Jan 21 23:27:40 2016	7	0	4041	4041	4039
Thu Jan 21 23:27:40 2016	7	0	4257	4258	4255
Thu Jan 21 23:27:41 2016	8	0	3197	3197	3195
Thu Jan 21 23:27:41 2016	8	0	3835	3835	3815
Thu Jan 21 23:27:41 2016	8	0	3931	3931	3926
Thu Jan 21 23:27:41 2016	8	0	4078	4079	4074
Thu Jan 21 23:27:41 2016	8	0	4167	4167	4165
Thu Jan 21 23:27:41 2016	8	0	4177	4178	4174
Thu Jan 21 23:27:41 2016	8	0	4340	4340	4334
Thu Jan 21 23:27:41 2016	8	0	4391	4391	4389
Thu Jan 21 23:27:41 2016	8	0	4515	4515	4511
Thu Jan 21 23:27:41 2016	8	0	4524	4524	4520
Thu Jan 21 23:27:41 2016	8	0	4525	4526	4523
Thu Jan 21 23:27:41 2016	8	0	4546	4546	4540
Thu Jan 21 23:27:41 2016	8	0	4556	4556	4553
Thu Jan 21 23:27:41 2016	8	0	4602	4602	4600
Thu Jan 21 23:27:41 2016	8	0	4794	4794	4792
Thu Jan 21 23:27:41 2016	8	0	4989	4989	4985
Thu Jan 21 23:27:41 2016	8	0	5078	5078	5075
Thu Jan 21 23:27:41 2016	8	0	5122	5122	5117
Thu Jan 21 23:27:41 2016	8	0	5186	5186	5175
Thu Jan 21 23:27:42 2016	9	0	3702	3702	3699
Thu Jan 21 23:27:42 2016	9	0	3800	3800	3798
Thu Jan 21 23:27:42 2016	9	0	3915	3915	3912
Thu Jan 21 23:27:42 2016	9	0	4146	4146	4143
Thu Jan 21 23:27:42 2016	9	0	4566	4566	4563
Thu Jan 21 23:27:42 2016	9	0	4568	4568	4562
Thu Jan 21 23:27:42 2016	9	0	4577	4577	4574
Thu Jan 21 23:27:42 2016	9	0	4579	4579	4576
Thu Jan 21 23:27:42 2016	9	0	4856	4857	4854
Thu Jan 21 23:27:42 2016	9	0	4935	4935	4929
Thu Jan 21 23:27:42 2016	9	0	4985	4985	4983
Thu Jan 21 23:27:42 2016	9	0	5029	5029	5026
Thu Jan 21 23:27:42 2016	9	0	5428	5428	5426
Thu Jan 21 23:27:42 2016	9	0	5458	5458	5456
Thu Jan 21 23:27:42 2016	9	0	5469	5469	5464
Thu Jan 21 23:27:42 2016	9	0	5537	5537	5534
Thu Jan 21 23:27:42 2016	9	0	5620	5620	5617
Thu Jan 21 23:27:42 2016	9	0	5998	5998	5994
Thu Jan 21 23:27:43 2016	10	0	2947	2947	2945
Thu Jan 21 23:27:43 2016	10	0	3171	3171	3159
Thu Jan 21 23:27:43 2016	10	0	3667	3667	3650
Thu Jan 21 23:27:43 2016	10	0	4347	4347	4328
Thu Jan 21 23:27:43 2016	10	0	4384	4384	4380
Thu Jan 21 23:27:43 2016	10	0	4562	4562	4559
Thu Jan 21 23:27:43 2016	10	0	4615	4615	4613
Thu Jan 21 23:27:43 2016	10	0	4861	4861	4858
Thu Jan 21 23:27:43 2016	10	0	5350	5350	5347
