starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 21 23:23:59 2016	1453415039	0	230	231	230
Thu Jan 21 23:23:59 2016	1453415039	0	243	243	242
Thu Jan 21 23:23:59 2016	1453415039	0	246	246	245
Thu Jan 21 23:23:59 2016	1453415039	0	255	255	254
Thu Jan 21 23:23:59 2016	1453415039	0	257	258	257
Thu Jan 21 23:23:59 2016	1453415039	0	264	264	263
Thu Jan 21 23:23:59 2016	1453415039	0	276	276	275
Thu Jan 21 23:23:59 2016	1453415039	0	281	281	281
Thu Jan 21 23:23:59 2016	1453415039	0	282	282	281
Thu Jan 21 23:23:59 2016	1453415039	0	305	305	305
Thu Jan 21 23:23:59 2016	1453415039	0	318	318	317
Thu Jan 21 23:23:59 2016	1453415039	0	341	341	340
Thu Jan 21 23:23:59 2016	1453415039	0	348	349	348
Thu Jan 21 23:23:59 2016	1453415039	0	350	350	349
Thu Jan 21 23:23:59 2016	1453415039	0	377	377	377
Thu Jan 21 23:23:59 2016	1453415039	0	380	380	380
Thu Jan 21 23:23:59 2016	1453415039	0	392	392	391
Thu Jan 21 23:23:59 2016	1453415039	0	402	402	401
Thu Jan 21 23:23:59 2016	1453415039	0	410	410	409
Thu Jan 21 23:23:59 2016	1453415039	0	411	412	411
Thu Jan 21 23:23:59 2016	1453415039	0	412	412	411
Thu Jan 21 23:23:59 2016	1453415039	0	416	416	416
Thu Jan 21 23:23:52 2016	1453415032	0	417	417	416
Thu Jan 21 23:23:53 2016	1453415033	0	417	417	416
Thu Jan 21 23:23:52 2016	1453415032	0	417	417	417
Thu Jan 21 23:23:59 2016	1453415039	0	419	419	418
Thu Jan 21 23:23:59 2016	1453415039	0	419	419	418
Thu Jan 21 23:23:59 2016	1453415039	0	420	420	419
Thu Jan 21 23:23:52 2016	1453415032	0	421	421	420
Thu Jan 21 23:23:52 2016	1453415032	0	421	422	421
Thu Jan 21 23:23:52 2016	1453415032	0	424	424	423
Thu Jan 21 23:23:52 2016	1453415032	0	425	425	424
Thu Jan 21 23:23:52 2016	1453415032	0	425	425	422
Thu Jan 21 23:23:52 2016	1453415032	0	425	425	417
Thu Jan 21 23:23:52 2016	1453415032	0	426	426	425
Thu Jan 21 23:23:53 2016	1453415033	0	426	426	425
Thu Jan 21 23:23:52 2016	1453415032	0	427	427	426
Thu Jan 21 23:23:59 2016	1453415039	0	427	427	427
Thu Jan 21 23:23:59 2016	1453415039	0	428	428	428
Thu Jan 21 23:23:52 2016	1453415032	0	429	429	429
Thu Jan 21 23:23:52 2016	1453415032	0	430	430	430
Thu Jan 21 23:23:52 2016	1453415032	0	430	430	430
Thu Jan 21 23:23:53 2016	1453415033	0	430	430	429
