Percentage served,Time in ms
0,1400.075
1,2130.578
2,2190.985
3,2584.832
4,2676.068
5,2754.388
6,2967.975
7,3122.272
8,3268.963
9,3446.725
10,3572.168
11,3667.647
12,3752.733
13,3833.951
14,3908.631
15,4037.760
16,4107.626
17,4199.297
18,4349.133
19,4544.991
20,4635.220
21,4740.280
22,4807.196
23,4875.462
24,4974.851
25,5112.660
26,5251.728
27,5353.162
28,5402.365
29,5491.816
30,5690.039
31,5785.878
32,5917.945
33,6003.610
34,6088.528
35,6193.684
36,6313.256
37,6435.275
38,6523.391
39,6642.475
40,6800.283
41,6869.468
42,6944.174
43,7012.966
44,7181.532
45,7296.924
46,7398.229
47,7555.434
48,7702.754
49,7828.132
50,7943.494
51,8000.077
52,8091.311
53,8208.834
54,8282.839
55,8392.375
56,8515.253
57,8631.410
58,8715.449
59,8827.368
60,8938.902
61,9055.863
62,9191.722
63,9363.819
64,9488.880
65,9554.737
66,9699.441
67,9819.990
68,9923.182
69,10026.379
70,10096.197
71,10287.038
72,10375.755
73,10492.166
74,10594.793
75,10724.778
76,10877.824
77,11017.776
78,11131.684
79,11262.624
80,11565.335
81,11926.013
82,12013.919
83,12122.350
84,12261.034
85,12377.748
86,12515.545
87,12724.270
88,12855.500
89,13126.577
90,13286.721
91,13408.982
92,13635.949
93,13859.358
94,14287.033
95,14736.870
96,15269.251
97,15907.808
98,16582.338
99,18034.481
100,23576.823
