Percentage served,Time in ms
0,415.795
1,500.824
2,532.515
3,563.855
4,584.806
5,597.245
6,633.145
7,642.897
8,659.045
9,675.201
10,683.440
11,698.839
12,712.864
13,717.980
14,729.559
15,741.693
16,761.617
17,780.606
18,797.353
19,816.405
20,822.152
21,839.218
22,843.717
23,873.732
24,898.135
25,914.226
26,933.748
27,949.660
28,957.733
29,964.364
30,969.212
31,990.639
32,1012.657
33,1023.893
34,1041.920
35,1068.587
36,1072.645
37,1078.404
38,1091.446
39,1112.753
40,1132.625
41,1147.209
42,1158.948
43,1172.363
44,1182.058
45,1196.282
46,1206.075
47,1218.679
48,1246.288
49,1263.373
50,1279.352
51,1295.598
52,1304.775
53,1313.288
54,1328.837
55,1347.198
56,1353.537
57,1375.577
58,1393.152
59,1400.635
60,1417.897
61,1436.765
62,1450.162
63,1462.976
64,1487.768
65,1498.362
66,1510.625
67,1517.521
68,1520.694
69,1536.114
70,1563.904
71,1567.661
72,1582.763
73,1596.754
74,1621.204
75,1631.391
76,1640.400
77,1647.964
78,1661.698
79,1675.968
80,1680.892
81,1701.881
82,1726.650
83,1750.969
84,1766.882
85,1782.956
86,1807.377
87,1812.941
88,1838.637
89,1855.062
90,1895.750
91,1933.651
92,1948.469
93,1972.973
94,2009.636
95,2054.901
96,2091.241
97,2105.086
98,2262.977
99,2582.162
100,3452.409
