starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 19 10:59:09 2016	1455879549	2	234	236	178
Fri Feb 19 10:59:11 2016	1455879551	136	178	314	108
Fri Feb 19 10:59:11 2016	1455879551	59	255	314	178
Fri Feb 19 10:59:11 2016	1455879551	2	312	314	255
Fri Feb 19 10:59:10 2016	1455879550	99	220	319	155
Fri Feb 19 10:59:10 2016	1455879550	45	274	319	219
Fri Feb 19 10:59:10 2016	1455879550	2	317	319	273
Fri Feb 19 10:59:10 2016	1455879550	164	155	319	108
Fri Feb 19 10:59:12 2016	1455879552	106	217	323	153
Fri Feb 19 10:59:12 2016	1455879552	170	154	323	99
Fri Feb 19 10:59:12 2016	1455879552	55	269	323	217
Fri Feb 19 10:59:12 2016	1455879552	2	322	324	269
Fri Feb 19 10:59:11 2016	1455879551	120	208	328	149
Fri Feb 19 10:59:11 2016	1455879551	65	263	328	208
Fri Feb 19 10:59:11 2016	1455879551	2	325	328	263
Fri Feb 19 10:59:12 2016	1455879552	112	221	334	170
Fri Feb 19 10:59:12 2016	1455879552	164	170	334	115
Fri Feb 19 10:59:12 2016	1455879552	54	280	334	221
Fri Feb 19 10:59:12 2016	1455879552	1	332	334	280
Fri Feb 19 10:59:10 2016	1455879550	3	332	335	284
Fri Feb 19 10:59:10 2016	1455879550	144	191	335	121
Fri Feb 19 10:59:10 2016	1455879550	51	284	335	191
Fri Feb 19 10:59:10 2016	1455879550	109	232	342	184
Fri Feb 19 10:59:10 2016	1455879550	158	184	342	119
Fri Feb 19 10:59:10 2016	1455879550	58	284	342	232
Fri Feb 19 10:59:10 2016	1455879550	2	340	342	284
Fri Feb 19 10:59:14 2016	1455879554	59	292	351	233
Fri Feb 19 10:59:14 2016	1455879554	118	233	351	174
Fri Feb 19 10:59:14 2016	1455879554	2	349	351	292
Fri Feb 19 10:59:14 2016	1455879554	177	175	351	121
Fri Feb 19 10:59:12 2016	1455879552	172	181	353	109
Fri Feb 19 10:59:12 2016	1455879552	119	234	353	180
Fri Feb 19 10:59:12 2016	1455879552	64	289	353	234
Fri Feb 19 10:59:12 2016	1455879552	1	352	353	289
Fri Feb 19 10:59:16 2016	1455879556	130	228	358	132
Fri Feb 19 10:59:16 2016	1455879556	49	310	358	228
Fri Feb 19 10:59:16 2016	1455879556	6	352	358	309
Fri Feb 19 10:59:15 2016	1455879555	122	238	360	175
Fri Feb 19 10:59:15 2016	1455879555	61	299	360	238
Fri Feb 19 10:59:15 2016	1455879555	185	175	360	114
Fri Feb 19 10:59:15 2016	1455879555	2	358	360	299
Fri Feb 19 10:59:14 2016	1455879554	175	186	361	127
Fri Feb 19 10:59:14 2016	1455879554	126	235	361	186
Fri Feb 19 10:59:14 2016	1455879554	67	294	361	235
Fri Feb 19 10:59:14 2016	1455879554	2	359	361	294
Fri Feb 19 10:59:16 2016	1455879556	123	240	364	176
Fri Feb 19 10:59:16 2016	1455879556	61	303	364	240
Fri Feb 19 10:59:16 2016	1455879556	2	362	364	303
Fri Feb 19 10:59:11 2016	1455879551	171	194	366	131
Fri Feb 19 10:59:11 2016	1455879551	120	246	366	194
Fri Feb 19 10:59:11 2016	1455879551	2	364	366	294
Fri Feb 19 10:59:11 2016	1455879551	71	295	366	245
Fri Feb 19 10:59:15 2016	1455879555	186	187	373	126
Fri Feb 19 10:59:15 2016	1455879555	123	251	373	187
Fri Feb 19 10:59:15 2016	1455879555	61	313	373	250
Fri Feb 19 10:59:15 2016	1455879555	2	371	373	312
Fri Feb 19 10:59:14 2016	1455879554	51	324	375	268
Fri Feb 19 10:59:14 2016	1455879554	107	268	375	204
Fri Feb 19 10:59:14 2016	1455879554	171	204	375	116
Fri Feb 19 10:59:14 2016	1455879554	1	374	375	324
Fri Feb 19 10:59:13 2016	1455879553	198	178	376	119
Fri Feb 19 10:59:13 2016	1455879553	111	265	376	178
Fri Feb 19 10:59:13 2016	1455879553	54	322	376	265
Fri Feb 19 10:59:13 2016	1455879553	2	374	376	322
Fri Feb 19 10:59:13 2016	1455879553	117	259	376	208
Fri Feb 19 10:59:13 2016	1455879553	220	156	376	101
Fri Feb 19 10:59:13 2016	1455879553	168	208	376	155
Fri Feb 19 10:59:13 2016	1455879553	2	374	376	324
Fri Feb 19 10:59:13 2016	1455879553	51	325	376	259
Fri Feb 19 10:59:17 2016	1455879557	67	317	384	264
Fri Feb 19 10:59:17 2016	1455879557	120	265	384	223
Fri Feb 19 10:59:17 2016	1455879557	161	223	384	133
Fri Feb 19 10:59:17 2016	1455879557	1	383	384	317
Fri Feb 19 10:59:16 2016	1455879556	197	199	396	133
Fri Feb 19 10:59:16 2016	1455879556	132	264	396	198
Fri Feb 19 10:59:16 2016	1455879556	67	329	396	263
Fri Feb 19 10:59:16 2016	1455879556	2	394	396	328
Fri Feb 19 10:59:25 2016	1455879565	216	181	398	109
Fri Feb 19 10:59:25 2016	1455879565	143	254	398	181
Fri Feb 19 10:59:25 2016	1455879565	71	326	398	254
Fri Feb 19 10:59:25 2016	1455879565	2	396	398	326
Fri Feb 19 10:59:17 2016	1455879557	134	271	405	202
Fri Feb 19 10:59:17 2016	1455879557	203	202	405	136
Fri Feb 19 10:59:17 2016	1455879557	68	337	405	271
Fri Feb 19 10:59:17 2016	1455879557	1	403	405	337
Fri Feb 19 10:59:18 2016	1455879558	278	137	415	71
Fri Feb 19 10:59:18 2016	1455879558	209	206	415	137
Fri Feb 19 10:59:18 2016	1455879558	73	343	415	276
Fri Feb 19 10:59:18 2016	1455879558	2	413	415	342
Fri Feb 19 10:59:18 2016	1455879558	139	276	415	206
Fri Feb 19 10:59:17 2016	1455879557	147	270	417	202
Fri Feb 19 10:59:17 2016	1455879557	76	342	417	270
Fri Feb 19 10:59:17 2016	1455879557	215	202	417	133
Fri Feb 19 10:59:17 2016	1455879557	1	416	417	342
Fri Feb 19 10:59:18 2016	1455879558	210	209	419	139
Fri Feb 19 10:59:18 2016	1455879558	1	418	419	345
Fri Feb 19 10:59:18 2016	1455879558	142	277	419	209
Fri Feb 19 10:59:18 2016	1455879558	74	345	419	277
Fri Feb 19 10:59:13 2016	1455879553	2	428	429	372
Fri Feb 19 10:59:13 2016	1455879553	57	372	429	315
Fri Feb 19 10:59:13 2016	1455879553	169	260	429	204
Fri Feb 19 10:59:13 2016	1455879553	114	316	429	260
Fri Feb 19 10:59:13 2016	1455879553	225	204	429	105
Fri Feb 19 10:59:35 2016	1455879575	288	144	431	72
Fri Feb 19 10:59:35 2016	1455879575	216	215	431	144
Fri Feb 19 10:59:38 2016	1455879578	216	216	431	144
Fri Feb 19 10:59:38 2016	1455879578	144	288	431	215
Fri Feb 19 10:59:38 2016	1455879578	287	144	431	71
Fri Feb 19 10:59:35 2016	1455879575	2	430	431	359
Fri Feb 19 10:59:38 2016	1455879578	72	359	432	288
Fri Feb 19 10:59:35 2016	1455879575	72	360	432	289
Fri Feb 19 10:59:38 2016	1455879578	2	430	432	359
Fri Feb 19 10:59:35 2016	1455879575	143	289	432	215
Fri Feb 19 10:59:09 2016	1455879549	131	301	432	236
Fri Feb 19 10:59:34 2016	1455879574	217	216	433	142
Fri Feb 19 10:59:09 2016	1455879549	3	430	433	380
Fri Feb 19 10:59:34 2016	1455879574	72	360	433	288
Fri Feb 19 10:59:34 2016	1455879574	144	288	433	215
Fri Feb 19 10:59:09 2016	1455879549	53	380	433	301
Fri Feb 19 10:59:34 2016	1455879574	2	431	433	360
Fri Feb 19 10:59:22 2016	1455879562	74	359	433	289
Fri Feb 19 10:59:22 2016	1455879562	144	289	433	218
Fri Feb 19 10:59:22 2016	1455879562	215	218	433	147
Fri Feb 19 10:59:22 2016	1455879562	2	431	433	358
Fri Feb 19 10:59:22 2016	1455879562	286	148	433	76
Fri Feb 19 10:59:32 2016	1455879572	290	144	433	72
Fri Feb 19 10:59:32 2016	1455879572	72	361	433	289
Fri Feb 19 10:59:32 2016	1455879572	144	289	433	216
Fri Feb 19 10:59:32 2016	1455879572	2	432	433	361
Fri Feb 19 10:59:32 2016	1455879572	217	216	434	143
Fri Feb 19 10:59:40 2016	1455879580	291	148	439	75
Fri Feb 19 10:59:40 2016	1455879580	217	223	439	147
Fri Feb 19 10:59:40 2016	1455879580	144	296	439	222
Fri Feb 19 10:59:40 2016	1455879580	71	369	439	295
Fri Feb 19 10:59:25 2016	1455879565	144	296	439	227
Fri Feb 19 10:59:25 2016	1455879565	70	369	439	296
Fri Feb 19 10:59:25 2016	1455879565	2	438	439	369
Fri Feb 19 10:59:34 2016	1455879574	221	218	439	144
Fri Feb 19 10:59:40 2016	1455879580	2	438	439	368
Fri Feb 19 10:59:34 2016	1455879574	2	438	439	363
Fri Feb 19 10:59:25 2016	1455879565	293	146	439	75
Fri Feb 19 10:59:34 2016	1455879574	147	293	439	218
Fri Feb 19 10:59:25 2016	1455879565	212	228	440	146
Fri Feb 19 10:59:34 2016	1455879574	76	364	440	292
Fri Feb 19 10:59:30 2016	1455879570	2	452	454	371
Fri Feb 19 10:59:30 2016	1455879570	300	154	454	73
Fri Feb 19 10:59:30 2016	1455879570	146	308	454	218
Fri Feb 19 10:59:30 2016	1455879570	224	230	454	142
Fri Feb 19 10:59:30 2016	1455879570	71	383	454	297
Fri Feb 19 10:59:40 2016	1455879580	74	382	457	299
Fri Feb 19 10:59:40 2016	1455879580	148	309	457	233
Fri Feb 19 10:59:40 2016	1455879580	2	455	457	373
Fri Feb 19 10:59:25 2016	1455879565	245	215	461	176
Fri Feb 19 10:59:25 2016	1455879565	174	286	461	215
Fri Feb 19 10:59:25 2016	1455879565	106	355	461	286
