Percentage served,Time in ms
0,395.841
1,478.934
2,514.074
3,527.400
4,557.990
5,582.935
6,592.557
7,607.106
8,621.285
9,637.427
10,644.349
11,653.555
12,663.501
13,672.091
14,679.205
15,690.412
16,702.414
17,708.071
18,715.617
19,728.755
20,738.912
21,751.993
22,761.554
23,782.650
24,796.455
25,813.025
26,825.121
27,836.852
28,846.612
29,852.218
30,878.170
31,892.652
32,904.190
33,920.121
34,933.790
35,963.346
36,974.172
37,991.704
38,1006.373
39,1020.062
40,1034.470
41,1043.402
42,1062.888
43,1066.738
44,1076.566
45,1082.046
46,1096.463
47,1108.869
48,1131.910
49,1143.046
50,1152.651
51,1166.120
52,1177.423
53,1193.413
54,1203.128
55,1209.373
56,1212.956
57,1232.270
58,1235.785
59,1264.924
60,1271.412
61,1276.717
62,1282.726
63,1291.264
64,1302.223
65,1308.939
66,1321.958
67,1324.939
68,1334.484
69,1335.408
70,1349.201
71,1364.364
72,1385.776
73,1403.787
74,1425.208
75,1434.945
76,1466.904
77,1479.265
78,1486.513
79,1493.382
80,1518.827
81,1527.061
82,1537.815
83,1543.598
84,1557.354
85,1570.523
86,1599.314
87,1610.559
88,1612.918
89,1618.456
90,1644.901
91,1662.736
92,1712.250
93,1771.644
94,1817.328
95,1840.516
96,1858.782
97,1998.824
98,2083.111
99,2416.597
100,3155.974
