starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 17 18:40:20 2016	1455734420	0	400	400	370
Wed Feb 17 18:38:24 2016	1455734304	0	406	406	374
Wed Feb 17 18:38:59 2016	1455734339	0	434	434	350
Wed Feb 17 18:39:44 2016	1455734384	0	456	456	417
Wed Feb 17 18:38:15 2016	1455734295	2	454	456	414
Wed Feb 17 18:39:09 2016	1455734349	1	458	458	375
Wed Feb 17 18:38:17 2016	1455734297	0	459	460	428
Wed Feb 17 18:38:48 2016	1455734328	2	483	486	443
Wed Feb 17 18:38:06 2016	1455734286	0	498	498	463
Wed Feb 17 18:38:20 2016	1455734300	0	519	520	488
Wed Feb 17 18:39:49 2016	1455734389	8	521	529	473
Wed Feb 17 18:38:54 2016	1455734334	0	530	530	455
Wed Feb 17 18:38:38 2016	1455734318	2	532	534	493
Wed Feb 17 18:38:03 2016	1455734283	0	535	536	488
Wed Feb 17 18:40:08 2016	1455734408	0	542	543	470
Wed Feb 17 18:39:52 2016	1455734392	2	545	548	487
Wed Feb 17 18:39:32 2016	1455734372	0	548	548	505
Wed Feb 17 18:37:51 2016	1455734271	3	552	555	462
Wed Feb 17 18:38:09 2016	1455734289	3	558	560	373
Wed Feb 17 18:39:19 2016	1455734359	0	561	561	529
Wed Feb 17 18:40:00 2016	1455734400	0	565	565	536
Wed Feb 17 18:39:14 2016	1455734354	0	566	566	405
Wed Feb 17 18:38:24 2016	1455734304	2	566	568	524
Wed Feb 17 18:38:30 2016	1455734310	8	560	569	437
Wed Feb 17 18:38:13 2016	1455734293	2	568	570	528
Wed Feb 17 18:40:08 2016	1455734408	0	570	571	538
Wed Feb 17 18:39:25 2016	1455734365	1	571	572	437
Wed Feb 17 18:38:53 2016	1455734333	0	572	573	544
Wed Feb 17 18:38:07 2016	1455734287	2	572	573	455
Wed Feb 17 18:39:05 2016	1455734345	18	557	574	496
Wed Feb 17 18:38:40 2016	1455734320	2	574	575	532
Wed Feb 17 18:38:06 2016	1455734286	0	576	576	542
Wed Feb 17 18:39:56 2016	1455734396	3	582	585	493
Wed Feb 17 18:39:38 2016	1455734378	2	585	587	546
Wed Feb 17 18:40:00 2016	1455734400	5	585	590	448
Wed Feb 17 18:40:02 2016	1455734402	0	591	591	513
Wed Feb 17 18:38:57 2016	1455734337	2	592	594	555
Wed Feb 17 18:38:08 2016	1455734288	3	596	599	479
Wed Feb 17 18:38:41 2016	1455734321	1	597	599	470
Wed Feb 17 18:38:59 2016	1455734339	2	601	604	562
Wed Feb 17 18:38:53 2016	1455734333	9	595	605	432
Wed Feb 17 18:40:18 2016	1455734418	0	604	605	471
Wed Feb 17 18:40:10 2016	1455734410	0	605	605	575
Wed Feb 17 18:39:58 2016	1455734398	0	606	606	574
Wed Feb 17 18:40:04 2016	1455734404	3	607	609	416
Wed Feb 17 18:38:08 2016	1455734288	0	609	609	579
Wed Feb 17 18:40:18 2016	1455734418	0	609	610	562
Wed Feb 17 18:39:48 2016	1455734388	2	610	612	340
Wed Feb 17 18:40:00 2016	1455734400	2	610	612	416
Wed Feb 17 18:37:55 2016	1455734275	1	615	616	471
Wed Feb 17 18:38:22 2016	1455734302	1	615	616	581
Wed Feb 17 18:39:42 2016	1455734382	0	616	616	580
Wed Feb 17 18:38:36 2016	1455734316	8	610	617	341
Wed Feb 17 18:40:08 2016	1455734408	8	610	618	382
Wed Feb 17 18:37:55 2016	1455734275	2	619	620	553
Wed Feb 17 18:39:16 2016	1455734356	0	620	620	584
Wed Feb 17 18:39:38 2016	1455734378	0	621	621	574
Wed Feb 17 18:39:01 2016	1455734341	0	623	623	592
Wed Feb 17 18:40:17 2016	1455734417	8	616	624	523
Wed Feb 17 18:39:34 2016	1455734374	0	625	626	594
Wed Feb 17 18:38:46 2016	1455734326	8	618	626	448
Wed Feb 17 18:38:12 2016	1455734292	0	628	629	598
Wed Feb 17 18:38:53 2016	1455734333	6	623	629	482
Wed Feb 17 18:40:02 2016	1455734402	2	629	630	523
Wed Feb 17 18:39:25 2016	1455734365	0	631	631	593
Wed Feb 17 18:39:17 2016	1455734357	4	632	636	576
Wed Feb 17 18:40:17 2016	1455734417	2	635	637	597
Wed Feb 17 18:39:19 2016	1455734359	10	628	638	454
Wed Feb 17 18:37:53 2016	1455734273	3	637	639	516
Wed Feb 17 18:39:44 2016	1455734384	0	639	640	481
Wed Feb 17 18:39:27 2016	1455734367	1	639	640	563
Wed Feb 17 18:40:06 2016	1455734406	9	632	641	480
Wed Feb 17 18:39:31 2016	1455734371	2	640	642	603
Wed Feb 17 18:38:03 2016	1455734283	0	642	642	598
Wed Feb 17 18:39:30 2016	1455734370	0	642	643	611
Wed Feb 17 18:40:11 2016	1455734411	10	633	643	593
Wed Feb 17 18:37:58 2016	1455734278	2	641	643	591
Wed Feb 17 18:38:20 2016	1455734300	8	635	643	498
Wed Feb 17 18:38:38 2016	1455734318	0	643	644	610
Wed Feb 17 18:38:42 2016	1455734322	17	627	644	469
Wed Feb 17 18:38:47 2016	1455734327	0	645	645	336
Wed Feb 17 18:39:11 2016	1455734351	4	643	647	456
Wed Feb 17 18:40:08 2016	1455734408	4	642	647	547
Wed Feb 17 18:38:44 2016	1455734324	0	647	647	418
Wed Feb 17 18:40:06 2016	1455734406	18	632	650	473
Wed Feb 17 18:39:06 2016	1455734346	0	650	651	609
Wed Feb 17 18:39:01 2016	1455734341	2	650	652	608
Wed Feb 17 18:38:49 2016	1455734329	28	626	654	446
Wed Feb 17 18:38:10 2016	1455734290	1	652	654	611
Wed Feb 17 18:38:20 2016	1455734300	0	654	655	619
Wed Feb 17 18:38:55 2016	1455734335	2	655	656	482
Wed Feb 17 18:38:18 2016	1455734298	3	655	658	613
Wed Feb 17 18:39:27 2016	1455734367	0	657	658	625
Wed Feb 17 18:37:51 2016	1455734271	4	654	658	558
Wed Feb 17 18:40:16 2016	1455734416	0	660	660	628
Wed Feb 17 18:37:55 2016	1455734275	6	655	661	554
Wed Feb 17 18:39:34 2016	1455734374	0	661	661	634
Wed Feb 17 18:38:25 2016	1455734305	6	656	662	551
Wed Feb 17 18:39:38 2016	1455734378	10	651	662	350
Wed Feb 17 18:39:03 2016	1455734343	5	657	662	451
Wed Feb 17 18:39:58 2016	1455734398	26	642	668	535
Wed Feb 17 18:38:14 2016	1455734294	2	668	670	633
Wed Feb 17 18:40:00 2016	1455734400	142	528	670	488
Wed Feb 17 18:38:06 2016	1455734286	0	670	670	638
Wed Feb 17 18:38:05 2016	1455734285	0	672	672	634
Wed Feb 17 18:38:49 2016	1455734329	3	672	675	530
Wed Feb 17 18:38:30 2016	1455734310	0	675	675	645
Wed Feb 17 18:40:04 2016	1455734404	0	675	675	506
Wed Feb 17 18:38:28 2016	1455734308	0	675	676	527
Wed Feb 17 18:37:52 2016	1455734272	0	676	676	610
Wed Feb 17 18:39:25 2016	1455734365	0	679	680	455
Wed Feb 17 18:37:59 2016	1455734279	2	678	680	604
Wed Feb 17 18:39:01 2016	1455734341	14	667	681	383
Wed Feb 17 18:38:34 2016	1455734314	35	646	681	501
Wed Feb 17 18:38:28 2016	1455734308	2	681	683	644
Wed Feb 17 18:39:31 2016	1455734371	1	682	683	614
Wed Feb 17 18:40:06 2016	1455734406	2	684	686	645
Wed Feb 17 18:39:40 2016	1455734380	7	680	687	445
Wed Feb 17 18:39:25 2016	1455734365	0	687	687	658
Wed Feb 17 18:39:42 2016	1455734382	0	689	689	376
Wed Feb 17 18:38:40 2016	1455734320	0	691	691	658
Wed Feb 17 18:38:50 2016	1455734330	2	690	692	640
Wed Feb 17 18:38:18 2016	1455734298	5	692	697	607
Wed Feb 17 18:38:53 2016	1455734333	147	552	700	515
Wed Feb 17 18:39:36 2016	1455734376	1	700	700	631
Wed Feb 17 18:38:18 2016	1455734298	0	702	703	670
Wed Feb 17 18:39:12 2016	1455734352	22	683	705	565
Wed Feb 17 18:39:23 2016	1455734363	0	705	706	635
Wed Feb 17 18:38:06 2016	1455734286	8	699	707	573
Wed Feb 17 18:40:02 2016	1455734402	0	707	708	675
Wed Feb 17 18:40:02 2016	1455734402	11	700	711	568
Wed Feb 17 18:38:03 2016	1455734283	0	712	712	638
Wed Feb 17 18:38:41 2016	1455734321	0	713	713	599
Wed Feb 17 18:39:56 2016	1455734396	202	512	714	469
Wed Feb 17 18:37:53 2016	1455734273	1	714	714	622
Wed Feb 17 18:39:14 2016	1455734354	0	714	715	678
Wed Feb 17 18:39:44 2016	1455734384	0	715	716	685
Wed Feb 17 18:40:10 2016	1455734410	7	710	717	400
Wed Feb 17 18:38:32 2016	1455734312	0	718	718	687
Wed Feb 17 18:39:18 2016	1455734358	0	718	718	688
Wed Feb 17 18:39:37 2016	1455734377	0	718	719	681
Wed Feb 17 18:39:42 2016	1455734382	0	719	720	690
Wed Feb 17 18:39:31 2016	1455734371	2	720	721	568
Wed Feb 17 18:38:14 2016	1455734294	0	721	722	690
Wed Feb 17 18:38:11 2016	1455734291	1	722	722	687
Wed Feb 17 18:40:13 2016	1455734413	40	682	722	639
Wed Feb 17 18:40:12 2016	1455734412	0	723	724	680
Wed Feb 17 18:39:10 2016	1455734350	3	722	725	350
Wed Feb 17 18:38:41 2016	1455734321	2	725	726	675
Wed Feb 17 18:39:22 2016	1455734362	0	726	726	694
Wed Feb 17 18:40:02 2016	1455734402	10	720	730	660
Wed Feb 17 18:39:56 2016	1455734396	2	728	730	687
Wed Feb 17 18:39:27 2016	1455734367	0	730	731	659
Wed Feb 17 18:40:10 2016	1455734410	1	731	732	699
Wed Feb 17 18:39:52 2016	1455734392	5	728	732	489
Wed Feb 17 18:37:58 2016	1455734278	3	730	733	697
Wed Feb 17 18:38:24 2016	1455734304	43	691	734	653
Wed Feb 17 18:39:16 2016	1455734356	0	734	734	706
Wed Feb 17 18:39:04 2016	1455734344	0	735	735	701
Wed Feb 17 18:38:30 2016	1455734310	2	736	738	666
Wed Feb 17 18:38:51 2016	1455734331	0	739	739	705
Wed Feb 17 18:40:07 2016	1455734407	0	739	740	709
Wed Feb 17 18:38:28 2016	1455734308	10	731	741	457
Wed Feb 17 18:38:14 2016	1455734294	0	741	742	675
Wed Feb 17 18:39:35 2016	1455734375	11	732	743	430
Wed Feb 17 18:38:26 2016	1455734306	212	532	744	478
Wed Feb 17 18:38:02 2016	1455734282	0	744	744	709
Wed Feb 17 18:39:20 2016	1455734360	0	746	746	714
Wed Feb 17 18:40:08 2016	1455734408	0	746	746	702
Wed Feb 17 18:39:05 2016	1455734345	9	740	748	493
Wed Feb 17 18:37:59 2016	1455734279	1	750	751	693
Wed Feb 17 18:38:34 2016	1455734314	9	745	754	603
Wed Feb 17 18:38:37 2016	1455734317	81	673	754	622
Wed Feb 17 18:40:14 2016	1455734414	0	755	755	660
Wed Feb 17 18:38:07 2016	1455734287	2	754	756	714
Wed Feb 17 18:38:32 2016	1455734312	0	756	756	577
Wed Feb 17 18:38:46 2016	1455734326	0	756	757	710
Wed Feb 17 18:39:21 2016	1455734361	2	757	759	711
Wed Feb 17 18:38:01 2016	1455734281	1	760	761	715
Wed Feb 17 18:40:17 2016	1455734417	39	723	762	555
Wed Feb 17 18:38:13 2016	1455734293	8	755	763	509
Wed Feb 17 18:39:11 2016	1455734351	0	763	764	734
Wed Feb 17 18:38:45 2016	1455734325	1	764	765	727
Wed Feb 17 18:39:14 2016	1455734354	156	610	766	568
Wed Feb 17 18:38:58 2016	1455734338	0	766	766	729
Wed Feb 17 18:38:56 2016	1455734336	0	766	767	727
Wed Feb 17 18:39:46 2016	1455734386	1	767	767	688
Wed Feb 17 18:39:20 2016	1455734360	0	768	769	738
Wed Feb 17 18:39:56 2016	1455734396	12	757	769	567
Wed Feb 17 18:39:58 2016	1455734398	0	771	771	536
Wed Feb 17 18:39:27 2016	1455734367	0	775	775	742
Wed Feb 17 18:39:56 2016	1455734396	9	767	776	730
Wed Feb 17 18:38:19 2016	1455734299	1	775	776	743
Wed Feb 17 18:39:16 2016	1455734356	0	776	776	552
Wed Feb 17 18:39:34 2016	1455734374	0	776	777	746
Wed Feb 17 18:38:20 2016	1455734300	9	769	778	601
Wed Feb 17 18:39:25 2016	1455734365	134	647	781	600
Wed Feb 17 18:38:10 2016	1455734290	9	773	782	686
Wed Feb 17 18:40:14 2016	1455734414	0	782	782	748
Wed Feb 17 18:39:33 2016	1455734373	0	782	782	749
Wed Feb 17 18:38:24 2016	1455734304	9	777	785	472
Wed Feb 17 18:39:23 2016	1455734363	45	740	786	661
Wed Feb 17 18:38:36 2016	1455734316	0	786	786	753
Wed Feb 17 18:38:20 2016	1455734300	1	786	787	747
Wed Feb 17 18:38:01 2016	1455734281	2	786	787	741
Wed Feb 17 18:40:02 2016	1455734402	68	721	789	679
Wed Feb 17 18:37:55 2016	1455734275	0	791	791	746
Wed Feb 17 18:37:58 2016	1455734278	0	792	792	742
Wed Feb 17 18:40:01 2016	1455734401	2	791	793	753
Wed Feb 17 18:39:07 2016	1455734347	0	794	795	757
Wed Feb 17 18:39:18 2016	1455734358	38	757	795	681
Wed Feb 17 18:38:21 2016	1455734301	0	796	796	764
Wed Feb 17 18:38:30 2016	1455734310	72	725	797	601
Wed Feb 17 18:40:08 2016	1455734408	236	561	797	520
Wed Feb 17 18:40:06 2016	1455734406	177	622	799	580
Wed Feb 17 18:39:07 2016	1455734347	0	801	802	774
Wed Feb 17 18:38:08 2016	1455734288	0	805	806	762
Wed Feb 17 18:39:51 2016	1455734391	0	807	807	774
Wed Feb 17 18:38:07 2016	1455734287	39	768	807	730
Wed Feb 17 18:39:36 2016	1455734376	0	807	808	772
Wed Feb 17 18:39:40 2016	1455734380	0	812	812	783
Wed Feb 17 18:39:54 2016	1455734394	0	813	813	770
Wed Feb 17 18:40:18 2016	1455734418	1	814	814	724
Wed Feb 17 18:38:27 2016	1455734307	2	814	816	760
Wed Feb 17 18:39:00 2016	1455734340	0	816	817	782
Wed Feb 17 18:38:03 2016	1455734283	7	810	817	734
Wed Feb 17 18:39:14 2016	1455734354	11	806	817	660
Wed Feb 17 18:37:55 2016	1455734275	1	817	817	781
Wed Feb 17 18:39:13 2016	1455734353	0	818	818	768
Wed Feb 17 18:38:48 2016	1455734328	81	738	819	700
Wed Feb 17 18:38:23 2016	1455734303	2	819	821	773
Wed Feb 17 18:39:07 2016	1455734347	8	814	822	764
Wed Feb 17 18:39:29 2016	1455734369	0	822	822	788
Wed Feb 17 18:40:18 2016	1455734418	3	820	823	763
Wed Feb 17 18:40:16 2016	1455734416	0	829	829	791
Wed Feb 17 18:38:01 2016	1455734281	0	829	830	794
Wed Feb 17 18:38:03 2016	1455734283	2	827	830	781
Wed Feb 17 18:39:44 2016	1455734384	0	830	831	766
Wed Feb 17 18:38:26 2016	1455734306	9	822	832	620
Wed Feb 17 18:38:55 2016	1455734335	109	730	839	673
Wed Feb 17 18:38:17 2016	1455734297	0	839	839	803
Wed Feb 17 18:40:15 2016	1455734415	0	841	841	731
Wed Feb 17 18:39:37 2016	1455734377	0	843	844	813
Wed Feb 17 18:38:00 2016	1455734280	2	842	844	806
Wed Feb 17 18:39:39 2016	1455734379	2	843	845	800
Wed Feb 17 18:39:53 2016	1455734393	2	844	846	805
Wed Feb 17 18:38:15 2016	1455734295	0	846	846	509
Wed Feb 17 18:37:57 2016	1455734277	1	846	848	784
Wed Feb 17 18:39:04 2016	1455734344	0	848	848	813
Wed Feb 17 18:37:58 2016	1455734278	0	851	851	784
Wed Feb 17 18:39:47 2016	1455734387	2	850	852	811
Wed Feb 17 18:40:08 2016	1455734408	0	854	855	825
Wed Feb 17 18:39:08 2016	1455734348	3	854	857	798
Wed Feb 17 18:39:25 2016	1455734365	0	857	857	828
Wed Feb 17 18:40:12 2016	1455734412	3	855	858	771
Wed Feb 17 18:39:22 2016	1455734362	0	859	860	823
Wed Feb 17 18:39:14 2016	1455734354	0	861	861	827
Wed Feb 17 18:38:38 2016	1455734318	40	824	864	776
Wed Feb 17 18:38:59 2016	1455734339	8	856	864	554
Wed Feb 17 18:39:09 2016	1455734349	0	865	865	836
Wed Feb 17 18:38:57 2016	1455734337	1	868	869	536
Wed Feb 17 18:39:22 2016	1455734362	0	869	869	831
Wed Feb 17 18:38:56 2016	1455734336	0	872	873	843
Wed Feb 17 18:38:12 2016	1455734292	2	873	875	839
Wed Feb 17 18:38:07 2016	1455734287	118	757	875	616
Wed Feb 17 18:38:27 2016	1455734307	8	868	876	816
Wed Feb 17 18:38:09 2016	1455734289	187	688	876	599
Wed Feb 17 18:38:40 2016	1455734320	0	876	877	799
Wed Feb 17 18:40:04 2016	1455734404	192	687	879	597
Wed Feb 17 18:37:57 2016	1455734277	2	880	882	807
Wed Feb 17 18:39:22 2016	1455734362	0	881	882	852
Wed Feb 17 18:38:38 2016	1455734318	4	880	883	569
Wed Feb 17 18:40:18 2016	1455734418	58	826	884	766
Wed Feb 17 18:40:13 2016	1455734413	7	878	885	575
Wed Feb 17 18:38:22 2016	1455734302	0	890	890	554
Wed Feb 17 18:39:23 2016	1455734363	2	889	891	817
Wed Feb 17 18:38:43 2016	1455734323	2	893	894	852
Wed Feb 17 18:37:53 2016	1455734273	2	894	896	849
Wed Feb 17 18:39:11 2016	1455734351	0	896	896	867
Wed Feb 17 18:38:58 2016	1455734338	0	899	899	864
Wed Feb 17 18:38:18 2016	1455734298	3	901	903	861
Wed Feb 17 18:40:13 2016	1455734413	2	902	904	863
Wed Feb 17 18:40:20 2016	1455734420	0	905	906	876
Wed Feb 17 18:39:27 2016	1455734367	0	907	908	849
Wed Feb 17 18:38:55 2016	1455734335	4	907	910	801
Wed Feb 17 18:39:49 2016	1455734389	96	820	916	782
Wed Feb 17 18:40:12 2016	1455734412	3	916	919	858
Wed Feb 17 18:39:33 2016	1455734373	0	919	920	847
Wed Feb 17 18:39:54 2016	1455734394	2	918	920	882
Wed Feb 17 18:38:03 2016	1455734283	47	874	921	836
Wed Feb 17 18:39:44 2016	1455734384	9	912	922	769
Wed Feb 17 18:38:44 2016	1455734324	16	908	924	794
Wed Feb 17 18:39:54 2016	1455734394	1	925	926	851
