starttime	seconds	ctime	dtime	ttime	wait
Mon Feb 15 15:24:17 2016	1455549857	1	463	464	430
Mon Feb 15 15:22:26 2016	1455549746	3	571	574	534
Mon Feb 15 15:22:26 2016	1455549746	0	610	610	578
Mon Feb 15 15:22:02 2016	1455549722	2	650	652	615
Mon Feb 15 15:22:02 2016	1455549722	1	688	690	651
Mon Feb 15 15:22:48 2016	1455549768	194	501	695	464
Mon Feb 15 15:22:48 2016	1455549768	157	539	696	501
Mon Feb 15 15:22:48 2016	1455549768	84	612	696	574
Mon Feb 15 15:22:48 2016	1455549768	121	575	696	538
Mon Feb 15 15:22:48 2016	1455549768	47	649	696	611
Mon Feb 15 15:22:48 2016	1455549768	2	694	696	649
Mon Feb 15 15:21:52 2016	1455549712	1	701	703	665
Mon Feb 15 15:24:04 2016	1455549844	1	721	722	686
Mon Feb 15 15:22:11 2016	1455549731	2	723	725	686
Mon Feb 15 15:22:11 2016	1455549731	2	724	725	688
Mon Feb 15 15:22:02 2016	1455549722	0	726	726	689
Mon Feb 15 15:23:18 2016	1455549798	2	727	729	691
Mon Feb 15 15:22:48 2016	1455549768	0	730	730	696
Mon Feb 15 15:24:56 2016	1455549896	1	732	733	696
Mon Feb 15 15:22:51 2016	1455549771	1	734	735	698
Mon Feb 15 15:23:09 2016	1455549789	2	735	737	698
Mon Feb 15 15:22:17 2016	1455549737	2	737	738	701
Mon Feb 15 15:23:52 2016	1455549832	1	743	744	707
Mon Feb 15 15:24:53 2016	1455549893	1	748	749	711
Mon Feb 15 15:22:23 2016	1455549743	2	748	750	713
Mon Feb 15 15:24:26 2016	1455549866	2	751	753	713
Mon Feb 15 15:24:25 2016	1455549865	2	754	755	710
Mon Feb 15 15:24:35 2016	1455549875	2	757	759	713
Mon Feb 15 15:23:15 2016	1455549795	2	757	759	721
Mon Feb 15 15:22:14 2016	1455549734	2	758	760	723
Mon Feb 15 15:22:41 2016	1455549761	2	758	760	723
Mon Feb 15 15:22:32 2016	1455549752	1	759	761	721
Mon Feb 15 15:24:13 2016	1455549853	1	760	761	724
Mon Feb 15 15:23:36 2016	1455549816	1	761	762	726
Mon Feb 15 15:23:43 2016	1455549823	2	761	763	723
Mon Feb 15 15:24:07 2016	1455549847	2	761	763	723
Mon Feb 15 15:22:02 2016	1455549722	0	763	764	735
Mon Feb 15 15:23:21 2016	1455549801	1	762	764	727
Mon Feb 15 15:24:22 2016	1455549862	37	727	764	690
Mon Feb 15 15:24:22 2016	1455549862	2	763	765	727
Mon Feb 15 15:22:54 2016	1455549774	1	764	766	730
Mon Feb 15 15:24:19 2016	1455549859	2	764	766	729
Mon Feb 15 15:23:55 2016	1455549835	2	765	766	721
Mon Feb 15 15:24:44 2016	1455549884	2	764	766	719
Mon Feb 15 15:24:44 2016	1455549884	47	720	767	678
Mon Feb 15 15:23:00 2016	1455549780	2	767	769	730
Mon Feb 15 15:22:35 2016	1455549755	1	768	770	732
Mon Feb 15 15:24:59 2016	1455549899	2	768	770	730
Mon Feb 15 15:24:50 2016	1455549890	1	769	770	734
Mon Feb 15 15:23:06 2016	1455549786	2	769	771	734
Mon Feb 15 15:23:03 2016	1455549783	1	771	773	731
Mon Feb 15 15:22:38 2016	1455549758	2	773	774	736
Mon Feb 15 15:24:53 2016	1455549893	3	772	776	716
Mon Feb 15 15:23:12 2016	1455549792	2	774	776	739
Mon Feb 15 15:24:22 2016	1455549862	1	775	777	729
Mon Feb 15 15:23:09 2016	1455549789	2	776	777	737
Mon Feb 15 15:23:24 2016	1455549804	1	776	777	740
Mon Feb 15 15:21:52 2016	1455549712	2	776	778	739
Mon Feb 15 15:21:52 2016	1455549712	38	740	778	702
Mon Feb 15 15:22:38 2016	1455549758	2	777	778	738
Mon Feb 15 15:23:12 2016	1455549792	1	777	779	740
Mon Feb 15 15:23:09 2016	1455549789	2	779	781	743
Mon Feb 15 15:21:49 2016	1455549709	120	664	783	627
Mon Feb 15 15:23:30 2016	1455549810	2	782	783	746
Mon Feb 15 15:23:30 2016	1455549810	1	784	785	748
Mon Feb 15 15:22:20 2016	1455549740	1	785	787	749
Mon Feb 15 15:22:23 2016	1455549743	2	785	787	749
Mon Feb 15 15:22:23 2016	1455549743	1	789	790	751
Mon Feb 15 15:23:49 2016	1455549829	1	789	791	685
Mon Feb 15 15:22:57 2016	1455549777	2	792	794	756
Mon Feb 15 15:23:36 2016	1455549816	1	795	796	757
Mon Feb 15 15:22:08 2016	1455549728	1	795	797	759
Mon Feb 15 15:24:13 2016	1455549853	2	795	797	760
Mon Feb 15 15:23:15 2016	1455549795	2	796	798	759
Mon Feb 15 15:24:35 2016	1455549875	2	797	798	725
Mon Feb 15 15:22:14 2016	1455549734	1	797	799	759
Mon Feb 15 15:22:11 2016	1455549731	1	799	799	761
Mon Feb 15 15:23:33 2016	1455549813	1	798	799	763
Mon Feb 15 15:24:07 2016	1455549847	1	799	800	763
Mon Feb 15 15:23:58 2016	1455549838	1	799	800	761
Mon Feb 15 15:22:17 2016	1455549737	1	799	800	759
Mon Feb 15 15:21:55 2016	1455549715	2	799	801	760
Mon Feb 15 15:24:04 2016	1455549844	2	800	801	765
Mon Feb 15 15:24:35 2016	1455549875	2	799	801	764
Mon Feb 15 15:22:41 2016	1455549761	2	799	801	760
Mon Feb 15 15:22:54 2016	1455549774	2	800	802	768
Mon Feb 15 15:23:55 2016	1455549835	1	801	803	765
Mon Feb 15 15:22:32 2016	1455549752	2	801	803	761
Mon Feb 15 15:23:21 2016	1455549801	2	801	803	764
Mon Feb 15 15:23:43 2016	1455549823	2	801	803	765
Mon Feb 15 15:23:33 2016	1455549813	2	802	804	767
Mon Feb 15 15:22:08 2016	1455549728	2	802	804	764
Mon Feb 15 15:24:10 2016	1455549850	2	802	804	767
Mon Feb 15 15:22:44 2016	1455549764	1	803	804	774
Mon Feb 15 15:24:19 2016	1455549859	2	804	806	766
Mon Feb 15 15:23:00 2016	1455549780	2	804	806	769
Mon Feb 15 15:24:29 2016	1455549869	2	804	806	766
Mon Feb 15 15:24:32 2016	1455549872	2	804	806	771
Mon Feb 15 15:22:50 2016	1455549770	1	806	807	770
Mon Feb 15 15:23:06 2016	1455549786	2	806	807	771
Mon Feb 15 15:24:50 2016	1455549890	2	806	807	770
Mon Feb 15 15:24:16 2016	1455549856	2	806	808	464
Mon Feb 15 15:24:59 2016	1455549899	2	807	809	770
Mon Feb 15 15:22:35 2016	1455549755	2	807	809	770
Mon Feb 15 15:23:27 2016	1455549807	2	810	811	685
Mon Feb 15 15:24:44 2016	1455549884	1	810	812	766
Mon Feb 15 15:23:40 2016	1455549820	2	811	812	775
Mon Feb 15 15:23:24 2016	1455549804	2	810	812	777
Mon Feb 15 15:23:46 2016	1455549826	1	811	813	774
Mon Feb 15 15:24:41 2016	1455549881	1	812	814	778
Mon Feb 15 15:24:47 2016	1455549887	1	814	815	779
Mon Feb 15 15:22:38 2016	1455549758	1	816	818	774
Mon Feb 15 15:23:52 2016	1455549832	2	817	819	780
Mon Feb 15 15:23:52 2016	1455549832	38	781	819	744
Mon Feb 15 15:23:30 2016	1455549810	1	819	820	783
Mon Feb 15 15:22:20 2016	1455549740	2	822	823	786
Mon Feb 15 15:21:49 2016	1455549709	118	707	825	663
Mon Feb 15 15:21:49 2016	1455549709	81	744	825	706
Mon Feb 15 15:21:49 2016	1455549709	42	783	825	743
Mon Feb 15 15:22:57 2016	1455549777	2	824	826	797
Mon Feb 15 15:23:49 2016	1455549829	1	826	827	790
Mon Feb 15 15:23:49 2016	1455549829	2	827	829	722
Mon Feb 15 15:23:33 2016	1455549813	0	830	831	799
Mon Feb 15 15:22:41 2016	1455549761	0	831	831	801
Mon Feb 15 15:22:17 2016	1455549737	1	831	832	738
Mon Feb 15 15:23:15 2016	1455549795	1	832	833	797
Mon Feb 15 15:24:13 2016	1455549853	2	834	836	797
Mon Feb 15 15:22:54 2016	1455549774	1	836	837	808
Mon Feb 15 15:22:14 2016	1455549734	1	835	837	799
Mon Feb 15 15:24:07 2016	1455549847	1	836	837	800
Mon Feb 15 15:24:04 2016	1455549844	2	836	838	801
Mon Feb 15 15:24:59 2016	1455549899	1	837	838	809
Mon Feb 15 15:23:58 2016	1455549838	2	837	839	800
Mon Feb 15 15:22:29 2016	1455549749	1	837	839	802
Mon Feb 15 15:22:11 2016	1455549731	1	838	839	809
Mon Feb 15 15:23:55 2016	1455549835	1	838	839	802
Mon Feb 15 15:21:55 2016	1455549715	1	839	840	806
Mon Feb 15 15:23:21 2016	1455549801	2	839	841	803
Mon Feb 15 15:22:32 2016	1455549752	1	839	841	802
Mon Feb 15 15:24:10 2016	1455549850	1	839	841	804
Mon Feb 15 15:23:18 2016	1455549798	0	841	841	810
Mon Feb 15 15:24:19 2016	1455549859	2	840	842	807
Mon Feb 15 15:23:33 2016	1455549813	2	840	842	804
Mon Feb 15 15:22:44 2016	1455549764	0	842	842	811
Mon Feb 15 15:22:50 2016	1455549770	2	840	842	805
Mon Feb 15 15:24:25 2016	1455549865	2	841	843	798
Mon Feb 15 15:24:28 2016	1455549868	2	841	843	805
Mon Feb 15 15:23:00 2016	1455549780	1	842	843	806
Mon Feb 15 15:23:40 2016	1455549820	0	843	843	812
Mon Feb 15 15:24:10 2016	1455549850	2	843	844	807
Mon Feb 15 15:24:50 2016	1455549890	1	844	845	807
Mon Feb 15 15:24:41 2016	1455549881	1	845	847	808
Mon Feb 15 15:22:08 2016	1455549728	1	845	847	804
Mon Feb 15 15:24:53 2016	1455549893	60	787	847	749
Mon Feb 15 15:23:24 2016	1455549804	2	846	847	814
Mon Feb 15 15:23:03 2016	1455549783	2	846	847	811
Mon Feb 15 15:24:16 2016	1455549856	2	846	848	811
Mon Feb 15 15:23:06 2016	1455549786	1	847	848	807
Mon Feb 15 15:23:43 2016	1455549823	2	846	848	813
Mon Feb 15 15:23:27 2016	1455549807	0	848	848	812
Mon Feb 15 15:24:59 2016	1455549899	2	847	848	812
Mon Feb 15 15:21:55 2016	1455549715	1	848	849	801
Mon Feb 15 15:24:22 2016	1455549862	2	848	850	812
Mon Feb 15 15:23:27 2016	1455549807	1	849	850	820
Mon Feb 15 15:24:47 2016	1455549887	2	850	851	815
Mon Feb 15 15:24:01 2016	1455549841	2	851	852	815
Mon Feb 15 15:23:12 2016	1455549792	1	851	852	815
Mon Feb 15 15:23:46 2016	1455549826	2	851	853	813
Mon Feb 15 15:22:35 2016	1455549755	1	854	855	809
Mon Feb 15 15:24:44 2016	1455549884	1	855	856	812
Mon Feb 15 15:24:47 2016	1455549887	1	856	858	820
Mon Feb 15 15:23:09 2016	1455549789	2	857	858	814
Mon Feb 15 15:23:30 2016	1455549810	2	859	861	823
Mon Feb 15 15:22:20 2016	1455549740	1	860	861	823
Mon Feb 15 15:21:49 2016	1455549709	1	863	863	822
Mon Feb 15 15:22:23 2016	1455549743	2	863	864	826
Mon Feb 15 15:23:46 2016	1455549826	1	865	866	827
Mon Feb 15 15:23:49 2016	1455549829	2	865	866	760
Mon Feb 15 15:23:15 2016	1455549795	2	869	870	833
Mon Feb 15 15:22:57 2016	1455549777	2	869	870	833
Mon Feb 15 15:24:13 2016	1455549853	0	871	871	842
Mon Feb 15 15:21:49 2016	1455549709	48	824	872	783
Mon Feb 15 15:24:32 2016	1455549872	37	836	873	770
Mon Feb 15 15:24:32 2016	1455549872	2	871	873	836
Mon Feb 15 15:22:26 2016	1455549746	2	872	874	836
Mon Feb 15 15:21:52 2016	1455549712	1	873	874	777
Mon Feb 15 15:24:04 2016	1455549844	2	873	875	838
Mon Feb 15 15:22:14 2016	1455549734	2	873	875	836
Mon Feb 15 15:24:07 2016	1455549847	2	874	876	837
Mon Feb 15 15:23:37 2016	1455549817	2	875	877	839
Mon Feb 15 15:24:35 2016	1455549875	1	876	877	836
Mon Feb 15 15:24:10 2016	1455549850	2	876	878	840
Mon Feb 15 15:22:32 2016	1455549752	2	876	878	840
Mon Feb 15 15:23:21 2016	1455549801	2	876	878	840
Mon Feb 15 15:22:41 2016	1455549761	1	877	878	849
Mon Feb 15 15:23:58 2016	1455549838	2	877	878	838
Mon Feb 15 15:24:56 2016	1455549896	2	877	878	841
Mon Feb 15 15:23:55 2016	1455549835	2	877	878	839
Mon Feb 15 15:24:19 2016	1455549859	2	877	879	844
Mon Feb 15 15:22:11 2016	1455549731	0	879	879	847
Mon Feb 15 15:22:44 2016	1455549764	2	878	880	843
Mon Feb 15 15:23:21 2016	1455549801	1	879	880	842
Mon Feb 15 15:22:29 2016	1455549749	2	879	880	839
Mon Feb 15 15:21:55 2016	1455549715	0	881	881	852
Mon Feb 15 15:23:00 2016	1455549780	1	880	882	843
Mon Feb 15 15:22:53 2016	1455549773	1	880	882	844
Mon Feb 15 15:24:25 2016	1455549865	2	880	882	842
Mon Feb 15 15:23:43 2016	1455549823	0	882	882	843
Mon Feb 15 15:21:55 2016	1455549715	2	881	883	848
Mon Feb 15 15:24:41 2016	1455549881	2	881	883	846
Mon Feb 15 15:24:50 2016	1455549890	1	882	883	845
Mon Feb 15 15:23:58 2016	1455549838	1	882	884	847
Mon Feb 15 15:24:29 2016	1455549869	2	883	884	848
Mon Feb 15 15:24:16 2016	1455549856	2	883	884	848
Mon Feb 15 15:24:47 2016	1455549887	2	884	885	783
Mon Feb 15 15:23:06 2016	1455549786	2	884	886	848
Mon Feb 15 15:23:46 2016	1455549826	0	886	887	856
Mon Feb 15 15:23:24 2016	1455549804	2	886	887	852
Mon Feb 15 15:24:01 2016	1455549841	2	886	887	851
Mon Feb 15 15:23:12 2016	1455549792	2	886	888	852
Mon Feb 15 15:23:18 2016	1455549798	2	887	888	851
Mon Feb 15 15:22:50 2016	1455549770	1	888	889	849
Mon Feb 15 15:24:53 2016	1455549893	1	888	890	847
Mon Feb 15 15:24:01 2016	1455549841	2	888	890	852
Mon Feb 15 15:22:35 2016	1455549755	2	889	892	855
Mon Feb 15 15:23:40 2016	1455549820	1	891	892	855
Mon Feb 15 15:23:30 2016	1455549810	2	894	895	857
Mon Feb 15 15:23:09 2016	1455549789	1	894	895	858
Mon Feb 15 15:24:44 2016	1455549884	1	894	895	856
Mon Feb 15 15:23:52 2016	1455549832	2	894	896	856
Mon Feb 15 15:23:52 2016	1455549832	39	857	896	819
Mon Feb 15 15:22:38 2016	1455549758	1	896	897	857
Mon Feb 15 15:22:20 2016	1455549740	1	898	899	861
Mon Feb 15 15:23:27 2016	1455549807	2	899	901	862
Mon Feb 15 15:23:46 2016	1455549826	0	905	906	874
Mon Feb 15 15:22:23 2016	1455549743	2	907	908	867
Mon Feb 15 15:24:22 2016	1455549862	2	907	908	849
Mon Feb 15 15:21:49 2016	1455549709	37	872	908	824
Mon Feb 15 15:22:57 2016	1455549777	1	909	910	871
Mon Feb 15 15:22:17 2016	1455549737	2	910	911	874
Mon Feb 15 15:24:04 2016	1455549844	1	911	912	875
Mon Feb 15 15:22:14 2016	1455549734	1	911	913	874
Mon Feb 15 15:23:15 2016	1455549795	1	912	913	870
Mon Feb 15 15:21:58 2016	1455549718	1	912	913	874
Mon Feb 15 15:21:52 2016	1455549712	0	913	914	879
Mon Feb 15 15:24:25 2016	1455549865	0	914	914	882
Mon Feb 15 15:22:17 2016	1455549737	2	912	914	878
Mon Feb 15 15:23:00 2016	1455549780	2	914	915	885
Mon Feb 15 15:22:32 2016	1455549752	1	914	915	877
Mon Feb 15 15:22:44 2016	1455549764	1	914	916	880
Mon Feb 15 15:24:56 2016	1455549896	0	915	916	878
Mon Feb 15 15:24:07 2016	1455549847	2	914	916	876
Mon Feb 15 15:23:55 2016	1455549835	2	915	916	878
Mon Feb 15 15:24:35 2016	1455549875	2	916	917	877
Mon Feb 15 15:24:59 2016	1455549899	1	916	918	850
Mon Feb 15 15:24:16 2016	1455549856	0	917	918	886
