Percentage served,Time in ms
0,237.309
1,727.376
2,748.028
3,757.522
4,763.439
5,769.040
6,780.003
7,789.097
8,795.086
9,802.878
10,805.354
11,815.966
12,823.693
13,833.594
14,837.182
15,841.619
16,846.802
17,856.615
18,865.975
19,873.698
20,878.462
21,882.552
22,888.422
23,902.556
24,909.656
25,913.105
26,917.849
27,919.973
28,923.158
29,926.404
30,943.272
31,949.551
32,951.983
33,955.254
34,957.572
35,962.148
36,968.185
37,987.663
38,994.549
39,996.736
40,998.806
41,1001.027
42,1005.489
43,1029.256
44,1032.770
45,1035.567
46,1041.541
47,1074.227
48,1153.601
49,1682.794
50,2056.893
51,2058.944
52,2060.241
53,2060.938
54,2061.771
55,2062.666
56,2064.095
57,2067.548
58,2069.369
59,2071.336
60,2078.428
61,2092.373
62,2096.618
63,2099.407
64,2102.348
65,2104.737
66,2106.462
67,2109.735
68,2115.316
69,2129.478
70,2136.579
71,2139.427
72,2141.911
73,2145.468
74,2149.023
75,2157.158
76,2170.676
77,2178.035
78,2180.081
79,2184.282
80,2187.718
81,2200.502
82,2210.216
83,2215.602
84,2219.736
85,2226.239
86,2235.302
87,2245.045
88,2252.429
89,2257.554
90,2263.565
91,2268.036
92,2275.273
93,2290.856
94,2294.373
95,2302.316
96,2312.529
97,2341.702
98,2574.022
99,3024.442
100,3408.937
