starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 18 10:42:27 2016	1455792147	0	424	425	300
Thu Feb 18 10:41:53 2016	1455792113	0	437	437	287
Thu Feb 18 10:42:11 2016	1455792131	0	437	437	406
Thu Feb 18 10:42:04 2016	1455792124	1	441	442	341
Thu Feb 18 10:42:02 2016	1455792122	3	458	461	421
Thu Feb 18 10:42:31 2016	1455792151	1	473	474	427
Thu Feb 18 10:42:25 2016	1455792145	3	484	488	447
Thu Feb 18 10:42:37 2016	1455792157	1	498	499	444
Thu Feb 18 10:42:35 2016	1455792155	0	501	501	473
Thu Feb 18 10:42:22 2016	1455792142	2	503	505	467
Thu Feb 18 10:41:43 2016	1455792103	9	501	510	408
Thu Feb 18 10:41:58 2016	1455792118	7	515	523	424
Thu Feb 18 10:42:11 2016	1455792131	2	525	527	475
Thu Feb 18 10:41:52 2016	1455792112	10	518	529	452
Thu Feb 18 10:42:14 2016	1455792134	2	528	530	484
Thu Feb 18 10:41:54 2016	1455792114	2	530	532	495
Thu Feb 18 10:42:47 2016	1455792167	2	530	532	489
Thu Feb 18 10:42:41 2016	1455792161	34	504	538	400
Thu Feb 18 10:42:06 2016	1455792126	3	538	541	481
Thu Feb 18 10:41:58 2016	1455792118	1	541	542	496
Thu Feb 18 10:42:02 2016	1455792122	4	546	550	476
Thu Feb 18 10:41:50 2016	1455792110	0	551	551	512
Thu Feb 18 10:42:45 2016	1455792165	0	555	555	522
Thu Feb 18 10:42:35 2016	1455792155	19	538	557	484
Thu Feb 18 10:42:13 2016	1455792133	7	555	562	294
Thu Feb 18 10:42:39 2016	1455792159	30	535	565	477
Thu Feb 18 10:42:04 2016	1455792124	5	567	572	395
Thu Feb 18 10:42:23 2016	1455792143	0	572	573	535
Thu Feb 18 10:42:04 2016	1455792124	2	585	587	550
Thu Feb 18 10:42:37 2016	1455792157	24	563	587	429
Thu Feb 18 10:41:46 2016	1455792106	3	589	593	432
Thu Feb 18 10:42:13 2016	1455792133	1	598	598	556
Thu Feb 18 10:42:01 2016	1455792121	6	599	605	556
Thu Feb 18 10:42:17 2016	1455792137	0	604	605	571
Thu Feb 18 10:42:43 2016	1455792163	48	559	607	514
Thu Feb 18 10:42:48 2016	1455792168	2	608	610	569
Thu Feb 18 10:42:23 2016	1455792143	25	590	615	325
Thu Feb 18 10:41:44 2016	1455792104	10	605	615	527
Thu Feb 18 10:41:58 2016	1455792118	0	623	623	593
Thu Feb 18 10:41:44 2016	1455792104	3	623	626	487
Thu Feb 18 10:42:02 2016	1455792122	1	627	628	465
Thu Feb 18 10:41:50 2016	1455792110	0	628	628	530
Thu Feb 18 10:42:45 2016	1455792165	9	620	629	345
Thu Feb 18 10:42:42 2016	1455792162	0	632	632	564
Thu Feb 18 10:42:18 2016	1455792138	1	632	632	597
Thu Feb 18 10:42:24 2016	1455792144	0	636	636	602
Thu Feb 18 10:42:29 2016	1455792149	31	607	637	527
Thu Feb 18 10:42:23 2016	1455792143	2	641	643	598
Thu Feb 18 10:41:53 2016	1455792113	0	644	644	610
Thu Feb 18 10:42:37 2016	1455792157	0	644	644	608
Thu Feb 18 10:42:07 2016	1455792127	0	645	645	352
Thu Feb 18 10:41:58 2016	1455792118	1	646	646	580
Thu Feb 18 10:42:27 2016	1455792147	5	644	649	349
Thu Feb 18 10:42:43 2016	1455792163	3	648	651	603
Thu Feb 18 10:42:19 2016	1455792139	0	651	651	619
Thu Feb 18 10:42:00 2016	1455792120	0	651	651	613
Thu Feb 18 10:42:39 2016	1455792159	88	564	653	526
Thu Feb 18 10:41:46 2016	1455792106	5	650	655	596
Thu Feb 18 10:42:18 2016	1455792138	1	658	660	620
Thu Feb 18 10:42:18 2016	1455792138	40	620	660	528
Thu Feb 18 10:42:09 2016	1455792129	0	673	673	634
Thu Feb 18 10:41:46 2016	1455792106	8	667	675	578
Thu Feb 18 10:42:11 2016	1455792131	52	625	677	585
Thu Feb 18 10:42:02 2016	1455792122	74	608	682	459
Thu Feb 18 10:42:33 2016	1455792153	8	674	682	618
Thu Feb 18 10:41:44 2016	1455792104	0	682	682	644
Thu Feb 18 10:42:42 2016	1455792162	3	684	686	626
Thu Feb 18 10:42:45 2016	1455792165	0	687	687	648
Thu Feb 18 10:42:44 2016	1455792164	2	686	688	643
Thu Feb 18 10:42:48 2016	1455792168	0	691	692	624
Thu Feb 18 10:42:31 2016	1455792151	0	693	693	352
Thu Feb 18 10:41:43 2016	1455792103	103	591	694	520
Thu Feb 18 10:42:34 2016	1455792154	3	692	695	633
Thu Feb 18 10:41:48 2016	1455792108	48	648	696	502
Thu Feb 18 10:42:08 2016	1455792128	2	695	697	658
Thu Feb 18 10:41:48 2016	1455792108	4	694	698	649
Thu Feb 18 10:42:11 2016	1455792131	0	700	700	368
Thu Feb 18 10:42:45 2016	1455792165	13	687	701	646
Thu Feb 18 10:42:01 2016	1455792121	49	654	702	604
Thu Feb 18 10:42:41 2016	1455792161	0	706	706	457
Thu Feb 18 10:42:18 2016	1455792138	0	709	709	632
Thu Feb 18 10:41:42 2016	1455792102	0	710	710	680
Thu Feb 18 10:41:51 2016	1455792111	0	711	711	453
Thu Feb 18 10:42:04 2016	1455792124	177	537	714	456
Thu Feb 18 10:42:12 2016	1455792132	0	717	718	687
Thu Feb 18 10:41:42 2016	1455792102	1	717	719	510
Thu Feb 18 10:42:21 2016	1455792141	0	725	726	390
Thu Feb 18 10:42:31 2016	1455792151	46	682	729	636
Thu Feb 18 10:42:43 2016	1455792163	8	723	731	417
Thu Feb 18 10:42:10 2016	1455792130	0	737	738	697
Thu Feb 18 10:42:00 2016	1455792120	0	738	738	705
Thu Feb 18 10:42:20 2016	1455792140	2	739	740	703
Thu Feb 18 10:42:16 2016	1455792136	0	740	741	706
Thu Feb 18 10:42:21 2016	1455792141	0	741	741	708
Thu Feb 18 10:42:25 2016	1455792145	8	735	743	432
Thu Feb 18 10:41:44 2016	1455792104	0	745	746	683
Thu Feb 18 10:42:42 2016	1455792162	5	743	748	686
Thu Feb 18 10:42:07 2016	1455792127	2	748	750	708
Thu Feb 18 10:41:51 2016	1455792111	1	750	750	716
Thu Feb 18 10:42:47 2016	1455792167	21	729	750	461
Thu Feb 18 10:41:58 2016	1455792118	155	599	754	545
Thu Feb 18 10:42:06 2016	1455792126	1	756	757	700
Thu Feb 18 10:42:04 2016	1455792124	0	759	760	724
Thu Feb 18 10:42:37 2016	1455792157	2	759	761	716
Thu Feb 18 10:42:14 2016	1455792134	23	740	763	459
Thu Feb 18 10:42:20 2016	1455792140	9	755	763	660
Thu Feb 18 10:42:40 2016	1455792160	0	763	764	735
Thu Feb 18 10:42:09 2016	1455792129	4	761	765	678
Thu Feb 18 10:41:57 2016	1455792117	0	766	767	720
Thu Feb 18 10:42:30 2016	1455792150	0	766	767	737
Thu Feb 18 10:42:02 2016	1455792122	0	767	767	735
Thu Feb 18 10:42:39 2016	1455792159	0	768	768	498
Thu Feb 18 10:42:35 2016	1455792155	9	760	769	498
Thu Feb 18 10:41:42 2016	1455792102	1	768	769	652
Thu Feb 18 10:42:28 2016	1455792148	2	769	770	728
Thu Feb 18 10:41:56 2016	1455792116	2	771	773	733
Thu Feb 18 10:41:53 2016	1455792113	2	775	776	496
Thu Feb 18 10:42:30 2016	1455792150	44	738	782	691
Thu Feb 18 10:42:14 2016	1455792134	85	698	783	660
Thu Feb 18 10:42:32 2016	1455792152	1	787	788	664
Thu Feb 18 10:42:22 2016	1455792142	37	751	788	710
Thu Feb 18 10:42:33 2016	1455792153	2	788	790	688
Thu Feb 18 10:41:44 2016	1455792104	88	706	794	648
Thu Feb 18 10:42:31 2016	1455792151	93	710	803	662
Thu Feb 18 10:42:02 2016	1455792122	220	582	803	545
Thu Feb 18 10:42:17 2016	1455792137	1	805	806	770
Thu Feb 18 10:42:08 2016	1455792128	39	768	806	723
Thu Feb 18 10:42:07 2016	1455792127	8	802	811	750
Thu Feb 18 10:42:04 2016	1455792124	37	774	811	731
Thu Feb 18 10:42:24 2016	1455792144	2	813	815	776
Thu Feb 18 10:42:37 2016	1455792157	3	820	823	639
Thu Feb 18 10:42:38 2016	1455792158	0	822	823	793
Thu Feb 18 10:42:26 2016	1455792146	0	823	823	783
Thu Feb 18 10:42:12 2016	1455792132	0	824	824	795
Thu Feb 18 10:42:01 2016	1455792121	3	829	832	524
Thu Feb 18 10:42:37 2016	1455792157	0	836	836	805
Thu Feb 18 10:41:45 2016	1455792105	1	835	837	793
Thu Feb 18 10:42:09 2016	1455792129	0	843	843	762
Thu Feb 18 10:41:58 2016	1455792118	3	843	845	687
Thu Feb 18 10:42:28 2016	1455792148	0	847	848	586
Thu Feb 18 10:42:28 2016	1455792148	0	849	849	777
Thu Feb 18 10:41:48 2016	1455792108	3	849	851	773
Thu Feb 18 10:41:57 2016	1455792117	0	867	867	791
Thu Feb 18 10:42:36 2016	1455792156	2	866	868	828
Thu Feb 18 10:42:22 2016	1455792142	0	871	872	833
Thu Feb 18 10:41:59 2016	1455792119	0	872	873	836
Thu Feb 18 10:41:40 2016	1455792100	5	868	873	749
Thu Feb 18 10:42:42 2016	1455792162	2	871	873	830
Thu Feb 18 10:41:56 2016	1455792116	4	873	877	826
Thu Feb 18 10:41:56 2016	1455792116	0	880	880	848
Thu Feb 18 10:42:37 2016	1455792157	45	842	886	803
Thu Feb 18 10:42:20 2016	1455792140	37	856	893	718
Thu Feb 18 10:42:18 2016	1455792138	35	861	896	567
Thu Feb 18 10:41:55 2016	1455792115	2	895	897	848
Thu Feb 18 10:41:46 2016	1455792106	0	898	899	865
Thu Feb 18 10:42:24 2016	1455792144	0	898	899	814
Thu Feb 18 10:41:55 2016	1455792115	0	901	901	865
Thu Feb 18 10:41:49 2016	1455792109	2	902	904	864
Thu Feb 18 10:41:49 2016	1455792109	0	903	904	875
Thu Feb 18 10:41:48 2016	1455792108	77	828	905	765
Thu Feb 18 10:42:26 2016	1455792146	0	910	910	881
Thu Feb 18 10:42:05 2016	1455792125	0	915	915	869
Thu Feb 18 10:41:43 2016	1455792103	190	727	917	686
Thu Feb 18 10:41:50 2016	1455792110	3	915	918	854
Thu Feb 18 10:42:46 2016	1455792166	0	919	919	871
Thu Feb 18 10:42:33 2016	1455792153	2	920	922	881
Thu Feb 18 10:41:51 2016	1455792111	2	923	925	875
Thu Feb 18 10:41:55 2016	1455792115	0	925	925	738
Thu Feb 18 10:42:30 2016	1455792150	1	928	929	887
Thu Feb 18 10:41:42 2016	1455792102	0	929	929	784
Thu Feb 18 10:42:16 2016	1455792136	2	927	929	791
Thu Feb 18 10:42:00 2016	1455792120	1	929	929	898
Thu Feb 18 10:42:39 2016	1455792159	3	927	929	884
Thu Feb 18 10:42:16 2016	1455792136	1	931	932	854
Thu Feb 18 10:42:09 2016	1455792129	0	934	934	902
Thu Feb 18 10:41:57 2016	1455792117	6	929	935	877
Thu Feb 18 10:42:29 2016	1455792149	2	941	942	903
Thu Feb 18 10:41:48 2016	1455792108	2	941	943	904
Thu Feb 18 10:41:53 2016	1455792113	0	944	944	878
Thu Feb 18 10:42:03 2016	1455792123	39	906	945	870
Thu Feb 18 10:42:00 2016	1455792120	1	944	945	904
Thu Feb 18 10:41:40 2016	1455792100	6	940	947	862
Thu Feb 18 10:42:36 2016	1455792156	0	950	951	878
Thu Feb 18 10:41:52 2016	1455792112	65	887	952	819
Thu Feb 18 10:42:43 2016	1455792163	140	815	956	770
Thu Feb 18 10:42:34 2016	1455792154	0	956	956	924
Thu Feb 18 10:41:55 2016	1455792115	2	957	959	918
Thu Feb 18 10:42:38 2016	1455792158	2	958	960	921
Thu Feb 18 10:42:06 2016	1455792126	59	908	967	805
Thu Feb 18 10:42:10 2016	1455792130	2	972	974	935
Thu Feb 18 10:42:27 2016	1455792147	50	927	977	883
Thu Feb 18 10:41:55 2016	1455792115	2	976	978	937
Thu Feb 18 10:41:45 2016	1455792105	43	936	979	891
Thu Feb 18 10:41:47 2016	1455792107	2	981	983	936
Thu Feb 18 10:42:11 2016	1455792131	91	892	983	851
Thu Feb 18 10:42:10 2016	1455792130	0	983	984	951
