Percentage served,Time in ms
0,836.518
1,1997.476
2,2326.474
3,2577.748
4,2820.494
5,3092.092
6,3302.229
7,3491.956
8,3613.412
9,3797.524
10,3923.880
11,3994.134
12,4053.269
13,4182.955
14,4366.826
15,4516.863
16,4597.128
17,4677.682
18,4767.291
19,4798.549
20,4879.450
21,4964.695
22,5163.582
23,5280.750
24,5382.045
25,5466.651
26,5580.107
27,5728.803
28,5811.336
29,5942.154
30,6039.288
31,6126.152
32,6219.426
33,6281.943
34,6331.444
35,6457.757
36,6538.740
37,6604.232
38,6710.340
39,6860.510
40,6944.315
41,7123.283
42,7226.596
43,7341.281
44,7408.839
45,7469.450
46,7547.749
47,7648.027
48,7811.958
49,7953.284
50,7997.465
51,8052.501
52,8152.887
53,8231.683
54,8380.027
55,8480.499
56,8555.931
57,8622.909
58,8702.811
59,8746.490
60,8822.042
61,8893.834
62,8966.289
63,9052.534
64,9085.510
65,9299.811
66,9420.916
67,9568.491
68,9659.516
69,9734.718
70,9837.371
71,9960.406
72,10047.721
73,10186.709
74,10319.890
75,10427.692
76,10532.747
77,10763.329
78,10947.105
79,11174.785
80,11293.968
81,11427.800
82,11573.352
83,11706.587
84,11806.101
85,12000.067
86,12181.217
87,12375.818
88,12578.966
89,12823.822
90,13134.914
91,13384.931
92,13691.833
93,14196.494
94,14536.906
95,15166.917
96,15404.578
97,15870.029
98,17063.815
99,17985.923
100,19715.419
