starttime	seconds	ctime	dtime	ttime	wait
Sun Feb 14 15:40:46 2016	1455464446	2	1322	1324	1284
Sun Feb 14 15:40:10 2016	1455464410	0	1483	1484	1451
Sun Feb 14 15:39:49 2016	1455464389	0	1555	1556	1521
Sun Feb 14 15:38:52 2016	1455464332	2	1645	1647	1609
Sun Feb 14 15:39:57 2016	1455464397	0	1663	1663	1627
Sun Feb 14 15:40:29 2016	1455464429	0	1805	1806	1772
Sun Feb 14 15:41:02 2016	1455464462	100	1775	1875	1732
Sun Feb 14 15:38:52 2016	1455464332	0	2013	2013	1976
Sun Feb 14 15:40:15 2016	1455464415	34	1989	2023	1514
Sun Feb 14 15:40:15 2016	1455464415	505	1518	2023	965
Sun Feb 14 15:39:37 2016	1455464377	603	1423	2026	612
Sun Feb 14 15:39:37 2016	1455464377	21	2005	2026	1420
Sun Feb 14 15:40:12 2016	1455464412	2	2111	2113	2048
Sun Feb 14 15:38:59 2016	1455464339	935	1184	2119	855
Sun Feb 14 15:38:59 2016	1455464339	18	2101	2119	1385
Sun Feb 14 15:41:05 2016	1455464465	2	2216	2218	2176
Sun Feb 14 15:39:52 2016	1455464392	3	2268	2271	2114
Sun Feb 14 15:39:23 2016	1455464363	2	2347	2349	2310
Sun Feb 14 15:40:15 2016	1455464415	9	2388	2396	2019
Sun Feb 14 15:39:39 2016	1455464379	4	2490	2494	2442
Sun Feb 14 15:39:39 2016	1455464379	50	2444	2495	2326
Sun Feb 14 15:39:39 2016	1455464379	166	2329	2495	2289
Sun Feb 14 15:41:01 2016	1455464461	147	2406	2553	2363
Sun Feb 14 15:40:31 2016	1455464431	164	2455	2619	2417
Sun Feb 14 15:41:06 2016	1455464466	0	2673	2674	2637
Sun Feb 14 15:39:37 2016	1455464377	1	2684	2684	2024
Sun Feb 14 15:41:06 2016	1455464466	593	2130	2724	2074
Sun Feb 14 15:40:17 2016	1455464417	240	2493	2734	2267
Sun Feb 14 15:40:17 2016	1455464417	138	2596	2734	2542
Sun Feb 14 15:40:17 2016	1455464417	191	2542	2734	2492
Sun Feb 14 15:40:17 2016	1455464417	99	2635	2734	2595
Sun Feb 14 15:40:17 2016	1455464417	58	2676	2734	2634
Sun Feb 14 15:40:17 2016	1455464417	4	2729	2734	2675
Sun Feb 14 15:38:59 2016	1455464339	2	2770	2772	2118
Sun Feb 14 15:39:59 2016	1455464399	13	2761	2774	2460
Sun Feb 14 15:39:49 2016	1455464389	3	2774	2777	2732
Sun Feb 14 15:39:49 2016	1455464389	3	2796	2799	2698
Sun Feb 14 15:40:49 2016	1455464449	44	2797	2841	2672
Sun Feb 14 15:39:01 2016	1455464341	5	2847	2852	2774
Sun Feb 14 15:39:01 2016	1455464341	115	2737	2852	2687
Sun Feb 14 15:39:01 2016	1455464341	214	2638	2852	2504
Sun Feb 14 15:39:01 2016	1455464341	78	2774	2852	2737
Sun Feb 14 15:39:01 2016	1455464341	165	2688	2852	2638
Sun Feb 14 15:39:01 2016	1455464341	347	2505	2853	2467
Sun Feb 14 15:39:01 2016	1455464341	385	2468	2853	2429
Sun Feb 14 15:39:01 2016	1455464341	422	2431	2853	2385
Sun Feb 14 15:39:26 2016	1455464366	219	2758	2977	2703
Sun Feb 14 15:38:52 2016	1455464332	0	3030	3030	2963
Sun Feb 14 15:40:14 2016	1455464414	2	3040	3042	2999
Sun Feb 14 15:39:39 2016	1455464379	203	2862	3065	2775
Sun Feb 14 15:39:39 2016	1455464379	346	2719	3065	2673
Sun Feb 14 15:40:14 2016	1455464414	1	3123	3125	3039
Sun Feb 14 15:39:14 2016	1455464354	1	3161	3161	3080
Sun Feb 14 15:40:14 2016	1455464414	2	3164	3167	3121
Sun Feb 14 15:41:04 2016	1455464464	0	3185	3185	3151
Sun Feb 14 15:38:58 2016	1455464338	0	3212	3213	3182
Sun Feb 14 15:40:14 2016	1455464414	5	3228	3234	3163
Sun Feb 14 15:40:17 2016	1455464417	505	2769	3274	2693
Sun Feb 14 15:40:17 2016	1455464417	465	2809	3274	2769
Sun Feb 14 15:39:36 2016	1455464376	0	3282	3283	3247
Sun Feb 14 15:40:33 2016	1455464433	0	3314	3315	3275
Sun Feb 14 15:41:14 2016	1455464474	0	3352	3353	3310
Sun Feb 14 15:38:58 2016	1455464338	1	3357	3358	3316
Sun Feb 14 15:40:14 2016	1455464414	0	3401	3401	3351
Sun Feb 14 15:38:58 2016	1455464338	5	3401	3406	3355
Sun Feb 14 15:39:36 2016	1455464376	2	3417	3419	3363
Sun Feb 14 15:40:17 2016	1455464417	644	2789	3433	2742
Sun Feb 14 15:41:07 2016	1455464467	543	2903	3446	2848
Sun Feb 14 15:40:35 2016	1455464435	2	3445	3446	3337
Sun Feb 14 15:39:36 2016	1455464376	4	3453	3457	3419
Sun Feb 14 15:40:45 2016	1455464445	1	3463	3464	3429
Sun Feb 14 15:39:19 2016	1455464359	1	3483	3484	3432
Sun Feb 14 15:41:05 2016	1455464465	1	3490	3491	3449
Sun Feb 14 15:39:39 2016	1455464379	430	3111	3541	3061
Sun Feb 14 15:39:57 2016	1455464397	0	3541	3542	3510
Sun Feb 14 15:39:01 2016	1455464341	467	3100	3567	3014
Sun Feb 14 15:39:01 2016	1455464341	553	3014	3567	2965
Sun Feb 14 15:39:36 2016	1455464376	0	3569	3570	3534
Sun Feb 14 15:40:33 2016	1455464433	0	3593	3594	3558
Sun Feb 14 15:40:14 2016	1455464414	0	3597	3598	3558
Sun Feb 14 15:40:45 2016	1455464445	5	3596	3601	3540
Sun Feb 14 15:40:17 2016	1455464417	581	3031	3611	2967
Sun Feb 14 15:38:55 2016	1455464335	169	3456	3626	3405
Sun Feb 14 15:39:58 2016	1455464398	0	3643	3644	3610
Sun Feb 14 15:40:45 2016	1455464445	4	3655	3659	3600
Sun Feb 14 15:39:36 2016	1455464376	0	3661	3661	3616
Sun Feb 14 15:39:19 2016	1455464359	2	3662	3664	3618
Sun Feb 14 15:40:17 2016	1455464417	688	2996	3684	2958
Sun Feb 14 15:41:08 2016	1455464468	2	3700	3702	3586
Sun Feb 14 15:40:48 2016	1455464448	142	3561	3703	3333
Sun Feb 14 15:40:48 2016	1455464448	370	3334	3704	3181
Sun Feb 14 15:40:48 2016	1455464448	740	2964	3704	2879
Sun Feb 14 15:39:01 2016	1455464341	602	3112	3714	3022
Sun Feb 14 15:40:09 2016	1455464409	9	3719	3728	3655
Sun Feb 14 15:40:49 2016	1455464449	3	3734	3737	3692
Sun Feb 14 15:41:07 2016	1455464467	1043	2700	3742	2657
Sun Feb 14 15:40:38 2016	1455464438	188	3586	3774	3546
Sun Feb 14 15:38:58 2016	1455464338	0	3775	3775	3746
Sun Feb 14 15:40:13 2016	1455464413	0	3789	3789	3760
Sun Feb 14 15:39:56 2016	1455464396	1	3821	3822	3778
Sun Feb 14 15:41:01 2016	1455464461	5	3817	3822	3675
Sun Feb 14 15:39:58 2016	1455464398	0	3824	3824	3778
Sun Feb 14 15:40:17 2016	1455464417	726	3114	3840	3062
Sun Feb 14 15:40:57 2016	1455464457	0	3852	3852	3822
Sun Feb 14 15:39:31 2016	1455464371	3	3854	3857	3816
Sun Feb 14 15:41:01 2016	1455464461	0	3880	3880	3852
Sun Feb 14 15:41:07 2016	1455464467	144	3741	3884	3652
Sun Feb 14 15:40:00 2016	1455464400	2	3914	3916	3830
Sun Feb 14 15:40:17 2016	1455464417	815	3109	3924	3063
Sun Feb 14 15:40:13 2016	1455464413	0	3930	3930	3895
Sun Feb 14 15:38:57 2016	1455464337	0	3935	3935	3897
Sun Feb 14 15:40:17 2016	1455464417	777	3185	3962	3146
Sun Feb 14 15:41:07 2016	1455464467	747	3218	3966	3174
Sun Feb 14 15:40:49 2016	1455464449	169	3821	3991	3710
Sun Feb 14 15:40:47 2016	1455464447	9	4040	4049	3704
Sun Feb 14 15:40:46 2016	1455464446	0	4058	4058	3969
Sun Feb 14 15:39:26 2016	1455464366	567	3502	4069	3377
Sun Feb 14 15:41:05 2016	1455464465	0	4073	4074	4043
Sun Feb 14 15:39:35 2016	1455464375	1	4075	4077	4048
Sun Feb 14 15:39:39 2016	1455464379	392	3706	4098	3668
Sun Feb 14 15:41:07 2016	1455464467	232	3871	4103	3753
Sun Feb 14 15:40:44 2016	1455464444	115	4030	4144	3989
Sun Feb 14 15:40:17 2016	1455464417	861	3286	4147	3249
Sun Feb 14 15:41:03 2016	1455464463	2	4162	4164	4119
Sun Feb 14 15:39:52 2016	1455464392	0	4185	4186	4118
Sun Feb 14 15:39:01 2016	1455464341	691	3498	4189	3456
Sun Feb 14 15:40:13 2016	1455464413	0	4198	4199	4164
Sun Feb 14 15:41:15 2016	1455464475	0	4215	4215	4183
Sun Feb 14 15:41:03 2016	1455464463	3	4228	4231	4163
Sun Feb 14 15:38:57 2016	1455464337	0	4231	4232	4193
Sun Feb 14 15:40:00 2016	1455464400	86	4160	4246	4123
Sun Feb 14 15:40:17 2016	1455464417	898	3351	4248	3310
Sun Feb 14 15:39:39 2016	1455464379	553	3733	4286	3691
Sun Feb 14 15:39:35 2016	1455464375	1	4298	4299	4259
Sun Feb 14 15:40:00 2016	1455464400	409	3891	4300	3850
Sun Feb 14 15:40:13 2016	1455464413	0	4315	4316	4283
Sun Feb 14 15:39:19 2016	1455464359	0	4349	4349	4280
Sun Feb 14 15:39:35 2016	1455464375	3	4352	4355	4310
Sun Feb 14 15:41:07 2016	1455464467	852	3570	4423	3418
Sun Feb 14 15:41:07 2016	1455464467	3	4421	4424	4280
Sun Feb 14 15:40:00 2016	1455464400	449	3997	4446	3958
Sun Feb 14 15:39:35 2016	1455464375	3	4457	4460	4355
Sun Feb 14 15:40:43 2016	1455464443	71	4396	4467	4238
Sun Feb 14 15:39:21 2016	1455464361	0	4488	4489	4460
Sun Feb 14 15:39:37 2016	1455464377	1960	2539	4499	2492
Sun Feb 14 15:39:37 2016	1455464377	1868	2633	4501	2537
Sun Feb 14 15:38:57 2016	1455464337	2	4500	4502	4458
Sun Feb 14 15:39:37 2016	1455464377	1411	3103	4514	2853
Sun Feb 14 15:39:37 2016	1455464377	1661	2854	4515	2805
Sun Feb 14 15:39:37 2016	1455464377	1709	2806	4515	2757
Sun Feb 14 15:39:37 2016	1455464377	1756	2759	4515	2709
Sun Feb 14 15:39:37 2016	1455464377	1804	2711	4515	2668
Sun Feb 14 15:39:37 2016	1455464377	1846	2669	4515	2631
Sun Feb 14 15:39:59 2016	1455464399	313	4237	4550	4129
Sun Feb 14 15:39:09 2016	1455464349	0	4551	4551	4520
Sun Feb 14 15:40:17 2016	1455464417	938	3615	4552	3435
Sun Feb 14 15:40:47 2016	1455464447	0	4567	4568	4528
Sun Feb 14 15:40:50 2016	1455464450	84	4489	4572	4442
Sun Feb 14 15:39:35 2016	1455464375	1	4573	4574	4534
Sun Feb 14 15:40:08 2016	1455464408	0	4586	4587	4555
Sun Feb 14 15:40:44 2016	1455464444	9	4581	4590	4538
Sun Feb 14 15:39:54 2016	1455464394	0	4591	4591	4556
Sun Feb 14 15:40:48 2016	1455464448	824	3775	4599	3737
Sun Feb 14 15:40:48 2016	1455464448	523	4076	4599	3981
Sun Feb 14 15:40:48 2016	1455464448	617	3982	4599	3858
Sun Feb 14 15:40:48 2016	1455464448	4	4596	4600	4457
Sun Feb 14 15:39:39 2016	1455464379	594	4014	4608	3977
Sun Feb 14 15:40:00 2016	1455464400	223	4388	4611	4351
Sun Feb 14 15:40:17 2016	1455464417	1118	3493	4611	3456
Sun Feb 14 15:39:54 2016	1455464394	0	4615	4616	4586
Sun Feb 14 15:39:59 2016	1455464399	460	4175	4636	4137
Sun Feb 14 15:41:03 2016	1455464463	1	4640	4641	4596
Sun Feb 14 15:39:39 2016	1455464379	290	4389	4679	4332
Sun Feb 14 15:40:12 2016	1455464412	0	4701	4701	4665
Sun Feb 14 15:38:52 2016	1455464332	36	4674	4711	4637
Sun Feb 14 15:38:57 2016	1455464337	2	4717	4719	4498
Sun Feb 14 15:41:13 2016	1455464473	0	4733	4734	4704
Sun Feb 14 15:40:15 2016	1455464415	1054	3699	4753	2843
Sun Feb 14 15:40:15 2016	1455464415	1909	2844	4753	2782
Sun Feb 14 15:40:15 2016	1455464415	1970	2783	4753	2734
Sun Feb 14 15:38:57 2016	1455464337	3	4779	4782	4716
Sun Feb 14 15:41:08 2016	1455464468	213	4570	4783	4490
Sun Feb 14 15:40:29 2016	1455464429	2	4787	4789	4669
Sun Feb 14 15:41:00 2016	1455464460	0	4792	4793	4761
Sun Feb 14 15:41:07 2016	1455464467	349	4476	4825	4282
Sun Feb 14 15:41:07 2016	1455464467	598	4228	4826	4187
Sun Feb 14 15:41:07 2016	1455464467	710	4116	4826	4078
Sun Feb 14 15:39:48 2016	1455464388	0	4834	4834	4802
Sun Feb 14 15:38:57 2016	1455464337	3	4832	4835	4783
Sun Feb 14 15:41:06 2016	1455464466	468	4380	4848	4254
Sun Feb 14 15:41:14 2016	1455464474	2	4882	4884	4836
Sun Feb 14 15:40:01 2016	1455464401	41	4865	4906	4827
Sun Feb 14 15:40:12 2016	1455464412	0	4918	4918	4880
Sun Feb 14 15:40:49 2016	1455464449	437	4502	4939	4448
Sun Feb 14 15:39:56 2016	1455464396	2	4944	4946	4602
Sun Feb 14 15:40:41 2016	1455464441	39	4915	4954	4875
Sun Feb 14 15:38:59 2016	1455464339	734	4231	4965	4030
Sun Feb 14 15:38:59 2016	1455464339	1263	3702	4965	3406
Sun Feb 14 15:38:59 2016	1455464339	1559	3407	4965	3175
Sun Feb 14 15:38:59 2016	1455464339	1790	3176	4966	2919
Sun Feb 14 15:38:59 2016	1455464339	2046	2919	4966	2851
Sun Feb 14 15:40:00 2016	1455464400	304	4673	4977	4611
Sun Feb 14 15:41:14 2016	1455464474	1	4982	4982	4906
Sun Feb 14 15:39:59 2016	1455464399	9	4974	4983	4800
Sun Feb 14 15:38:56 2016	1455464336	0	4991	4991	4959
Sun Feb 14 15:40:29 2016	1455464429	2	4989	4992	4938
Sun Feb 14 15:39:58 2016	1455464398	5	4996	5001	4957
Sun Feb 14 15:39:23 2016	1455464363	91	4912	5003	4868
Sun Feb 14 15:40:44 2016	1455464444	76	4932	5008	4892
Sun Feb 14 15:38:53 2016	1455464333	0	5009	5009	4957
Sun Feb 14 15:40:50 2016	1455464450	2	5008	5010	4971
Sun Feb 14 15:41:06 2016	1455464466	0	5021	5022	4985
Sun Feb 14 15:39:34 2016	1455464374	2	5029	5031	4994
Sun Feb 14 15:39:26 2016	1455464366	127	4904	5031	4864
Sun Feb 14 15:40:49 2016	1455464449	529	4510	5039	4473
Sun Feb 14 15:40:30 2016	1455464430	2	5053	5055	5010
Sun Feb 14 15:39:39 2016	1455464379	984	4080	5064	4039
Sun Feb 14 15:41:06 2016	1455464466	234	4840	5074	4606
Sun Feb 14 15:40:00 2016	1455464400	365	4712	5077	4668
Sun Feb 14 15:41:04 2016	1455464464	0	5086	5087	5052
Sun Feb 14 15:40:12 2016	1455464412	2	5086	5088	5050
Sun Feb 14 15:40:38 2016	1455464438	0	5095	5095	5064
Sun Feb 14 15:39:34 2016	1455464374	0	5105	5105	5037
Sun Feb 14 15:40:00 2016	1455464400	123	5000	5122	4951
Sun Feb 14 15:40:00 2016	1455464400	172	4951	5123	4899
Sun Feb 14 15:40:02 2016	1455464402	213	4914	5127	4868
Sun Feb 14 15:41:12 2016	1455464472	81	5049	5130	5012
Sun Feb 14 15:39:01 2016	1455464341	732	4406	5139	4363
Sun Feb 14 15:40:28 2016	1455464428	0	5151	5152	5120
Sun Feb 14 15:40:12 2016	1455464412	1	5164	5165	5087
Sun Feb 14 15:40:00 2016	1455464400	1	5167	5168	5031
Sun Feb 14 15:41:05 2016	1455464465	0	5167	5168	5085
Sun Feb 14 15:38:50 2016	1455464330	0	5170	5171	5141
Sun Feb 14 15:40:43 2016	1455464443	1	5171	5171	5141
Sun Feb 14 15:40:38 2016	1455464438	2	5178	5180	5117
Sun Feb 14 15:40:26 2016	1455464426	0	5186	5186	5154
Sun Feb 14 15:40:10 2016	1455464410	2	5189	5191	5140
Sun Feb 14 15:39:13 2016	1455464353	2	5191	5193	5150
Sun Feb 14 15:41:01 2016	1455464461	2	5200	5202	5154
Sun Feb 14 15:39:57 2016	1455464397	0	5206	5206	5176
Sun Feb 14 15:40:34 2016	1455464434	1	5212	5213	5171
Sun Feb 14 15:39:51 2016	1455464391	3	5212	5215	5170
Sun Feb 14 15:39:58 2016	1455464398	41	5183	5225	5133
Sun Feb 14 15:39:59 2016	1455464399	419	4809	5229	4766
Sun Feb 14 15:39:39 2016	1455464379	516	4717	5233	4680
Sun Feb 14 15:39:58 2016	1455464398	2	5241	5243	5198
Sun Feb 14 15:39:25 2016	1455464365	13	5231	5244	5093
Sun Feb 14 15:41:05 2016	1455464465	0	5287	5288	5254
Sun Feb 14 15:40:30 2016	1455464430	44	5255	5299	5130
Sun Feb 14 15:40:43 2016	1455464443	228	5104	5332	5059
Sun Feb 14 15:40:49 2016	1455464449	280	5065	5345	4990
Sun Feb 14 15:40:12 2016	1455464412	1	5354	5355	5315
Sun Feb 14 15:39:01 2016	1455464341	775	4596	5371	4554
Sun Feb 14 15:41:04 2016	1455464464	38	5339	5376	5279
Sun Feb 14 15:40:00 2016	1455464400	487	4904	5391	4793
Sun Feb 14 15:41:07 2016	1455464467	1005	4395	5400	4357
Sun Feb 14 15:39:20 2016	1455464360	2	5413	5415	5362
Sun Feb 14 15:40:12 2016	1455464412	2	5415	5417	5351
Sun Feb 14 15:40:35 2016	1455464435	0	5423	5424	5394
Sun Feb 14 15:41:13 2016	1455464473	0	5445	5446	5411
Sun Feb 14 15:39:14 2016	1455464354	0	5453	5454	5421
Sun Feb 14 15:39:26 2016	1455464366	398	5064	5461	4894
Sun Feb 14 15:40:17 2016	1455464417	1155	4309	5464	4269
Sun Feb 14 15:41:04 2016	1455464464	0	5473	5474	5376
Sun Feb 14 15:41:06 2016	1455464466	5	5472	5476	5242
Sun Feb 14 15:38:56 2016	1455464336	3	5516	5519	5480
Sun Feb 14 15:41:13 2016	1455464473	0	5524	5524	5492
Sun Feb 14 15:39:39 2016	1455464379	718	4830	5548	4685
Sun Feb 14 15:41:04 2016	1455464464	0	5559	5560	5523
Sun Feb 14 15:41:06 2016	1455464466	7	5558	5566	5074
Sun Feb 14 15:40:36 2016	1455464436	9	5558	5567	5490
