Percentage served,Time in ms
0,357.140
1,465.777
2,529.344
3,556.744
4,577.866
5,589.112
6,603.924
7,618.194
8,625.633
9,637.795
10,647.930
11,654.688
12,667.077
13,679.255
14,686.679
15,693.839
16,706.388
17,713.610
18,724.926
19,735.665
20,751.649
21,758.760
22,773.583
23,784.874
24,794.286
25,806.706
26,816.789
27,830.100
28,847.743
29,866.980
30,891.260
31,909.604
32,923.889
33,943.089
34,956.957
35,975.506
36,989.699
37,1010.452
38,1032.123
39,1042.217
40,1059.515
41,1075.092
42,1084.819
43,1098.307
44,1110.378
45,1123.341
46,1131.150
47,1144.618
48,1154.489
49,1164.588
50,1173.204
51,1181.189
52,1187.184
53,1197.924
54,1204.813
55,1220.540
56,1233.766
57,1244.658
58,1250.069
59,1256.092
60,1260.513
61,1274.510
62,1283.970
63,1300.890
64,1318.114
65,1324.808
66,1341.962
67,1350.213
68,1358.855
69,1372.854
70,1382.665
71,1405.374
72,1416.338
73,1433.547
74,1453.664
75,1468.057
76,1477.905
77,1493.408
78,1506.968
79,1510.575
80,1526.105
81,1541.866
82,1550.367
83,1556.058
84,1579.657
85,1595.710
86,1626.793
87,1642.580
88,1653.739
89,1692.668
90,1709.806
91,1729.193
92,1756.086
93,1777.465
94,1806.527
95,1891.243
96,1911.798
97,1938.646
98,1988.196
99,2158.477
100,3458.144
