starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 19 16:40:08 2016	1455900008	1	403	404	368
Fri Feb 19 16:39:40 2016	1455899980	2	463	465	424
Fri Feb 19 16:39:54 2016	1455899994	0	468	469	424
Fri Feb 19 16:39:30 2016	1455899970	0	476	476	415
Fri Feb 19 16:39:28 2016	1455899968	0	485	485	334
Fri Feb 19 16:40:08 2016	1455900008	11	477	488	381
Fri Feb 19 16:38:58 2016	1455899938	7	510	517	406
Fri Feb 19 16:40:00 2016	1455900000	0	524	524	483
Fri Feb 19 16:39:59 2016	1455899999	0	525	525	492
Fri Feb 19 16:38:55 2016	1455899935	4	527	531	398
Fri Feb 19 16:38:54 2016	1455899934	11	526	537	432
Fri Feb 19 16:39:34 2016	1455899974	1	540	541	502
Fri Feb 19 16:39:38 2016	1455899978	23	531	554	455
Fri Feb 19 16:39:50 2016	1455899990	2	553	555	518
Fri Feb 19 16:38:56 2016	1455899936	8	547	555	443
Fri Feb 19 16:39:39 2016	1455899979	2	557	559	520
Fri Feb 19 16:39:45 2016	1455899985	0	560	561	531
Fri Feb 19 16:39:52 2016	1455899992	3	561	563	522
Fri Feb 19 16:39:11 2016	1455899951	8	556	564	495
Fri Feb 19 16:39:26 2016	1455899966	2	563	565	527
Fri Feb 19 16:39:15 2016	1455899955	1	573	575	464
Fri Feb 19 16:39:13 2016	1455899953	2	577	579	527
Fri Feb 19 16:39:58 2016	1455899998	0	580	581	553
Fri Feb 19 16:38:57 2016	1455899937	2	586	587	545
Fri Feb 19 16:39:09 2016	1455899949	27	577	604	472
Fri Feb 19 16:39:17 2016	1455899957	1	606	607	565
Fri Feb 19 16:39:04 2016	1455899944	0	614	615	538
Fri Feb 19 16:39:41 2016	1455899981	0	615	615	549
Fri Feb 19 16:39:37 2016	1455899977	1	617	618	585
Fri Feb 19 16:39:54 2016	1455899994	2	619	621	572
Fri Feb 19 16:39:39 2016	1455899979	1	634	635	558
Fri Feb 19 16:39:45 2016	1455899985	7	628	635	506
Fri Feb 19 16:40:06 2016	1455900006	0	639	639	607
Fri Feb 19 16:39:23 2016	1455899963	2	638	640	600
Fri Feb 19 16:40:04 2016	1455900004	7	637	644	510
Fri Feb 19 16:38:58 2016	1455899938	3	641	645	538
Fri Feb 19 16:39:33 2016	1455899973	0	645	645	617
Fri Feb 19 16:39:15 2016	1455899955	2	645	647	553
Fri Feb 19 16:39:30 2016	1455899970	9	642	651	603
Fri Feb 19 16:39:07 2016	1455899947	1	653	654	613
Fri Feb 19 16:39:03 2016	1455899943	4	651	654	443
Fri Feb 19 16:39:01 2016	1455899941	19	636	655	524
Fri Feb 19 16:39:41 2016	1455899981	7	652	659	428
Fri Feb 19 16:39:06 2016	1455899946	0	658	659	571
Fri Feb 19 16:39:41 2016	1455899981	3	659	662	519
Fri Feb 19 16:39:35 2016	1455899975	10	655	665	604
Fri Feb 19 16:39:04 2016	1455899944	1	669	670	412
Fri Feb 19 16:40:00 2016	1455900000	0	673	673	644
Fri Feb 19 16:39:15 2016	1455899955	22	653	674	549
Fri Feb 19 16:39:43 2016	1455899983	5	674	679	582
Fri Feb 19 16:39:32 2016	1455899972	12	671	684	533
Fri Feb 19 16:39:43 2016	1455899983	9	675	684	624
Fri Feb 19 16:39:57 2016	1455899997	0	687	688	658
Fri Feb 19 16:40:04 2016	1455900004	0	688	688	652
Fri Feb 19 16:39:47 2016	1455899987	0	690	690	659
Fri Feb 19 16:39:32 2016	1455899972	2	690	692	596
Fri Feb 19 16:39:20 2016	1455899960	3	689	692	585
Fri Feb 19 16:38:52 2016	1455899932	13	679	693	553
Fri Feb 19 16:39:01 2016	1455899941	2	695	698	621
Fri Feb 19 16:38:58 2016	1455899938	107	592	698	545
Fri Feb 19 16:39:21 2016	1455899961	19	681	699	460
Fri Feb 19 16:39:11 2016	1455899951	0	700	701	566
Fri Feb 19 16:39:30 2016	1455899970	47	654	701	614
Fri Feb 19 16:39:01 2016	1455899941	4	699	703	537
