Percentage served,Time in ms
0,394.956
1,451.926
2,511.925
3,532.217
4,555.722
5,573.116
6,603.147
7,618.672
8,624.821
9,641.526
10,648.098
11,662.960
12,681.051
13,691.456
14,700.405
15,713.585
16,729.587
17,742.759
18,754.662
19,762.547
20,772.536
21,779.803
22,785.773
23,799.123
24,807.349
25,824.180
26,834.249
27,846.929
28,858.760
29,868.688
30,882.399
31,892.624
32,906.625
33,921.855
34,935.378
35,951.916
36,965.841
37,977.698
38,989.673
39,1000.175
40,1013.764
41,1025.327
42,1039.002
43,1052.390
44,1067.683
45,1080.978
46,1094.063
47,1106.319
48,1117.855
49,1126.423
50,1141.201
51,1147.279
52,1156.729
53,1173.434
54,1185.225
55,1192.357
56,1201.911
57,1207.395
58,1215.830
59,1234.135
60,1245.004
61,1256.688
62,1267.590
63,1274.221
64,1289.073
65,1294.682
66,1303.004
67,1310.531
68,1318.205
69,1329.058
70,1337.805
71,1357.274
72,1370.666
73,1383.556
74,1396.711
75,1412.558
76,1433.847
77,1456.110
78,1468.177
79,1482.024
80,1498.068
81,1513.477
82,1518.044
83,1540.082
84,1556.146
85,1566.560
86,1581.733
87,1631.418
88,1648.204
89,1658.426
90,1675.632
91,1697.255
92,1718.215
93,1742.903
94,1796.964
95,1850.584
96,1878.637
97,1916.422
98,1980.795
99,2202.953
100,3117.780
