starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 19 13:51:10 2016	1455889870	11	454	465	379
Fri Feb 19 13:50:54 2016	1455889854	0	469	470	426
Fri Feb 19 13:50:38 2016	1455889838	0	477	477	444
Fri Feb 19 13:50:34 2016	1455889834	0	481	481	332
Fri Feb 19 13:50:24 2016	1455889824	7	480	487	370
Fri Feb 19 13:50:40 2016	1455889840	0	498	498	353
Fri Feb 19 13:50:16 2016	1455889816	8	506	513	369
Fri Feb 19 13:50:10 2016	1455889810	0	515	515	483
Fri Feb 19 13:50:54 2016	1455889854	3	519	522	481
Fri Feb 19 13:50:04 2016	1455889804	7	520	527	418
Fri Feb 19 13:51:06 2016	1455889866	3	526	529	471
Fri Feb 19 13:50:23 2016	1455889823	2	567	569	529
Fri Feb 19 13:50:06 2016	1455889806	4	588	592	542
Fri Feb 19 13:50:04 2016	1455889804	12	585	597	488
Fri Feb 19 13:50:06 2016	1455889806	13	584	598	460
Fri Feb 19 13:51:01 2016	1455889861	2	596	598	384
Fri Feb 19 13:50:12 2016	1455889812	13	587	600	392
Fri Feb 19 13:50:11 2016	1455889811	13	592	605	503
Fri Feb 19 13:50:17 2016	1455889817	2	603	606	526
Fri Feb 19 13:50:20 2016	1455889820	0	608	608	491
Fri Feb 19 13:51:18 2016	1455889878	18	600	618	543
Fri Feb 19 13:50:04 2016	1455889804	7	616	623	434
Fri Feb 19 13:50:35 2016	1455889835	12	612	624	385
Fri Feb 19 13:50:02 2016	1455889802	9	617	626	542
Fri Feb 19 13:50:08 2016	1455889808	0	632	632	554
Fri Feb 19 13:50:06 2016	1455889806	0	632	633	596
Fri Feb 19 13:50:42 2016	1455889842	20	621	641	546
Fri Feb 19 13:50:47 2016	1455889847	24	619	643	563
Fri Feb 19 13:50:12 2016	1455889812	0	649	650	493
Fri Feb 19 13:51:18 2016	1455889878	1	651	651	615
Fri Feb 19 13:50:06 2016	1455889806	3	650	653	498
Fri Feb 19 13:51:08 2016	1455889868	24	634	657	516
Fri Feb 19 13:50:20 2016	1455889820	6	654	661	407
Fri Feb 19 13:50:40 2016	1455889840	5	658	663	355
Fri Feb 19 13:51:12 2016	1455889872	4	660	664	408
Fri Feb 19 13:51:04 2016	1455889864	19	646	665	351
Fri Feb 19 13:50:33 2016	1455889833	5	660	665	389
Fri Feb 19 13:50:52 2016	1455889852	1	668	669	632
Fri Feb 19 13:50:31 2016	1455889831	4	668	672	575
Fri Feb 19 13:50:18 2016	1455889818	0	672	672	639
Fri Feb 19 13:50:14 2016	1455889814	0	675	676	349
Fri Feb 19 13:50:16 2016	1455889816	11	666	677	455
Fri Feb 19 13:51:14 2016	1455889874	1	685	686	432
