Percentage served,Time in ms
0,963.763
1,1999.895
2,2278.383
3,2720.220
4,2795.304
5,3016.177
6,3165.389
7,3333.361
8,3552.823
9,3787.368
10,3818.617
11,4016.802
12,4150.733
13,4274.204
14,4350.226
15,4456.790
16,4572.401
17,4677.542
18,4720.893
19,4850.085
20,5003.504
21,5040.089
22,5139.667
23,5278.439
24,5405.219
25,5490.959
26,5576.149
27,5614.230
28,5679.256
29,5790.500
30,5899.442
31,6012.713
32,6169.522
33,6250.658
34,6330.055
35,6413.352
36,6510.653
37,6659.427
38,6802.688
39,6891.263
40,6978.546
41,7028.020
42,7220.020
43,7393.187
44,7436.069
45,7551.761
46,7642.988
47,7763.260
48,7907.183
49,8011.141
50,8117.219
51,8227.597
52,8329.327
53,8483.983
54,8538.957
55,8616.407
56,8740.134
57,8832.925
58,8905.315
59,9012.666
60,9105.788
61,9193.803
62,9246.072
63,9342.701
64,9433.955
65,9501.898
66,9624.405
67,9692.418
68,9792.751
69,9862.906
70,9917.046
71,10057.790
72,10173.861
73,10298.801
74,10475.835
75,10623.671
76,10804.928
77,10982.774
78,11136.040
79,11299.134
80,11428.168
81,11558.649
82,11651.236
83,11794.052
84,11915.162
85,12198.678
86,12306.166
87,12468.091
88,12660.306
89,12923.041
90,13110.666
91,13534.256
92,13863.767
93,14104.154
94,14417.121
95,14868.887
96,15273.440
97,15845.712
98,16544.108
99,17918.782
100,19963.686
