starttime	seconds	ctime	dtime	ttime	wait
Sat Feb 13 20:35:28 2016	1455395728	0	1110	1110	1078
Sat Feb 13 20:35:25 2016	1455395725	0	1118	1119	1086
Sat Feb 13 20:35:41 2016	1455395741	0	1281	1281	1248
Sat Feb 13 20:35:16 2016	1455395716	0	1680	1680	1629
Sat Feb 13 20:35:51 2016	1455395751	0	1935	1935	1897
Sat Feb 13 20:35:16 2016	1455395716	0	1978	1978	1948
Sat Feb 13 20:35:24 2016	1455395724	2	2129	2131	2060
Sat Feb 13 20:35:40 2016	1455395740	3	2160	2162	2111
Sat Feb 13 20:35:54 2016	1455395754	32	2136	2168	976
Sat Feb 13 20:34:12 2016	1455395652	639	1649	2288	1608
Sat Feb 13 20:34:12 2016	1455395652	30	2258	2288	1852
Sat Feb 13 20:34:12 2016	1455395652	434	1854	2288	1703
Sat Feb 13 20:34:12 2016	1455395652	583	1705	2288	1647
Sat Feb 13 20:34:12 2016	1455395652	714	1574	2288	1531
Sat Feb 13 20:34:12 2016	1455395652	678	1610	2288	1572
Sat Feb 13 20:35:40 2016	1455395740	14	2279	2292	2161
Sat Feb 13 20:34:41 2016	1455395681	0	2313	2313	2284
Sat Feb 13 20:35:03 2016	1455395703	555	1769	2324	1115
Sat Feb 13 20:35:03 2016	1455395703	1208	1117	2325	513
Sat Feb 13 20:35:03 2016	1455395703	25	2300	2325	1767
Sat Feb 13 20:34:48 2016	1455395688	40	2287	2326	2248
Sat Feb 13 20:35:16 2016	1455395716	0	2365	2365	2331
Sat Feb 13 20:35:56 2016	1455395756	3	2365	2368	2326
Sat Feb 13 20:35:29 2016	1455395729	41	2333	2374	2289
Sat Feb 13 20:35:00 2016	1455395700	0	2407	2407	2375
Sat Feb 13 20:34:35 2016	1455395675	0	2410	2411	2379
Sat Feb 13 20:35:54 2016	1455395754	1266	1180	2446	1130
Sat Feb 13 20:35:00 2016	1455395700	1	2457	2458	2416
Sat Feb 13 20:35:51 2016	1455395751	38	2455	2494	2408
Sat Feb 13 20:35:29 2016	1455395729	84	2410	2494	2373
Sat Feb 13 20:35:35 2016	1455395735	3	2502	2504	2399
Sat Feb 13 20:35:05 2016	1455395705	265	2250	2515	2166
Sat Feb 13 20:35:05 2016	1455395705	135	2380	2515	2336
Sat Feb 13 20:35:05 2016	1455395705	54	2462	2516	2419
Sat Feb 13 20:35:05 2016	1455395705	179	2337	2516	2299
Sat Feb 13 20:35:05 2016	1455395705	96	2420	2516	2380
Sat Feb 13 20:35:05 2016	1455395705	5	2511	2516	2462
Sat Feb 13 20:35:54 2016	1455395754	1191	1327	2518	1251
Sat Feb 13 20:35:54 2016	1455395754	1315	1251	2566	1203
Sat Feb 13 20:34:05 2016	1455395645	2	2574	2577	2111
Sat Feb 13 20:35:02 2016	1455395702	8	2574	2582	2323
Sat Feb 13 20:35:26 2016	1455395726	2	2591	2593	2477
Sat Feb 13 20:35:54 2016	1455395754	1362	1238	2600	1189
Sat Feb 13 20:35:39 2016	1455395739	0	2644	2645	2606
Sat Feb 13 20:35:35 2016	1455395735	104	2566	2670	2515
Sat Feb 13 20:35:54 2016	1455395754	1411	1383	2793	1340
Sat Feb 13 20:35:33 2016	1455395733	0	2814	2815	2778
Sat Feb 13 20:33:34 2016	1455395614	108	2735	2843	2640
Sat Feb 13 20:35:54 2016	1455395754	1453	1418	2870	1158
Sat Feb 13 20:35:31 2016	1455395731	0	2892	2893	2860
Sat Feb 13 20:35:30 2016	1455395730	1	2915	2916	2856
Sat Feb 13 20:34:04 2016	1455395644	0	2916	2916	2874
Sat Feb 13 20:33:48 2016	1455395628	0	2939	2940	2894
Sat Feb 13 20:35:05 2016	1455395705	216	2741	2957	2692
Sat Feb 13 20:35:05 2016	1455395705	349	2609	2957	2570
Sat Feb 13 20:35:05 2016	1455395705	387	2571	2957	2530
Sat Feb 13 20:34:09 2016	1455395649	0	2964	2965	2930
Sat Feb 13 20:33:36 2016	1455395616	3	2979	2982	2879
Sat Feb 13 20:34:35 2016	1455395675	0	3013	3014	2985
Sat Feb 13 20:34:56 2016	1455395696	0	3020	3020	2991
Sat Feb 13 20:35:02 2016	1455395702	0	3035	3035	3006
Sat Feb 13 20:35:29 2016	1455395729	1	3094	3094	3056
Sat Feb 13 20:35:53 2016	1455395753	2	3149	3151	2167
Sat Feb 13 20:33:48 2016	1455395628	1	3189	3189	3156
Sat Feb 13 20:35:02 2016	1455395702	0	3219	3219	3191
Sat Feb 13 20:34:48 2016	1455395688	77	3184	3261	3103
Sat Feb 13 20:34:03 2016	1455395643	0	3304	3304	3267
Sat Feb 13 20:33:43 2016	1455395623	0	3328	3329	3296
Sat Feb 13 20:33:36 2016	1455395616	3	3368	3371	3297
Sat Feb 13 20:35:05 2016	1455395705	428	2964	3392	2918
Sat Feb 13 20:34:09 2016	1455395649	2	3392	3394	3355
