Percentage served,Time in ms
0,393.794
1,517.162
2,539.596
3,557.527
4,589.785
5,610.326
6,623.998
7,633.159
8,642.744
9,651.848
10,657.440
11,680.117
12,692.730
13,700.451
14,706.464
15,717.223
16,727.035
17,743.959
18,759.527
19,766.569
20,777.658
21,791.444
22,815.273
23,832.990
24,837.255
25,850.918
26,866.266
27,883.044
28,891.683
29,910.253
30,931.977
31,941.362
32,949.459
33,959.763
34,977.903
35,983.683
36,998.448
37,1019.039
38,1027.233
39,1032.431
40,1049.401
41,1071.834
42,1077.185
43,1101.046
44,1114.264
45,1121.923
46,1128.643
47,1153.246
48,1172.460
49,1190.872
50,1209.616
51,1229.551
52,1249.639
53,1263.964
54,1272.006
55,1286.166
56,1299.936
57,1309.574
58,1326.924
59,1340.937
60,1352.955
61,1368.083
62,1378.800
63,1385.382
64,1406.100
65,1428.932
66,1443.275
67,1449.075
68,1458.605
69,1471.821
70,1481.499
71,1493.048
72,1506.003
73,1517.973
74,1526.333
75,1539.531
76,1560.016
77,1579.699
78,1585.631
79,1598.267
80,1620.591
81,1636.079
82,1645.613
83,1675.911
84,1695.084
85,1723.589
86,1735.391
87,1742.062
88,1747.547
89,1767.243
90,1798.042
91,1821.807
92,1830.290
93,1831.072
94,1876.337
95,1905.106
96,1938.579
97,1990.407
98,2198.277
99,2708.200
100,3611.282
