starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 18 10:37:01 2016	1455791821	4	390	394	312
Thu Feb 18 10:37:49 2016	1455791869	0	419	419	392
Thu Feb 18 10:37:30 2016	1455791850	13	480	493	428
Thu Feb 18 10:36:56 2016	1455791816	5	503	508	420
Thu Feb 18 10:37:41 2016	1455791861	2	510	513	475
Thu Feb 18 10:37:23 2016	1455791843	0	517	517	444
Thu Feb 18 10:37:28 2016	1455791848	2	524	526	486
Thu Feb 18 10:37:29 2016	1455791849	3	528	532	334
Thu Feb 18 10:37:23 2016	1455791843	2	530	532	390
Thu Feb 18 10:37:26 2016	1455791846	9	527	536	396
Thu Feb 18 10:37:47 2016	1455791867	2	538	540	502
Thu Feb 18 10:36:46 2016	1455791806	0	542	543	509
Thu Feb 18 10:36:49 2016	1455791809	5	544	549	470
Thu Feb 18 10:37:43 2016	1455791863	3	547	550	509
Thu Feb 18 10:36:55 2016	1455791815	17	538	555	375
Thu Feb 18 10:37:45 2016	1455791865	2	556	558	514
Thu Feb 18 10:37:18 2016	1455791838	0	559	560	527
Thu Feb 18 10:37:39 2016	1455791859	16	553	569	452
Thu Feb 18 10:37:36 2016	1455791856	2	567	569	519
Thu Feb 18 10:36:51 2016	1455791811	4	577	581	504
Thu Feb 18 10:37:32 2016	1455791852	2	588	590	531
Thu Feb 18 10:37:03 2016	1455791823	0	590	591	521
Thu Feb 18 10:37:27 2016	1455791847	0	601	602	567
Thu Feb 18 10:37:28 2016	1455791848	8	596	604	526
Thu Feb 18 10:37:37 2016	1455791857	0	609	610	580
Thu Feb 18 10:37:25 2016	1455791845	18	592	610	456
Thu Feb 18 10:37:31 2016	1455791851	4	611	614	500
Thu Feb 18 10:37:54 2016	1455791874	0	615	615	578
Thu Feb 18 10:37:18 2016	1455791838	10	606	617	398
Thu Feb 18 10:37:51 2016	1455791871	0	622	622	508
Thu Feb 18 10:36:56 2016	1455791816	2	622	624	579
Thu Feb 18 10:37:03 2016	1455791823	9	616	625	373
Thu Feb 18 10:37:51 2016	1455791871	9	622	631	567
Thu Feb 18 10:37:28 2016	1455791848	0	631	632	593
Thu Feb 18 10:36:51 2016	1455791811	0	632	632	602
Thu Feb 18 10:36:43 2016	1455791803	0	633	633	592
Thu Feb 18 10:37:27 2016	1455791847	0	634	634	597
Thu Feb 18 10:36:59 2016	1455791819	28	610	638	472
Thu Feb 18 10:36:48 2016	1455791808	3	637	639	421
Thu Feb 18 10:37:14 2016	1455791834	0	641	642	609
Thu Feb 18 10:36:41 2016	1455791801	5	638	643	555
Thu Feb 18 10:37:37 2016	1455791857	16	631	647	526
Thu Feb 18 10:37:03 2016	1455791823	0	649	649	618
Thu Feb 18 10:36:51 2016	1455791811	1	649	650	496
