Percentage served,Time in ms
0,435.328
1,527.449
2,548.427
3,573.550
4,590.513
5,602.705
6,612.198
7,629.166
8,643.633
9,647.379
10,654.406
11,665.706
12,676.190
13,688.824
14,701.233
15,710.637
16,723.508
17,729.021
18,746.914
19,761.517
20,767.368
21,780.171
22,788.048
23,798.557
24,809.706
25,823.724
26,839.082
27,851.045
28,863.297
29,870.346
30,876.606
31,895.249
32,909.682
33,927.763
34,949.729
35,960.440
36,981.188
37,1005.775
38,1037.407
39,1048.381
40,1067.723
41,1078.928
42,1096.473
43,1102.346
44,1122.578
45,1133.910
46,1153.695
47,1164.085
48,1175.854
49,1201.175
50,1216.380
51,1224.023
52,1231.409
53,1247.971
54,1266.106
55,1269.851
56,1286.051
57,1301.871
58,1311.007
59,1322.315
60,1334.019
61,1352.652
62,1361.315
63,1363.848
64,1377.074
65,1391.123
66,1411.192
67,1426.403
68,1434.910
69,1451.799
70,1472.140
71,1481.823
72,1496.275
73,1505.952
74,1513.148
75,1523.196
76,1544.858
77,1559.526
78,1565.656
79,1587.159
80,1593.949
81,1616.964
82,1639.484
83,1659.319
84,1668.000
85,1672.845
86,1691.843
87,1702.554
88,1742.428
89,1769.628
90,1782.330
91,1808.542
92,1835.122
93,1854.664
94,1875.078
95,1903.339
96,1973.602
97,2023.527
98,2170.052
99,2648.222
100,3169.562
