starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 19 13:44:54 2016	1455889494	1	232	233	195
Fri Feb 19 13:44:54 2016	1455889494	1	288	289	236
Fri Feb 19 13:44:48 2016	1455889488	0	323	324	290
Fri Feb 19 13:44:32 2016	1455889472	2	326	328	287
Fri Feb 19 13:44:39 2016	1455889479	40	293	333	240
Fri Feb 19 13:44:39 2016	1455889479	1	332	333	293
Fri Feb 19 13:44:20 2016	1455889460	0	335	336	305
Fri Feb 19 13:44:25 2016	1455889465	0	345	345	315
Fri Feb 19 13:44:25 2016	1455889465	2	356	358	317
Fri Feb 19 13:44:32 2016	1455889472	0	366	367	328
Fri Feb 19 13:44:48 2016	1455889488	2	366	368	331
Fri Feb 19 13:44:47 2016	1455889487	0	372	372	338
Fri Feb 19 13:44:37 2016	1455889477	0	384	384	352
Fri Feb 19 13:44:54 2016	1455889494	1	386	387	353
Fri Feb 19 13:44:26 2016	1455889466	0	393	393	357
Fri Feb 19 13:44:25 2016	1455889465	0	393	393	356
Fri Feb 19 13:44:47 2016	1455889487	2	393	395	346
Fri Feb 19 13:44:47 2016	1455889487	0	399	399	368
Fri Feb 19 13:44:48 2016	1455889488	33	369	402	312
Fri Feb 19 13:44:47 2016	1455889487	0	405	405	356
Fri Feb 19 13:44:35 2016	1455889475	0	406	406	364
Fri Feb 19 13:44:36 2016	1455889476	1	409	409	379
Fri Feb 19 13:44:50 2016	1455889490	0	411	411	375
Fri Feb 19 13:44:54 2016	1455889494	0	411	411	382
Fri Feb 19 13:44:48 2016	1455889488	37	375	412	337
Fri Feb 19 13:44:32 2016	1455889472	0	413	413	382
Fri Feb 19 13:44:35 2016	1455889475	2	413	415	370
Fri Feb 19 13:44:39 2016	1455889479	32	384	416	344
Fri Feb 19 13:44:30 2016	1455889470	0	416	416	387
Fri Feb 19 13:44:24 2016	1455889464	1	416	417	385
Fri Feb 19 13:44:39 2016	1455889479	2	416	418	384
Fri Feb 19 13:44:32 2016	1455889472	40	377	418	338
Fri Feb 19 13:44:32 2016	1455889472	2	418	420	381
Fri Feb 19 13:44:24 2016	1455889464	1	422	423	386
Fri Feb 19 13:44:20 2016	1455889460	0	427	427	380
Fri Feb 19 13:44:53 2016	1455889493	2	427	428	382
Fri Feb 19 13:44:26 2016	1455889466	0	430	430	334
Fri Feb 19 13:44:31 2016	1455889471	1	430	430	396
Fri Feb 19 13:44:53 2016	1455889493	0	432	432	364
Fri Feb 19 13:44:26 2016	1455889466	2	435	436	399
Fri Feb 19 13:44:26 2016	1455889466	2	435	437	397
Fri Feb 19 13:44:30 2016	1455889470	2	435	437	405
Fri Feb 19 13:44:35 2016	1455889475	2	437	439	395
Fri Feb 19 13:44:42 2016	1455889482	0	440	440	403
Fri Feb 19 13:44:35 2016	1455889475	0	440	440	413
Fri Feb 19 13:44:50 2016	1455889490	1	439	440	399
Fri Feb 19 13:44:34 2016	1455889474	0	441	442	408
Fri Feb 19 13:44:35 2016	1455889475	0	442	442	407
Fri Feb 19 13:44:29 2016	1455889469	43	399	442	357
Fri Feb 19 13:44:29 2016	1455889469	2	441	443	400
Fri Feb 19 13:44:42 2016	1455889482	2	442	444	399
Fri Feb 19 13:44:23 2016	1455889463	2	444	446	396
Fri Feb 19 13:44:49 2016	1455889489	0	446	446	413
Fri Feb 19 13:44:44 2016	1455889484	0	446	446	415
Fri Feb 19 13:44:42 2016	1455889482	0	446	446	409
Fri Feb 19 13:44:29 2016	1455889469	38	412	450	366
Fri Feb 19 13:44:45 2016	1455889485	0	450	450	410
Fri Feb 19 13:44:30 2016	1455889470	2	448	450	407
Fri Feb 19 13:44:35 2016	1455889475	2	449	451	401
Fri Feb 19 13:44:49 2016	1455889489	2	451	453	415
Fri Feb 19 13:44:28 2016	1455889468	4	449	453	409
Fri Feb 19 13:44:47 2016	1455889487	49	404	454	367
Fri Feb 19 13:44:48 2016	1455889488	74	380	454	340
Fri Feb 19 13:44:28 2016	1455889468	0	454	455	409
Fri Feb 19 13:44:35 2016	1455889475	0	455	455	419
Fri Feb 19 13:44:44 2016	1455889484	0	455	456	413
Fri Feb 19 13:44:49 2016	1455889489	0	457	457	427
Fri Feb 19 13:44:53 2016	1455889493	2	456	457	420
Fri Feb 19 13:44:44 2016	1455889484	0	458	458	425
Fri Feb 19 13:44:32 2016	1455889472	80	378	458	304
Fri Feb 19 13:44:49 2016	1455889489	0	459	460	428
Fri Feb 19 13:44:42 2016	1455889482	2	458	460	417
Fri Feb 19 13:44:45 2016	1455889485	0	460	460	431
Fri Feb 19 13:44:50 2016	1455889490	1	460	462	425
Fri Feb 19 13:44:41 2016	1455889481	2	461	462	415
Fri Feb 19 13:44:28 2016	1455889468	0	462	462	412
Fri Feb 19 13:44:24 2016	1455889464	0	462	462	423
Fri Feb 19 13:44:53 2016	1455889493	1	461	462	424
Fri Feb 19 13:44:37 2016	1455889477	2	462	463	405
Fri Feb 19 13:44:53 2016	1455889493	0	464	464	431
Fri Feb 19 13:44:53 2016	1455889493	0	464	464	432
Fri Feb 19 13:44:23 2016	1455889463	0	464	465	413
Fri Feb 19 13:44:50 2016	1455889490	1	464	465	426
Fri Feb 19 13:44:42 2016	1455889482	0	465	465	433
Fri Feb 19 13:44:30 2016	1455889470	2	464	466	427
Fri Feb 19 13:44:37 2016	1455889477	2	465	466	430
Fri Feb 19 13:44:40 2016	1455889480	1	466	467	435
Fri Feb 19 13:44:29 2016	1455889469	0	467	467	434
Fri Feb 19 13:44:43 2016	1455889483	1	466	467	423
Fri Feb 19 13:44:41 2016	1455889481	0	467	467	429
Fri Feb 19 13:44:24 2016	1455889464	32	435	468	397
Fri Feb 19 13:44:25 2016	1455889465	2	467	468	427
Fri Feb 19 13:44:27 2016	1455889467	0	468	468	424
Fri Feb 19 13:44:45 2016	1455889485	2	469	470	426
Fri Feb 19 13:44:50 2016	1455889490	2	469	471	433
Fri Feb 19 13:44:33 2016	1455889473	1	470	471	435
Fri Feb 19 13:44:50 2016	1455889490	3	469	472	439
Fri Feb 19 13:44:32 2016	1455889472	0	472	472	433
Fri Feb 19 13:44:42 2016	1455889482	0	472	472	440
Fri Feb 19 13:44:36 2016	1455889476	1	472	474	430
Fri Feb 19 13:44:41 2016	1455889481	0	474	474	442
Fri Feb 19 13:44:45 2016	1455889485	0	474	474	432
Fri Feb 19 13:44:24 2016	1455889464	2	473	474	433
Fri Feb 19 13:44:44 2016	1455889484	3	472	474	429
Fri Feb 19 13:44:44 2016	1455889484	1	474	474	440
Fri Feb 19 13:44:30 2016	1455889470	0	475	475	405
Fri Feb 19 13:44:35 2016	1455889475	0	475	475	439
Fri Feb 19 13:44:29 2016	1455889469	2	476	478	439
Fri Feb 19 13:44:42 2016	1455889482	2	476	478	429
Fri Feb 19 13:44:42 2016	1455889482	1	477	479	441
Fri Feb 19 13:44:29 2016	1455889469	0	478	479	428
Fri Feb 19 13:44:32 2016	1455889472	0	480	480	451
Fri Feb 19 13:44:23 2016	1455889463	6	476	481	443
Fri Feb 19 13:44:42 2016	1455889482	2	479	481	434
Fri Feb 19 13:44:44 2016	1455889484	0	481	482	453
Fri Feb 19 13:44:45 2016	1455889485	0	481	482	453
Fri Feb 19 13:44:29 2016	1455889469	1	482	483	445
Fri Feb 19 13:44:44 2016	1455889484	1	483	483	436
Fri Feb 19 13:44:36 2016	1455889476	1	484	485	438
Fri Feb 19 13:44:49 2016	1455889489	0	486	486	448
Fri Feb 19 13:44:25 2016	1455889465	0	486	486	455
Fri Feb 19 13:44:27 2016	1455889467	0	486	486	444
Fri Feb 19 13:44:36 2016	1455889476	2	485	486	449
Fri Feb 19 13:44:53 2016	1455889493	2	487	488	443
Fri Feb 19 13:44:25 2016	1455889465	40	449	488	411
Fri Feb 19 13:44:35 2016	1455889475	2	487	489	449
Fri Feb 19 13:44:41 2016	1455889481	0	490	490	449
Fri Feb 19 13:44:51 2016	1455889491	0	491	491	458
Fri Feb 19 13:44:46 2016	1455889486	0	491	491	456
Fri Feb 19 13:44:46 2016	1455889486	0	491	492	456
Fri Feb 19 13:44:41 2016	1455889481	0	492	492	458
Fri Feb 19 13:44:28 2016	1455889468	2	490	492	451
Fri Feb 19 13:44:31 2016	1455889471	2	491	493	439
Fri Feb 19 13:44:44 2016	1455889484	2	492	493	445
Fri Feb 19 13:44:45 2016	1455889485	0	494	495	463
Fri Feb 19 13:44:51 2016	1455889491	0	495	495	465
Fri Feb 19 13:44:31 2016	1455889471	0	495	496	460
Fri Feb 19 13:44:37 2016	1455889477	0	496	496	463
Fri Feb 19 13:44:36 2016	1455889476	0	496	497	464
Fri Feb 19 13:44:49 2016	1455889489	1	496	497	459
Fri Feb 19 13:44:26 2016	1455889466	39	458	497	421
Fri Feb 19 13:44:45 2016	1455889485	0	497	497	464
Fri Feb 19 13:44:42 2016	1455889482	0	498	498	464
Fri Feb 19 13:44:25 2016	1455889465	0	498	498	452
Fri Feb 19 13:44:53 2016	1455889493	0	498	499	462
Fri Feb 19 13:44:45 2016	1455889485	0	498	499	465
Fri Feb 19 13:44:39 2016	1455889479	92	408	500	363
Fri Feb 19 13:44:39 2016	1455889479	182	319	500	248
Fri Feb 19 13:44:36 2016	1455889476	2	498	500	459
Fri Feb 19 13:44:35 2016	1455889475	0	501	501	451
Fri Feb 19 13:44:30 2016	1455889470	0	501	501	472
Fri Feb 19 13:44:45 2016	1455889485	0	501	501	464
Fri Feb 19 13:44:34 2016	1455889474	0	501	502	466
Fri Feb 19 13:44:34 2016	1455889474	1	501	502	461
Fri Feb 19 13:44:35 2016	1455889475	1	501	503	463
Fri Feb 19 13:44:42 2016	1455889482	2	501	503	460
Fri Feb 19 13:44:41 2016	1455889481	2	502	504	457
Fri Feb 19 13:44:44 2016	1455889484	2	502	504	465
Fri Feb 19 13:44:51 2016	1455889491	0	504	504	463
Fri Feb 19 13:44:34 2016	1455889474	0	504	504	468
Fri Feb 19 13:44:33 2016	1455889473	0	505	505	475
Fri Feb 19 13:44:41 2016	1455889481	2	504	505	461
Fri Feb 19 13:44:23 2016	1455889463	0	505	505	475
Fri Feb 19 13:44:43 2016	1455889483	0	505	506	470
Fri Feb 19 13:44:31 2016	1455889471	3	503	506	470
Fri Feb 19 13:44:45 2016	1455889485	0	506	506	475
Fri Feb 19 13:44:30 2016	1455889470	2	505	506	426
Fri Feb 19 13:44:53 2016	1455889493	1	505	506	458
Fri Feb 19 13:44:45 2016	1455889485	1	506	508	467
Fri Feb 19 13:44:45 2016	1455889485	2	506	508	462
Fri Feb 19 13:44:41 2016	1455889481	2	506	508	457
Fri Feb 19 13:44:53 2016	1455889493	0	508	509	462
Fri Feb 19 13:44:28 2016	1455889468	2	507	509	464
Fri Feb 19 13:44:46 2016	1455889486	36	473	509	435
Fri Feb 19 13:44:45 2016	1455889485	2	508	509	453
Fri Feb 19 13:44:32 2016	1455889472	38	471	509	433
Fri Feb 19 13:44:46 2016	1455889486	1	509	509	473
Fri Feb 19 13:44:26 2016	1455889466	0	511	511	466
Fri Feb 19 13:44:54 2016	1455889494	1	510	511	474
Fri Feb 19 13:44:53 2016	1455889493	0	511	512	469
Fri Feb 19 13:44:33 2016	1455889473	0	512	512	477
Fri Feb 19 13:44:54 2016	1455889494	2	511	512	465
Fri Feb 19 13:44:36 2016	1455889476	1	511	513	474
Fri Feb 19 13:44:33 2016	1455889473	0	513	513	483
Fri Feb 19 13:44:42 2016	1455889482	1	513	513	478
Fri Feb 19 13:44:24 2016	1455889464	1	512	513	482
Fri Feb 19 13:44:41 2016	1455889481	2	512	514	474
Fri Feb 19 13:44:40 2016	1455889480	0	514	514	479
Fri Feb 19 13:44:46 2016	1455889486	1	514	515	475
Fri Feb 19 13:44:30 2016	1455889470	0	515	515	486
Fri Feb 19 13:44:38 2016	1455889478	0	515	515	478
Fri Feb 19 13:44:43 2016	1455889483	2	514	516	471
Fri Feb 19 13:44:43 2016	1455889483	0	516	517	478
Fri Feb 19 13:44:36 2016	1455889476	1	516	517	476
Fri Feb 19 13:44:54 2016	1455889494	0	517	517	473
Fri Feb 19 13:44:28 2016	1455889468	2	515	518	477
Fri Feb 19 13:44:33 2016	1455889473	0	518	519	483
Fri Feb 19 13:44:49 2016	1455889489	2	517	519	436
Fri Feb 19 13:44:52 2016	1455889492	2	517	519	481
Fri Feb 19 13:44:38 2016	1455889478	0	519	519	486
Fri Feb 19 13:44:53 2016	1455889493	2	518	520	479
Fri Feb 19 13:44:49 2016	1455889489	0	519	520	479
Fri Feb 19 13:44:53 2016	1455889493	40	480	520	434
Fri Feb 19 13:44:36 2016	1455889476	0	520	520	487
