Percentage served,Time in ms
0,452.856
1,513.111
2,535.251
3,566.230
4,596.389
5,602.134
6,611.872
7,627.792
8,638.695
9,650.482
10,661.967
11,666.162
12,694.727
13,705.051
14,717.803
15,730.569
16,745.563
17,760.102
18,765.791
19,778.594
20,799.905
21,810.633
22,835.475
23,855.934
24,862.964
25,878.111
26,898.592
27,914.106
28,928.812
29,944.794
30,954.119
31,958.530
32,965.548
33,973.294
34,980.121
35,985.307
36,1008.746
37,1020.490
38,1023.835
39,1033.763
40,1041.751
41,1047.081
42,1059.943
43,1069.967
44,1083.348
45,1103.406
46,1121.342
47,1134.206
48,1139.026
49,1153.145
50,1164.711
51,1170.135
52,1177.146
53,1181.681
54,1192.556
55,1198.799
56,1213.486
57,1219.733
58,1230.456
59,1241.459
60,1263.270
61,1279.851
62,1290.669
63,1297.517
64,1307.537
65,1315.288
66,1325.726
67,1332.564
68,1336.849
69,1347.263
70,1362.843
71,1378.681
72,1386.310
73,1397.991
74,1406.662
75,1420.287
76,1426.138
77,1457.220
78,1467.766
79,1482.400
80,1504.364
81,1515.307
82,1536.621
83,1555.733
84,1577.724
85,1597.660
86,1613.135
87,1638.029
88,1665.161
89,1712.154
90,1723.692
91,1762.962
92,1788.600
93,1816.644
94,1879.350
95,1904.787
96,2007.175
97,2081.677
98,2163.460
99,2754.049
100,3389.739
