starttime	seconds	ctime	dtime	ttime	wait
Sun Mar 20 22:37:29 2016	1458513449	0	334	334	304
Sun Mar 20 22:38:31 2016	1458513511	0	371	372	342
Sun Mar 20 22:37:33 2016	1458513453	0	446	446	418
Sun Mar 20 22:38:17 2016	1458513497	0	452	452	346
Sun Mar 20 22:38:20 2016	1458513500	0	456	456	418
Sun Mar 20 22:37:55 2016	1458513475	22	439	462	400
Sun Mar 20 22:38:18 2016	1458513498	0	465	466	433
Sun Mar 20 22:38:11 2016	1458513491	0	468	469	435
Sun Mar 20 22:36:56 2016	1458513416	0	491	491	406
Sun Mar 20 22:37:48 2016	1458513468	0	505	505	469
Sun Mar 20 22:38:06 2016	1458513486	0	505	505	464
Sun Mar 20 22:37:38 2016	1458513458	1	513	514	477
Sun Mar 20 22:37:22 2016	1458513442	0	516	517	484
Sun Mar 20 22:37:06 2016	1458513426	10	508	518	456
Sun Mar 20 22:37:50 2016	1458513470	0	525	525	491
Sun Mar 20 22:37:27 2016	1458513447	0	527	527	479
Sun Mar 20 22:37:45 2016	1458513465	9	520	529	397
Sun Mar 20 22:37:48 2016	1458513468	0	530	531	501
Sun Mar 20 22:37:30 2016	1458513450	0	536	537	505
Sun Mar 20 22:37:18 2016	1458513438	35	503	537	395
Sun Mar 20 22:37:55 2016	1458513475	0	538	538	432
Sun Mar 20 22:37:16 2016	1458513436	0	539	540	458
Sun Mar 20 22:37:33 2016	1458513453	0	542	543	496
Sun Mar 20 22:37:43 2016	1458513463	0	546	546	363
Sun Mar 20 22:37:31 2016	1458513451	16	532	548	385
Sun Mar 20 22:37:49 2016	1458513469	0	548	548	503
Sun Mar 20 22:37:14 2016	1458513434	0	552	553	510
Sun Mar 20 22:37:21 2016	1458513441	0	555	556	516
Sun Mar 20 22:38:21 2016	1458513501	0	557	558	525
Sun Mar 20 22:38:15 2016	1458513495	38	519	558	410
Sun Mar 20 22:38:08 2016	1458513488	0	558	558	528
Sun Mar 20 22:37:36 2016	1458513456	10	550	560	387
Sun Mar 20 22:37:38 2016	1458513458	0	563	563	530
Sun Mar 20 22:38:27 2016	1458513507	1	565	566	536
Sun Mar 20 22:37:59 2016	1458513479	0	569	569	540
Sun Mar 20 22:38:25 2016	1458513505	0	570	570	542
Sun Mar 20 22:38:11 2016	1458513491	0	571	572	432
Sun Mar 20 22:38:23 2016	1458513503	0	572	573	513
Sun Mar 20 22:37:05 2016	1458513425	0	577	578	545
Sun Mar 20 22:37:24 2016	1458513444	0	579	580	534
Sun Mar 20 22:37:56 2016	1458513476	0	580	581	551
Sun Mar 20 22:36:58 2016	1458513418	13	571	583	428
Sun Mar 20 22:37:53 2016	1458513473	0	585	585	554
Sun Mar 20 22:37:34 2016	1458513454	0	586	586	449
Sun Mar 20 22:38:22 2016	1458513502	0	586	587	549
Sun Mar 20 22:37:26 2016	1458513446	0	586	587	506
Sun Mar 20 22:38:02 2016	1458513482	0	587	587	559
Sun Mar 20 22:38:16 2016	1458513496	0	594	594	509
Sun Mar 20 22:38:30 2016	1458513510	8	587	595	416
Sun Mar 20 22:37:34 2016	1458513454	0	595	596	408
Sun Mar 20 22:37:26 2016	1458513446	0	597	598	561
Sun Mar 20 22:38:10 2016	1458513490	0	600	600	572
Sun Mar 20 22:37:41 2016	1458513461	0	600	601	569
Sun Mar 20 22:37:52 2016	1458513472	0	601	601	557
Sun Mar 20 22:37:53 2016	1458513473	3	598	602	430
Sun Mar 20 22:37:12 2016	1458513432	0	604	605	443
Sun Mar 20 22:37:20 2016	1458513440	0	604	605	575
Sun Mar 20 22:37:44 2016	1458513464	0	605	605	557
Sun Mar 20 22:38:19 2016	1458513499	0	606	606	574
Sun Mar 20 22:37:20 2016	1458513440	20	586	607	465
Sun Mar 20 22:37:17 2016	1458513437	0	607	608	576
Sun Mar 20 22:37:17 2016	1458513437	12	596	609	494
Sun Mar 20 22:37:39 2016	1458513459	28	586	614	446
Sun Mar 20 22:37:00 2016	1458513420	0	614	615	571
Sun Mar 20 22:37:10 2016	1458513430	0	615	616	522
Sun Mar 20 22:37:32 2016	1458513452	27	590	616	449
Sun Mar 20 22:38:04 2016	1458513484	0	619	619	572
Sun Mar 20 22:37:01 2016	1458513421	0	620	620	579
Sun Mar 20 22:38:28 2016	1458513508	1	621	622	551
Sun Mar 20 22:37:23 2016	1458513443	0	623	624	532
Sun Mar 20 22:38:00 2016	1458513480	0	626	626	577
Sun Mar 20 22:37:19 2016	1458513439	0	628	628	566
Sun Mar 20 22:37:08 2016	1458513428	0	628	628	596
Sun Mar 20 22:37:42 2016	1458513462	0	630	630	434
Sun Mar 20 22:37:42 2016	1458513462	0	630	630	597
Sun Mar 20 22:37:09 2016	1458513429	33	601	633	499
Sun Mar 20 22:37:34 2016	1458513454	0	638	638	607
Sun Mar 20 22:38:25 2016	1458513505	7	635	642	460
Sun Mar 20 22:37:49 2016	1458513469	0	643	643	557
Sun Mar 20 22:36:57 2016	1458513417	0	643	644	557
Sun Mar 20 22:38:09 2016	1458513489	0	645	645	604
Sun Mar 20 22:38:09 2016	1458513489	0	650	650	615
Sun Mar 20 22:37:57 2016	1458513477	0	651	651	408
Sun Mar 20 22:38:29 2016	1458513509	10	644	654	480
Sun Mar 20 22:38:29 2016	1458513509	0	655	655	622
Sun Mar 20 22:38:26 2016	1458513506	0	655	655	624
Sun Mar 20 22:37:08 2016	1458513428	0	657	657	470
Sun Mar 20 22:37:48 2016	1458513468	0	660	661	605
Sun Mar 20 22:38:21 2016	1458513501	0	664	664	633
Sun Mar 20 22:36:46 2016	1458513406	0	669	669	629
Sun Mar 20 22:38:02 2016	1458513482	1	670	671	620
Sun Mar 20 22:36:52 2016	1458513412	0	671	672	622
Sun Mar 20 22:37:40 2016	1458513460	17	657	673	543
Sun Mar 20 22:38:28 2016	1458513508	2	673	675	633
Sun Mar 20 22:37:07 2016	1458513427	20	656	676	575
Sun Mar 20 22:38:05 2016	1458513485	0	679	679	642
Sun Mar 20 22:38:11 2016	1458513491	0	681	682	653
Sun Mar 20 22:36:42 2016	1458513402	3	681	684	613
Sun Mar 20 22:36:55 2016	1458513415	0	685	685	651
Sun Mar 20 22:37:57 2016	1458513477	0	687	688	652
Sun Mar 20 22:37:27 2016	1458513447	0	692	692	614
Sun Mar 20 22:37:54 2016	1458513474	0	694	695	663
Sun Mar 20 22:37:58 2016	1458513478	16	679	695	644
Sun Mar 20 22:37:59 2016	1458513479	0	696	696	665
Sun Mar 20 22:36:52 2016	1458513412	0	697	698	613
Sun Mar 20 22:37:25 2016	1458513445	5	693	699	553
Sun Mar 20 22:37:47 2016	1458513467	0	699	699	647
Sun Mar 20 22:37:18 2016	1458513438	0	706	706	673
Sun Mar 20 22:38:22 2016	1458513502	0	710	710	672
Sun Mar 20 22:38:28 2016	1458513508	0	713	713	622
Sun Mar 20 22:36:57 2016	1458513417	0	713	713	677
Sun Mar 20 22:37:52 2016	1458513472	0	714	714	622
Sun Mar 20 22:38:04 2016	1458513484	0	715	716	620
Sun Mar 20 22:38:16 2016	1458513496	2	715	717	657
Sun Mar 20 22:37:46 2016	1458513466	0	717	717	631
Sun Mar 20 22:37:59 2016	1458513479	16	702	718	649
Sun Mar 20 22:38:18 2016	1458513498	0	718	718	602
Sun Mar 20 22:37:36 2016	1458513456	0	719	719	677
Sun Mar 20 22:37:13 2016	1458513433	2	719	721	679
Sun Mar 20 22:38:27 2016	1458513507	33	694	727	584
Sun Mar 20 22:37:41 2016	1458513461	0	730	730	693
Sun Mar 20 22:38:00 2016	1458513480	2	729	731	689
Sun Mar 20 22:37:44 2016	1458513464	0	735	735	607
Sun Mar 20 22:38:04 2016	1458513484	0	735	736	704
Sun Mar 20 22:38:26 2016	1458513506	0	736	736	579
Sun Mar 20 22:36:53 2016	1458513413	0	736	736	702
Sun Mar 20 22:36:50 2016	1458513410	0	736	737	699
Sun Mar 20 22:37:23 2016	1458513443	2	736	738	697
Sun Mar 20 22:38:15 2016	1458513495	0	739	740	708
Sun Mar 20 22:37:11 2016	1458513431	0	740	741	713
Sun Mar 20 22:38:25 2016	1458513505	0	741	742	680
Sun Mar 20 22:37:43 2016	1458513463	0	742	742	708
