Percentage served,Time in ms
0,433.224
1,495.731
2,515.023
3,531.201
4,538.048
5,546.401
6,552.298
7,571.932
8,579.900
9,582.481
10,587.275
11,593.772
12,602.774
13,607.100
14,613.523
15,622.505
16,630.772
17,643.442
18,657.850
19,667.193
20,669.030
21,681.921
22,685.730
23,689.935
24,692.508
25,698.714
26,706.694
27,714.299
28,717.708
29,725.548
30,732.954
31,737.890
32,741.674
33,747.643
34,753.618
35,764.260
36,768.932
37,773.157
38,775.561
39,782.876
40,788.413
41,794.085
42,805.124
43,811.160
44,817.748
45,825.656
46,829.727
47,833.705
48,838.400
49,840.494
50,851.154
51,858.809
52,866.830
53,876.419
54,880.013
55,884.334
56,888.991
57,896.018
58,901.255
59,908.309
60,913.472
61,920.353
62,924.503
63,931.011
64,934.720
65,936.507
66,946.186
67,953.418
68,956.534
69,964.885
70,978.821
71,982.605
72,987.235
73,991.430
74,999.214
75,1009.067
76,1012.526
77,1016.584
78,1026.672
79,1033.094
80,1043.162
81,1054.106
82,1067.823
83,1070.313
84,1077.380
85,1089.040
86,1107.913
87,1115.916
88,1131.594
89,1142.571
90,1145.770
91,1154.317
92,1161.727
93,1169.554
94,1174.796
95,1199.040
96,1232.861
97,1261.027
98,1311.664
99,1407.164
100,2019.048
