starttime	seconds	ctime	dtime	ttime	wait
Sun Mar 20 22:34:06 2016	1458513246	2	427	430	390
Sun Mar 20 22:33:40 2016	1458513220	0	442	442	399
Sun Mar 20 22:33:58 2016	1458513238	0	463	464	428
Sun Mar 20 22:33:55 2016	1458513235	0	467	467	430
Sun Mar 20 22:34:00 2016	1458513240	0	476	476	437
Sun Mar 20 22:34:03 2016	1458513243	37	443	481	388
Sun Mar 20 22:33:40 2016	1458513220	0	482	482	453
Sun Mar 20 22:32:51 2016	1458513171	0	491	492	453
Sun Mar 20 22:33:44 2016	1458513224	0	492	492	462
Sun Mar 20 22:33:28 2016	1458513208	0	498	499	417
Sun Mar 20 22:32:23 2016	1458513143	0	499	499	462
Sun Mar 20 22:32:44 2016	1458513164	0	499	499	446
Sun Mar 20 22:33:05 2016	1458513185	1	515	516	469
Sun Mar 20 22:34:06 2016	1458513246	19	500	519	387
Sun Mar 20 22:34:00 2016	1458513240	0	526	527	476
Sun Mar 20 22:33:11 2016	1458513191	0	526	527	492
Sun Mar 20 22:33:27 2016	1458513207	0	527	528	492
Sun Mar 20 22:34:05 2016	1458513245	0	535	535	499
Sun Mar 20 22:33:10 2016	1458513190	0	537	538	503
Sun Mar 20 22:32:44 2016	1458513164	0	540	541	504
Sun Mar 20 22:33:30 2016	1458513210	0	541	541	512
Sun Mar 20 22:33:11 2016	1458513191	2	539	542	499
Sun Mar 20 22:33:34 2016	1458513214	0	548	549	506
Sun Mar 20 22:33:42 2016	1458513222	0	549	549	447
Sun Mar 20 22:33:02 2016	1458513182	0	549	549	491
Sun Mar 20 22:32:42 2016	1458513162	8	542	550	404
Sun Mar 20 22:32:21 2016	1458513141	0	554	554	512
Sun Mar 20 22:33:47 2016	1458513227	0	555	555	510
Sun Mar 20 22:34:02 2016	1458513242	12	548	560	398
Sun Mar 20 22:32:46 2016	1458513166	0	560	560	452
Sun Mar 20 22:32:53 2016	1458513173	20	542	562	406
Sun Mar 20 22:33:12 2016	1458513192	20	547	568	417
Sun Mar 20 22:32:39 2016	1458513159	0	570	571	541
Sun Mar 20 22:32:31 2016	1458513151	0	571	572	535
Sun Mar 20 22:33:56 2016	1458513236	0	573	574	537
Sun Mar 20 22:32:58 2016	1458513178	0	576	576	520
Sun Mar 20 22:33:23 2016	1458513203	0	577	577	518
Sun Mar 20 22:33:58 2016	1458513238	0	577	578	418
Sun Mar 20 22:32:41 2016	1458513161	2	577	578	482
Sun Mar 20 22:32:28 2016	1458513148	10	568	579	462
