Percentage served,Time in ms
0,455.609
1,494.557
2,511.011
3,522.860
4,529.734
5,540.983
6,554.129
7,566.613
8,576.286
9,577.996
10,588.107
11,594.584
12,606.519
13,617.612
14,627.449
15,632.235
16,644.618
17,655.056
18,664.549
19,671.334
20,678.226
21,685.205
22,691.932
23,696.676
24,698.557
25,702.326
26,712.489
27,725.358
28,728.497
29,735.498
30,743.261
31,747.574
32,753.067
33,757.468
34,761.049
35,764.726
36,769.389
37,779.849
38,786.155
39,793.548
40,799.975
41,804.242
42,811.882
43,813.758
44,817.257
45,823.629
46,828.075
47,838.699
48,845.921
49,860.588
50,871.536
51,874.408
52,879.621
53,881.603
54,886.662
55,891.652
56,896.084
57,898.159
58,903.454
59,908.804
60,917.274
61,933.875
62,939.404
63,941.764
64,947.455
65,954.319
66,961.645
67,967.053
68,971.550
69,979.440
70,980.590
71,988.393
72,1003.178
73,1011.115
74,1015.827
75,1018.857
76,1029.402
77,1032.859
78,1040.603
79,1048.061
80,1055.147
81,1057.889
82,1063.694
83,1076.192
84,1087.205
85,1093.739
86,1107.589
87,1118.101
88,1119.637
89,1129.395
90,1141.296
91,1155.727
92,1170.483
93,1191.928
94,1227.257
95,1245.382
96,1263.610
97,1284.067
98,1298.269
99,1402.341
100,2362.774
