starttime	seconds	ctime	dtime	ttime	wait
Sun Mar 20 22:35:50 2016	1458513350	0	455	456	420
Sun Mar 20 22:35:42 2016	1458513342	0	455	456	423
Sun Mar 20 22:34:54 2016	1458513294	12	447	459	392
Sun Mar 20 22:35:07 2016	1458513307	0	462	462	390
Sun Mar 20 22:36:01 2016	1458513361	0	491	491	461
Sun Mar 20 22:36:06 2016	1458513366	0	494	495	367
Sun Mar 20 22:34:49 2016	1458513289	0	495	496	467
Sun Mar 20 22:36:11 2016	1458513371	18	480	498	418
Sun Mar 20 22:34:51 2016	1458513291	0	502	503	468
Sun Mar 20 22:35:42 2016	1458513342	0	507	508	459
Sun Mar 20 22:36:03 2016	1458513363	0	511	511	482
Sun Mar 20 22:35:52 2016	1458513352	5	506	511	391
Sun Mar 20 22:36:05 2016	1458513365	0	511	512	476
Sun Mar 20 22:35:35 2016	1458513335	0	516	516	473
Sun Mar 20 22:36:03 2016	1458513363	0	521	522	488
Sun Mar 20 22:36:04 2016	1458513364	0	523	523	413
Sun Mar 20 22:36:06 2016	1458513366	0	523	523	488
Sun Mar 20 22:35:39 2016	1458513339	0	525	525	395
Sun Mar 20 22:34:48 2016	1458513288	0	527	528	494
Sun Mar 20 22:35:49 2016	1458513349	0	529	529	500
Sun Mar 20 22:35:45 2016	1458513345	17	513	530	447
Sun Mar 20 22:36:04 2016	1458513364	0	533	533	492
Sun Mar 20 22:35:12 2016	1458513312	0	535	536	383
Sun Mar 20 22:35:38 2016	1458513338	0	538	538	487
Sun Mar 20 22:35:28 2016	1458513328	0	539	539	510
Sun Mar 20 22:34:51 2016	1458513291	0	541	541	498
Sun Mar 20 22:35:30 2016	1458513330	0	548	549	505
Sun Mar 20 22:35:06 2016	1458513306	0	549	550	521
Sun Mar 20 22:34:57 2016	1458513297	0	552	552	499
Sun Mar 20 22:36:17 2016	1458513377	0	552	553	523
Sun Mar 20 22:35:06 2016	1458513306	12	542	554	394
Sun Mar 20 22:36:10 2016	1458513370	0	554	555	526
Sun Mar 20 22:36:16 2016	1458513376	0	554	555	526
Sun Mar 20 22:35:56 2016	1458513356	0	557	558	430
Sun Mar 20 22:34:44 2016	1458513284	0	560	560	517
Sun Mar 20 22:35:09 2016	1458513309	0	566	567	535
Sun Mar 20 22:35:46 2016	1458513346	0	569	569	525
Sun Mar 20 22:34:51 2016	1458513291	3	567	570	504
Sun Mar 20 22:35:25 2016	1458513325	0	574	574	538
Sun Mar 20 22:35:41 2016	1458513341	0	574	574	521
Sun Mar 20 22:35:54 2016	1458513354	17	559	576	413
Sun Mar 20 22:35:25 2016	1458513325	0	576	576	519
Sun Mar 20 22:35:16 2016	1458513316	0	576	577	541
Sun Mar 20 22:35:27 2016	1458513327	0	577	577	523
Sun Mar 20 22:35:13 2016	1458513313	10	568	578	410
Sun Mar 20 22:35:08 2016	1458513308	6	572	578	427
Sun Mar 20 22:35:04 2016	1458513304	0	579	579	545
Sun Mar 20 22:36:07 2016	1458513367	2	581	583	416
Sun Mar 20 22:35:09 2016	1458513309	0	584	584	516
Sun Mar 20 22:35:16 2016	1458513316	0	585	586	556
Sun Mar 20 22:35:00 2016	1458513300	0	588	588	526
Sun Mar 20 22:35:03 2016	1458513303	0	589	589	552
Sun Mar 20 22:34:53 2016	1458513293	0	591	591	558
Sun Mar 20 22:35:57 2016	1458513357	2	591	593	429
Sun Mar 20 22:35:29 2016	1458513329	0	593	593	556
Sun Mar 20 22:34:32 2016	1458513272	2	592	595	468
Sun Mar 20 22:35:17 2016	1458513317	8	588	596	485
Sun Mar 20 22:35:11 2016	1458513311	0	601	602	538
Sun Mar 20 22:34:57 2016	1458513297	5	598	602	537
Sun Mar 20 22:35:22 2016	1458513322	0	603	604	574
Sun Mar 20 22:35:32 2016	1458513332	0	606	607	428
Sun Mar 20 22:35:21 2016	1458513321	0	609	609	575
Sun Mar 20 22:35:20 2016	1458513320	0	608	609	543
Sun Mar 20 22:34:45 2016	1458513285	8	605	613	511
Sun Mar 20 22:35:41 2016	1458513341	0	614	614	585
Sun Mar 20 22:35:47 2016	1458513347	0	617	618	588
Sun Mar 20 22:34:39 2016	1458513279	1	620	620	448
