Percentage served,Time in ms
0,439.119
1,471.203
2,496.938
3,518.227
4,526.043
5,561.805
6,571.694
7,577.504
8,586.134
9,597.566
10,605.012
11,606.087
12,616.573
13,622.636
14,628.237
15,637.704
16,646.478
17,655.176
18,660.707
19,664.559
20,672.846
21,675.411
22,677.733
23,685.501
24,694.975
25,702.485
26,711.700
27,717.236
28,719.611
29,724.089
30,728.850
31,737.846
32,744.709
33,749.547
34,753.614
35,763.066
36,768.836
37,774.698
38,777.352
39,779.070
40,785.208
41,789.266
42,794.941
43,797.642
44,799.547
45,810.079
46,819.984
47,827.330
48,843.548
49,848.665
50,857.848
51,868.863
52,873.746
53,877.100
54,880.623
55,882.540
56,889.244
57,895.590
58,903.020
59,909.116
60,910.981
61,913.622
62,921.278
63,928.606
64,931.206
65,938.956
66,948.350
67,962.300
68,965.048
69,968.448
70,974.001
71,986.792
72,994.365
73,999.093
74,1002.714
75,1005.602
76,1013.027
77,1019.486
78,1024.726
79,1035.391
80,1044.255
81,1053.735
82,1058.559
83,1072.516
84,1080.960
85,1090.044
86,1103.466
87,1110.709
88,1121.553
89,1128.286
90,1157.427
91,1175.680
92,1186.501
93,1196.678
94,1227.048
95,1240.341
96,1279.386
97,1341.837
98,1394.407
99,1568.210
100,2140.013
