starttime	seconds	ctime	dtime	ttime	wait
Sun Mar 20 22:40:42 2016	1458513642	0	439	439	397
Sun Mar 20 22:39:14 2016	1458513554	2	440	442	388
Sun Mar 20 22:39:13 2016	1458513553	0	445	445	412
Sun Mar 20 22:40:29 2016	1458513629	0	453	453	400
Sun Mar 20 22:40:22 2016	1458513622	0	471	471	436
Sun Mar 20 22:40:26 2016	1458513626	0	471	471	420
Sun Mar 20 22:39:15 2016	1458513555	0	475	475	438
Sun Mar 20 22:39:43 2016	1458513583	2	483	484	432
Sun Mar 20 22:39:03 2016	1458513543	0	486	486	439
Sun Mar 20 22:39:18 2016	1458513558	0	494	494	464
Sun Mar 20 22:40:29 2016	1458513629	24	473	497	404
Sun Mar 20 22:39:57 2016	1458513597	0	497	497	465
Sun Mar 20 22:39:25 2016	1458513565	0	502	502	464
Sun Mar 20 22:39:54 2016	1458513594	0	505	506	439
Sun Mar 20 22:40:08 2016	1458513608	0	516	517	462
Sun Mar 20 22:39:09 2016	1458513549	0	518	518	484
Sun Mar 20 22:40:34 2016	1458513634	3	516	519	374
Sun Mar 20 22:40:32 2016	1458513632	0	521	522	441
Sun Mar 20 22:40:25 2016	1458513625	0	523	524	485
Sun Mar 20 22:40:01 2016	1458513601	0	524	524	493
Sun Mar 20 22:40:04 2016	1458513604	8	518	526	417
Sun Mar 20 22:40:33 2016	1458513633	0	528	528	496
Sun Mar 20 22:40:29 2016	1458513629	0	555	555	512
Sun Mar 20 22:39:45 2016	1458513585	0	557	557	528
Sun Mar 20 22:39:32 2016	1458513572	0	561	562	453
Sun Mar 20 22:39:31 2016	1458513571	4	557	562	522
Sun Mar 20 22:39:45 2016	1458513585	3	560	563	425
Sun Mar 20 22:40:17 2016	1458513617	0	564	564	394
Sun Mar 20 22:40:40 2016	1458513640	0	568	568	540
Sun Mar 20 22:40:15 2016	1458513615	0	570	570	539
Sun Mar 20 22:40:41 2016	1458513641	1	571	572	539
Sun Mar 20 22:40:36 2016	1458513636	0	573	574	543
Sun Mar 20 22:39:44 2016	1458513584	8	567	575	435
Sun Mar 20 22:39:59 2016	1458513599	16	560	575	418
Sun Mar 20 22:40:27 2016	1458513627	0	575	575	532
Sun Mar 20 22:38:58 2016	1458513538	6	571	578	488
Sun Mar 20 22:40:24 2016	1458513624	0	578	578	539
Sun Mar 20 22:40:04 2016	1458513604	0	580	580	546
