Percentage served,Time in ms
0,428.480
1,497.908
2,507.207
3,539.243
4,556.331
5,571.630
6,580.826
7,592.250
8,599.332
9,609.803
10,622.243
11,646.895
12,659.641
13,665.337
14,677.350
15,688.437
16,698.612
17,719.650
18,729.429
19,740.988
20,749.128
21,758.328
22,761.498
23,764.759
24,773.234
25,781.520
26,789.007
27,796.158
28,801.331
29,808.487
30,816.130
31,822.390
32,827.741
33,831.873
34,834.704
35,839.389
36,847.567
37,857.184
38,862.529
39,866.024
40,873.996
41,876.744
42,878.393
43,884.223
44,894.937
45,906.402
46,910.702
47,915.305
48,920.693
49,924.079
50,933.442
51,937.582
52,939.450
53,954.897
54,964.331
55,970.526
56,981.308
57,988.610
58,998.238
59,1016.359
60,1022.183
61,1025.070
62,1029.193
63,1032.937
64,1037.276
65,1043.632
66,1051.563
67,1059.428
68,1066.401
69,1071.625
70,1086.081
71,1091.604
72,1096.328
73,1105.727
74,1120.432
75,1122.737
76,1127.899
77,1133.480
78,1145.543
79,1154.120
80,1170.916
81,1182.743
82,1200.539
83,1206.212
84,1218.051
85,1229.099
86,1240.096
87,1247.258
88,1257.681
89,1270.027
90,1281.629
91,1291.912
92,1324.262
93,1341.003
94,1362.620
95,1381.392
96,1417.556
97,1467.507
98,1513.183
99,2019.057
100,2170.284
