Percentage served,Time in ms
0,275.470
1,312.604
2,334.585
3,350.703
4,383.468
5,395.400
6,408.135
7,422.095
8,428.032
9,433.677
10,440.041
11,444.882
12,452.997
13,461.425
14,466.918
15,472.926
16,479.469
17,487.264
18,491.717
19,496.629
20,500.075
21,503.665
22,507.334
23,512.915
24,514.429
25,517.357
26,520.515
27,524.098
28,528.379
29,532.209
30,534.852
31,537.484
32,540.710
33,543.745
34,545.249
35,547.527
36,550.379
37,552.940
38,555.366
39,557.492
40,561.309
41,563.446
42,566.215
43,569.106
44,572.325
45,573.884
46,577.668
47,579.979
48,583.295
49,589.358
50,592.820
51,596.120
52,598.396
53,602.944
54,606.634
55,609.669
56,612.007
57,614.465
58,618.844
59,621.593
60,626.533
61,630.455
62,632.870
63,636.770
64,641.851
65,645.974
66,649.210
67,652.699
68,655.436
69,659.291
70,662.820
71,664.239
72,667.992
73,670.777
74,672.747
75,681.457
76,685.807
77,692.379
78,696.448
79,698.740
80,700.591
81,707.155
82,711.398
83,716.363
84,722.165
85,725.878
86,732.901
87,743.254
88,753.217
89,763.397
90,772.527
91,781.410
92,786.965
93,809.188
94,820.510
95,830.101
96,856.675
97,876.365
98,938.167
99,1131.736
100,1634.746
