starttime	seconds	ctime	dtime	ttime	wait
Sun Mar 20 22:31:51 2016	1458513111	0	275	275	244
Sun Mar 20 22:31:21 2016	1458513081	0	282	282	234
Sun Mar 20 22:30:53 2016	1458513053	1	290	290	255
Sun Mar 20 22:31:36 2016	1458513096	0	297	297	248
Sun Mar 20 22:31:52 2016	1458513112	0	299	299	257
Sun Mar 20 22:30:43 2016	1458513043	0	312	313	273
Sun Mar 20 22:31:44 2016	1458513104	0	317	318	275
Sun Mar 20 22:31:11 2016	1458513071	0	318	318	286
Sun Mar 20 22:31:54 2016	1458513114	0	323	324	283
Sun Mar 20 22:31:06 2016	1458513066	0	325	325	290
Sun Mar 20 22:31:56 2016	1458513116	0	334	335	291
Sun Mar 20 22:31:10 2016	1458513070	0	335	336	306
Sun Mar 20 22:31:48 2016	1458513108	0	345	345	312
Sun Mar 20 22:31:32 2016	1458513092	0	345	346	315
Sun Mar 20 22:31:00 2016	1458513060	0	347	348	310
Sun Mar 20 22:31:18 2016	1458513078	1	350	351	316
Sun Mar 20 22:31:16 2016	1458513076	0	361	362	324
Sun Mar 20 22:31:04 2016	1458513064	0	364	365	334
Sun Mar 20 22:31:08 2016	1458513068	0	368	369	322
Sun Mar 20 22:31:34 2016	1458513094	0	369	370	341
Sun Mar 20 22:31:55 2016	1458513115	1	383	383	326
Sun Mar 20 22:30:51 2016	1458513051	0	387	387	342
Sun Mar 20 22:31:33 2016	1458513093	0	388	388	345
Sun Mar 20 22:31:05 2016	1458513065	0	394	394	362
Sun Mar 20 22:31:44 2016	1458513104	0	395	395	352
Sun Mar 20 22:31:41 2016	1458513101	0	395	395	365
Sun Mar 20 22:31:31 2016	1458513091	2	396	398	357
Sun Mar 20 22:31:48 2016	1458513108	0	399	400	358
Sun Mar 20 22:31:32 2016	1458513092	0	404	404	363
Sun Mar 20 22:31:25 2016	1458513085	0	405	405	365
Sun Mar 20 22:31:41 2016	1458513101	0	408	408	360
Sun Mar 20 22:30:57 2016	1458513057	0	414	414	383
Sun Mar 20 22:31:38 2016	1458513098	0	417	417	366
Sun Mar 20 22:31:08 2016	1458513068	0	419	419	390
Sun Mar 20 22:31:24 2016	1458513084	0	419	420	383
Sun Mar 20 22:31:03 2016	1458513063	0	422	422	388
Sun Mar 20 22:30:53 2016	1458513053	1	422	423	378
Sun Mar 20 22:31:34 2016	1458513094	0	424	424	387
Sun Mar 20 22:31:46 2016	1458513106	35	389	424	351
Sun Mar 20 22:31:49 2016	1458513109	0	428	428	375
Sun Mar 20 22:31:09 2016	1458513069	2	426	428	370
Sun Mar 20 22:30:57 2016	1458513057	0	430	430	369
Sun Mar 20 22:31:13 2016	1458513073	0	431	432	395
Sun Mar 20 22:30:57 2016	1458513057	0	432	432	382
Sun Mar 20 22:31:19 2016	1458513079	0	433	433	402
Sun Mar 20 22:30:51 2016	1458513051	0	433	434	391
Sun Mar 20 22:31:18 2016	1458513078	0	433	434	405
