percentage,dagster,dagster_no_replication,rs,step,step_no_replication
0,657.4278,617.3314,158.5806,567.323,575.2132
1,1416.8154,1340.9498,174.4214,1989.2658,1975.5036
2,1647.9822,1645.5084,184.97,2259.1884,2416.185
3,1728.074,1720.7008,189.816,2522.2228,2668.1054
4,1808.4126,1775.6414,194.5962,2782.3556,2916.946
5,1871.1644,1830.2218,197.9668,2976.3942,2958.1648
6,1936.6818,1887.4406,200.947,3096.455,3090.498
7,2003.265,1957.6656,203.3546,3135.7668,3104.3066
8,2077.2762,2023.7438,206.6162,3175.357,3123.5334
9,2143.0276,2084.8104,208.3138,3200.338,3133.9256
10,2168.6932,2120.6826,210.6774,3212.2998,3142.4596
11,2191.4796,2141.0218,212.9864,3224.2336,3150.9962
12,2208.8024,2159.8918,215.1854,3232.7654,3158.7586
13,2223.672,2171.7412,216.6428,3243.2436,3164.9272
14,2246.1588,2188.0338,218.224,3251.0654,3169.4206
15,2264.5752,2201.8074,220.6802,3259.336,3175.1228
16,2283.4824,2211.291,222.069,3269.8714,3180.0498
17,2296.2886,2220.9366,223.8528,3275.0192,3186.172
18,2307.0896,2233.995,225.488,3282.2554,3191.9876
19,2322.2084,2246.6054,226.6344,3287.3962,3197.9412
20,2345.5342,2257.6124,228.1338,3293.9764,3201.9958
21,2368.2022,2271.0764,229.554,3300.8638,3208.0444
22,2397.3648,2290.7492,230.7222,3308.6994,3213.1236
23,2491.0844,2309.107,231.8348,3314.3986,3217.1572
24,2578.3018,2329.9332,233.1316,3318.6778,3222.4846
25,2664.4056,2373.0484,234.2162,3325.1006,3226.961
26,2702.1238,2452.0288,235.638,3328.7268,3230.4794
27,2731.0842,2521.5188,236.8766,3334.5448,3235.297
28,2743.9532,2575.3722,238.0934,3339.9422,3239.3596
29,2774.4872,2656.907,239.8506,3344.7624,3244.021
30,2790.5594,2712.674,240.953,3349.8632,3247.2152
31,2812.2378,2750.147,242.0848,3353.436,3251.136
32,2834.3068,2772.0984,242.6706,3359.3706,3254.8492
33,2846.1478,2791.5574,243.8978,3364.4414,3259.3814
34,2854.9906,2809.3386,244.968,3370.551,3263.0372
35,2868.3086,2816.4582,246.4624,3374.7044,3265.19
36,2878.421,2825.1072,247.5452,3379.2866,3269.5004
37,2887.1662,2834.1566,248.6542,3383.13,3272.721
38,2893.8816,2843.2486,249.5974,3386.7262,3275.8696
39,2902.9408,2853.0272,250.516,3391.7744,3278.935
40,2911.4224,2860.3118,251.941,3396.5442,3283.2328
41,2920.6008,2870.7316,252.9474,3400.7052,3286.5224
42,2927.0132,2877.3618,254.331,3404.7046,3289.6078
43,2934.581,2884.1124,255.6976,3408.053,3292.0774
44,2942.0888,2890.5242,256.9438,3412.2246,3295.6336
45,2946.573,2899.7702,258.3548,3416.4546,3298.4978
46,2954.4474,2908.1586,259.9942,3420.7186,3300.7236
47,2963.6648,2913.3974,260.7682,3424.9414,3304.541
48,2970.8486,2921.2094,262.3404,3429.5582,3309.0206
49,2974.0282,2929.736,263.6296,3433.2942,3312.5164
50,2981.1126,2936.2452,264.883,3438.225,3316.2408
51,2988.558,2943.3618,266.2968,3443.1156,3318.6354
52,2994.2194,2951.4932,267.8244,3446.6072,3322.872
53,3003.297,2957.3838,269.2202,3452.0826,3327.114
54,3008.6552,2962.9544,270.6156,3455.0436,3331.5334
55,3014.5484,2968.1764,272.5388,3458.3404,3333.7186
56,3020.8896,2974.4816,274.2692,3463.2936,3336.4688
57,3029.807,2980.5864,275.8458,3466.8138,3340.06
58,3035.925,2988.829,277.692,3471.9228,3343.0596
59,3042.68,2995.0016,279.7456,3475.3114,3347.3306
60,3051.1808,3002.7564,281.3378,3478.083,3351.4034
61,3059.6634,3014.8948,283.573,3482.465,3354.4448
62,3071.3356,3026.3278,285.057,3487.4342,3359.0818
63,3077.8904,3037.608,286.1952,3491.4898,3362.2088
64,3090.8338,3049.7494,287.769,3495.0568,3365.0618
65,3102.0506,3061.2304,288.9436,3498.9302,3368.904
