Percentage served,Time in ms
0,435.209
1,663.959
2,750.954
3,778.396
4,847.269
5,879.689
6,905.005
7,963.978
8,987.480
9,999.600
10,1028.411
11,1044.054
12,1058.908
13,1067.698
14,1078.128
15,1083.432
16,1092.355
17,1105.070
18,1111.709
19,1115.357
20,1121.521
21,1128.165
22,1135.282
23,1142.796
24,1148.451
25,1153.638
26,1158.344
27,1165.690
28,1172.695
29,1178.310
30,1185.244
31,1192.051
32,1197.802
33,1203.122
34,1210.839
35,1214.438
36,1222.476
37,1230.205
38,1237.338
39,1241.745
40,1244.623
41,1249.446
42,1253.390
43,1258.906
44,1263.487
45,1273.681
46,1276.632
47,1281.387
48,1288.692
49,1291.876
50,1298.421
51,1301.668
52,1307.767
53,1313.754
54,1323.635
55,1333.112
56,1339.598
57,1349.667
58,1354.656
59,1360.813
60,1368.353
61,1375.009
62,1379.158
63,1384.827
64,1390.021
65,1397.698
66,1401.365
67,1405.111
68,1415.509
69,1423.707
70,1427.622
71,1435.255
72,1442.634
73,1448.552
74,1454.187
75,1462.400
76,1470.244
77,1482.984
78,1489.248
79,1494.543
80,1502.985
81,1513.751
82,1519.655
83,1529.790
84,1534.322
85,1543.788
86,1555.619
87,1583.195
88,1600.498
89,1612.244
90,1622.946
91,1634.585
92,1654.984
93,1675.273
94,1689.043
95,1735.209
96,1784.492
97,1809.576
98,1895.663
99,1992.243
