starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 27 23:52:16 2017	1503877936	1	732	732	719
Sun Aug 27 23:52:16 2017	1503877936	13	736	748	722
Sun Aug 27 23:52:16 2017	1503877936	46	719	765	682
Sun Aug 27 23:52:16 2017	1503877936	26	740	766	719
Sun Aug 27 23:52:17 2017	1503877937	1	1314	1315	1291
Sun Aug 27 23:58:33 2017	1503878313	0	1403	1403	1337
Sun Aug 27 23:52:17 2017	1503877937	0	1419	1420	1402
Sun Aug 27 23:52:17 2017	1503877937	1	1439	1439	1418
Sun Aug 27 23:52:17 2017	1503877937	22	1458	1480	1425
Sun Aug 27 23:57:26 2017	1503878246	0	1609	1610	1588
Sun Aug 27 23:54:28 2017	1503878068	1	1613	1613	1589
Sun Aug 27 23:54:59 2017	1503878099	1	1632	1633	1615
Sun Aug 27 23:57:59 2017	1503878279	0	1643	1644	1586
Sun Aug 27 23:52:21 2017	1503877941	1	1644	1645	1622
Sun Aug 27 23:54:36 2017	1503878076	0	1653	1653	1633
Sun Aug 27 23:56:32 2017	1503878192	0	1669	1670	1655
Sun Aug 27 23:56:52 2017	1503878212	0	1727	1728	1714
Sun Aug 27 23:53:02 2017	1503877982	1	1742	1742	1726
Sun Aug 27 23:55:12 2017	1503878112	2	1755	1757	1714
Sun Aug 27 23:57:05 2017	1503878225	1	1781	1781	1759
Sun Aug 27 23:52:58 2017	1503877978	0	1811	1812	1755
Sun Aug 27 23:58:16 2017	1503878296	0	1855	1855	1765
Sun Aug 27 23:54:15 2017	1503878055	0	1873	1873	1808
Sun Aug 27 23:54:08 2017	1503878048	0	1874	1875	1801
Sun Aug 27 23:56:22 2017	1503878182	0	1890	1890	1834
Sun Aug 27 23:53:36 2017	1503878016	0	1910	1911	1869
Sun Aug 27 23:55:46 2017	1503878146	1	1924	1925	1839
Sun Aug 27 23:53:29 2017	1503878009	0	1932	1933	1872
Sun Aug 27 23:56:09 2017	1503878169	0	1969	1969	1936
Sun Aug 27 23:55:32 2017	1503878132	0	1978	1978	1938
Sun Aug 27 23:57:31 2017	1503878251	0	1980	1980	1933
Sun Aug 27 23:52:38 2017	1503877958	0	1993	1993	1912
Sun Aug 27 23:53:45 2017	1503878025	1	1997	1998	1975
Sun Aug 27 23:53:26 2017	1503878006	0	2000	2000	1883
Sun Aug 27 23:58:12 2017	1503878292	0	2038	2038	1949
Sun Aug 27 23:55:56 2017	1503878156	0	2085	2085	2061
Sun Aug 27 23:53:53 2017	1503878033	1	2092	2093	2054
Sun Aug 27 23:54:46 2017	1503878086	0	2098	2098	2022
Sun Aug 27 23:57:15 2017	1503878235	50	2057	2107	2024
Sun Aug 27 23:56:06 2017	1503878166	0	2138	2139	2126
Sun Aug 27 23:56:30 2017	1503878190	20	2120	2140	2094
Sun Aug 27 23:55:07 2017	1503878107	15	2159	2174	2136
Sun Aug 27 23:58:30 2017	1503878310	1	2202	2203	2173
Sun Aug 27 23:53:19 2017	1503877999	1	2213	2213	2161
Sun Aug 27 23:57:28 2017	1503878248	0	2222	2222	2201
Sun Aug 27 23:53:27 2017	1503878007	20	2207	2227	2152
Sun Aug 27 23:55:28 2017	1503878128	1	2232	2232	2217
Sun Aug 27 23:52:49 2017	1503877969	1	2236	2237	2218
Sun Aug 27 23:53:34 2017	1503878014	1	2240	2240	2224
Sun Aug 27 23:55:07 2017	1503878107	1	2240	2241	2226
Sun Aug 27 23:53:03 2017	1503877983	0	2246	2247	2177
Sun Aug 27 23:52:31 2017	1503877951	1	2247	2248	2235
Sun Aug 27 23:56:40 2017	1503878200	0	2250	2250	2237
Sun Aug 27 23:56:17 2017	1503878177	1	2256	2257	2240
Sun Aug 27 23:56:42 2017	1503878202	5	2258	2263	2228
Sun Aug 27 23:57:03 2017	1503878223	1	2265	2266	2237
Sun Aug 27 23:55:39 2017	1503878139	1	2266	2266	2244
Sun Aug 27 23:56:40 2017	1503878200	0	2271	2272	2241
Sun Aug 27 23:57:36 2017	1503878256	15	2259	2274	2214
Sun Aug 27 23:58:14 2017	1503878294	1	2274	2274	2255
Sun Aug 27 23:57:57 2017	1503878277	1	2280	2281	2262
Sun Aug 27 23:57:46 2017	1503878266	1	2281	2282	2224
Sun Aug 27 23:56:03 2017	1503878163	1	2283	2284	2268
Sun Aug 27 23:55:53 2017	1503878153	0	2285	2285	2246
Sun Aug 27 23:54:01 2017	1503878041	1	2286	2287	2271
Sun Aug 27 23:54:13 2017	1503878053	9	2278	2287	2201
Sun Aug 27 23:55:51 2017	1503878151	1	2299	2299	2275
Sun Aug 27 23:58:27 2017	1503878307	1	2299	2300	2284
Sun Aug 27 23:53:43 2017	1503878023	0	2301	2301	2289
Sun Aug 27 23:52:25 2017	1503877945	1	2304	2304	2288
Sun Aug 27 23:52:19 2017	1503877939	0	2305	2306	2290
Sun Aug 27 23:53:13 2017	1503877993	1	2306	2307	2293
Sun Aug 27 23:55:51 2017	1503878151	41	2270	2311	2249
Sun Aug 27 23:53:03 2017	1503877983	68	2248	2316	2203
Sun Aug 27 23:54:19 2017	1503878059	1	2326	2327	2313
Sun Aug 27 23:54:53 2017	1503878093	1	2326	2327	2304
Sun Aug 27 23:57:09 2017	1503878229	1	2330	2331	2312
Sun Aug 27 23:57:36 2017	1503878256	60	2276	2336	2233
Sun Aug 27 23:55:34 2017	1503878134	1	2345	2345	2284
