Percentage served,Time in ms
0,398.076
1,617.765
2,695.435
3,767.819
4,818.241
5,838.814
6,887.378
7,914.102
8,975.730
9,1003.442
10,1022.178
11,1041.951
12,1055.764
13,1067.332
14,1087.588
15,1094.703
16,1108.697
17,1115.381
18,1124.623
19,1131.860
20,1136.515
21,1140.266
22,1151.714
23,1158.252
24,1165.149
25,1170.075
26,1177.512
27,1183.055
28,1189.519
29,1197.866
30,1201.606
31,1205.989
32,1212.341
33,1224.234
34,1228.399
35,1233.983
36,1242.304
37,1247.843
38,1252.867
39,1257.526
40,1264.837
41,1267.010
42,1271.696
43,1276.709
44,1280.023
45,1285.866
46,1292.662
47,1297.758
48,1300.953
49,1305.959
50,1315.199
51,1319.945
52,1327.722
53,1334.636
54,1340.324
55,1345.070
56,1349.398
57,1353.430
58,1357.348
59,1365.146
60,1370.926
61,1374.426
62,1381.202
63,1383.736
64,1388.847
65,1394.074
66,1402.581
67,1407.839
68,1415.258
69,1421.123
70,1428.089
71,1430.994
72,1434.658
73,1441.093
74,1446.054
75,1454.499
76,1463.738
77,1474.833
78,1484.853
79,1489.139
80,1499.857
81,1510.300
82,1519.608
83,1528.032
84,1541.003
85,1552.133
86,1560.619
87,1574.030
88,1588.028
89,1599.264
90,1610.425
91,1640.914
92,1664.615
93,1684.724
94,1718.423
95,1746.540
96,1783.130
97,1816.608
98,1907.639
99,2046.646
