starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 27 16:56:31 2017	1503852991	17	543	560	532
Sun Aug 27 16:56:31 2017	1503852991	1	598	598	578
Sun Aug 27 16:56:31 2017	1503852991	28	604	632	574
Sun Aug 27 16:56:31 2017	1503852991	57	587	644	557
Sun Aug 27 17:08:33 2017	1503853713	0	1124	1125	1109
Sun Aug 27 16:56:32 2017	1503852992	0	1444	1444	1427
Sun Aug 27 16:56:32 2017	1503852992	0	1445	1446	1433
Sun Aug 27 16:56:32 2017	1503852992	0	1504	1504	1488
Sun Aug 27 17:07:42 2017	1503853662	1	1538	1539	1524
Sun Aug 27 16:58:53 2017	1503853133	0	1582	1583	1561
Sun Aug 27 17:00:58 2017	1503853258	0	1594	1595	1554
Sun Aug 27 16:59:40 2017	1503853180	0	1603	1604	1523
Sun Aug 27 16:58:12 2017	1503853092	0	1614	1614	1570
Sun Aug 27 17:05:41 2017	1503853541	0	1634	1634	1603
Sun Aug 27 17:01:43 2017	1503853303	0	1643	1643	1627
Sun Aug 27 17:06:38 2017	1503853598	0	1643	1644	1632
Sun Aug 27 16:58:01 2017	1503853081	0	1646	1646	1613
Sun Aug 27 17:00:13 2017	1503853213	0	1648	1648	1627
Sun Aug 27 16:57:14 2017	1503853034	0	1651	1651	1638
Sun Aug 27 17:02:12 2017	1503853332	0	1653	1653	1624
Sun Aug 27 17:07:37 2017	1503853657	5	1654	1659	1580
Sun Aug 27 16:59:54 2017	1503853194	0	1672	1672	1605
Sun Aug 27 16:59:06 2017	1503853146	0	1681	1681	1616
Sun Aug 27 16:56:56 2017	1503853016	0	1681	1682	1617
Sun Aug 27 17:04:56 2017	1503853496	1	1681	1682	1641
Sun Aug 27 17:04:25 2017	1503853465	0	1682	1682	1667
Sun Aug 27 17:01:54 2017	1503853314	1	1689	1689	1616
Sun Aug 27 17:04:15 2017	1503853455	0	1696	1697	1650
Sun Aug 27 16:58:58 2017	1503853138	0	1698	1698	1624
Sun Aug 27 17:00:07 2017	1503853207	44	1672	1715	1605
Sun Aug 27 17:03:24 2017	1503853404	1	1723	1723	1664
Sun Aug 27 17:04:03 2017	1503853443	0	1724	1724	1660
Sun Aug 27 17:08:15 2017	1503853695	0	1727	1727	1703
Sun Aug 27 17:05:10 2017	1503853510	0	1728	1729	1686
Sun Aug 27 17:04:34 2017	1503853474	0	1730	1730	1713
