Percentage served,Time in ms
0,149.253
1,168.134
2,185.304
3,190.105
4,192.063
5,196.287
6,198.500
7,200.622
8,204.765
9,206.368
10,209.333
11,212.121
12,215.352
13,216.099
14,217.001
15,220.203
16,222.395
17,224.019
18,225.734
19,226.858
20,228.638
21,229.028
22,229.620
23,231.218
24,232.602
25,234.235
26,236.458
27,237.811
28,239.664
29,240.740
30,241.935
31,243.144
32,243.950
33,245.485
34,246.927
35,247.787
36,248.885
37,249.629
38,250.622
39,251.556
40,253.785
41,254.375
42,255.469
43,257.023
44,258.491
45,259.821
46,260.932
47,261.177
48,263.231
49,264.125
50,265.176
51,266.113
52,268.300
53,269.438
54,271.217
55,274.894
56,277.143
57,277.845
58,279.394
59,282.411
60,284.631
61,286.665
62,288.180
63,289.336
64,290.596
65,291.762
66,292.939
67,294.529
68,296.222
69,298.146
70,300.221
71,301.648
72,303.785
73,305.013
74,308.597
75,310.707
76,313.754
77,316.494
78,320.581
79,322.178
80,324.336
81,327.106
82,328.622
83,333.884
84,338.400
85,342.046
86,346.154
87,348.448
88,353.101
89,355.092
90,358.412
91,364.238
92,368.511
93,373.606
94,381.032
95,389.371
96,394.238
97,416.616
98,438.411
99,483.756
