starttime	seconds	ctime	dtime	ttime	wait
Mon Aug 28 10:02:32 2017	1503914552	0	149	149	131
Mon Aug 28 10:02:42 2017	1503914562	0	152	153	145
Mon Aug 28 10:02:49 2017	1503914569	1	155	156	145
Mon Aug 28 10:02:39 2017	1503914559	0	160	161	154
Mon Aug 28 10:02:45 2017	1503914565	0	164	165	152
Mon Aug 28 10:02:58 2017	1503914578	0	168	168	157
Mon Aug 28 10:02:49 2017	1503914569	1	172	172	162
Mon Aug 28 10:02:54 2017	1503914574	1	175	176	165
Mon Aug 28 10:03:01 2017	1503914581	1	177	177	164
Mon Aug 28 10:02:44 2017	1503914564	0	181	182	169
Mon Aug 28 10:02:45 2017	1503914565	0	185	185	175
Mon Aug 28 10:02:34 2017	1503914554	0	187	187	176
Mon Aug 28 10:02:54 2017	1503914574	0	186	187	175
Mon Aug 28 10:02:47 2017	1503914567	0	187	187	179
Mon Aug 28 10:02:53 2017	1503914573	0	189	190	165
Mon Aug 28 10:02:38 2017	1503914558	0	190	190	176
Mon Aug 28 10:02:55 2017	1503914575	0	190	190	168
Mon Aug 28 10:02:31 2017	1503914551	2	188	191	169
Mon Aug 28 10:02:43 2017	1503914563	1	189	191	174
Mon Aug 28 10:02:57 2017	1503914577	0	190	191	172
Mon Aug 28 10:02:59 2017	1503914579	0	192	192	178
Mon Aug 28 10:02:41 2017	1503914561	0	193	193	184
Mon Aug 28 10:02:58 2017	1503914578	0	193	194	185
Mon Aug 28 10:02:41 2017	1503914561	0	193	194	177
Mon Aug 28 10:02:38 2017	1503914558	0	195	196	186
Mon Aug 28 10:03:00 2017	1503914580	0	196	196	189
Mon Aug 28 10:03:01 2017	1503914581	2	195	197	174
Mon Aug 28 10:02:59 2017	1503914579	0	196	197	180
Mon Aug 28 10:02:28 2017	1503914548	0	198	198	188
Mon Aug 28 10:02:40 2017	1503914560	0	198	198	190
Mon Aug 28 10:02:31 2017	1503914551	0	198	199	189
Mon Aug 28 10:02:33 2017	1503914553	0	198	199	187
Mon Aug 28 10:02:40 2017	1503914560	0	198	199	184
Mon Aug 28 10:02:56 2017	1503914576	0	199	199	183
Mon Aug 28 10:02:44 2017	1503914564	0	200	200	188
Mon Aug 28 10:02:32 2017	1503914552	0	200	201	195
Mon Aug 28 10:02:43 2017	1503914563	0	201	201	188
Mon Aug 28 10:02:56 2017	1503914576	0	201	201	189
Mon Aug 28 10:02:40 2017	1503914560	0	202	203	192
Mon Aug 28 10:03:00 2017	1503914580	0	203	203	189
Mon Aug 28 10:02:50 2017	1503914570	0	204	205	186
Mon Aug 28 10:02:50 2017	1503914570	0	205	206	188
Mon Aug 28 10:02:29 2017	1503914549	0	205	206	190
Mon Aug 28 10:02:35 2017	1503914555	1	205	206	183
Mon Aug 28 10:02:31 2017	1503914551	1	206	206	197
Mon Aug 28 10:02:33 2017	1503914553	0	206	206	189
Mon Aug 28 10:02:47 2017	1503914567	0	207	207	196
Mon Aug 28 10:02:52 2017	1503914572	0	207	207	194
Mon Aug 28 10:03:01 2017	1503914581	0	208	208	193
Mon Aug 28 10:02:54 2017	1503914574	0	208	209	203
