starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 27 22:11:17 2017	1503871877	1	516	517	499
Sun Aug 27 22:11:17 2017	1503871877	34	574	608	561
Sun Aug 27 22:11:17 2017	1503871877	47	574	621	552
Sun Aug 27 22:11:17 2017	1503871877	16	605	621	587
Sun Aug 27 22:13:08 2017	1503871988	0	1950	1950	1930
Sun Aug 27 22:18:11 2017	1503872291	1	2197	2197	2181
Sun Aug 27 22:14:20 2017	1503872060	77	2121	2198	2101
Sun Aug 27 22:13:49 2017	1503872029	94	2143	2237	2133
Sun Aug 27 22:16:12 2017	1503872172	23	2289	2312	2200
Sun Aug 27 22:18:23 2017	1503872303	0	2365	2366	2317
Sun Aug 27 22:13:26 2017	1503872006	0	2389	2389	2375
Sun Aug 27 22:18:54 2017	1503872334	1	2447	2447	2348
Sun Aug 27 22:17:01 2017	1503872221	1	2465	2466	2432
Sun Aug 27 22:18:54 2017	1503872334	99	2382	2481	2368
Sun Aug 27 22:16:22 2017	1503872182	0	2488	2489	2477
Sun Aug 27 22:14:10 2017	1503872050	1	2502	2503	2485
Sun Aug 27 22:18:20 2017	1503872300	0	2623	2623	2604
Sun Aug 27 22:17:18 2017	1503872238	5	2646	2651	2567
Sun Aug 27 22:15:57 2017	1503872157	109	2587	2696	2571
Sun Aug 27 22:15:57 2017	1503872157	0	2696	2697	2588
Sun Aug 27 22:18:25 2017	1503872305	0	2721	2721	2711
Sun Aug 27 22:13:39 2017	1503872019	0	2737	2738	2725
Sun Aug 27 22:15:35 2017	1503872135	0	2740	2740	2727
Sun Aug 27 22:11:39 2017	1503871899	0	2751	2751	2722
Sun Aug 27 22:14:22 2017	1503872062	1	2865	2865	2846
Sun Aug 27 22:11:29 2017	1503871889	1	2940	2941	2927
Sun Aug 27 22:13:23 2017	1503872003	0	3101	3101	2762
Sun Aug 27 22:16:49 2017	1503872209	1	3171	3172	2449
Sun Aug 27 22:13:03 2017	1503871983	9	3169	3178	3085
Sun Aug 27 22:16:44 2017	1503872204	0	3193	3193	2141
Sun Aug 27 22:13:03 2017	1503871983	1	3200	3201	3191
Sun Aug 27 22:12:51 2017	1503871971	85	3120	3205	3075
Sun Aug 27 22:12:51 2017	1503871971	1	3205	3205	3088
Sun Aug 27 22:15:37 2017	1503872137	0	3218	3218	3190
Sun Aug 27 22:13:01 2017	1503871981	53	3188	3241	3118
Sun Aug 27 22:12:49 2017	1503871969	20	3221	3241	3169
Sun Aug 27 22:13:01 2017	1503871981	0	3241	3241	2560
Sun Aug 27 22:16:46 2017	1503872206	0	3245	3245	2957
Sun Aug 27 22:12:22 2017	1503871942	1	3269	3270	3181
Sun Aug 27 22:15:53 2017	1503872153	0	3281	3281	3259
Sun Aug 27 22:18:00 2017	1503872280	1	3281	3281	3202
Sun Aug 27 22:12:20 2017	1503871940	26	3260	3286	3213
Sun Aug 27 22:12:22 2017	1503871942	1	3299	3299	3268
Sun Aug 27 22:12:18 2017	1503871938	12	3292	3304	3264
Sun Aug 27 22:12:49 2017	1503871969	1	3304	3305	3283
Sun Aug 27 22:12:20 2017	1503871940	0	3310	3310	3283
Sun Aug 27 22:16:30 2017	1503872190	13	3300	3313	3237
Sun Aug 27 22:16:30 2017	1503872190	0	3313	3313	3295
Sun Aug 27 22:12:42 2017	1503871962	0	3313	3313	3284
Sun Aug 27 22:18:28 2017	1503872308	0	3315	3315	3304
Sun Aug 27 22:12:41 2017	1503871961	1	3321	3322	3309
Sun Aug 27 22:12:52 2017	1503871972	0	3323	3323	3309
Sun Aug 27 22:12:08 2017	1503871928	1	3328	3329	3313
Sun Aug 27 22:12:23 2017	1503871943	0	3329	3329	3153
Sun Aug 27 22:12:18 2017	1503871938	1	3333	3334	3322
Sun Aug 27 22:18:00 2017	1503872280	0	3340	3340	3186
Sun Aug 27 22:16:46 2017	1503872206	1	3340	3341	3312
Sun Aug 27 22:13:45 2017	1503872025	0	3341	3342	3317
Sun Aug 27 22:12:01 2017	1503871921	0	3344	3344	3271
Sun Aug 27 22:12:47 2017	1503871967	15	3330	3345	3259
Sun Aug 27 22:12:47 2017	1503871967	0	3345	3345	3298
Sun Aug 27 22:12:00 2017	1503871920	0	3348	3348	3327
Sun Aug 27 22:12:23 2017	1503871943	0	3353	3353	3166
Sun Aug 27 22:12:52 2017	1503871972	0	3356	3356	3341
Sun Aug 27 22:12:29 2017	1503871949	14	3342	3356	3320
Sun Aug 27 22:17:50 2017	1503872270	24	3335	3358	3217
Sun Aug 27 22:17:50 2017	1503872270	1	3358	3359	3284
Sun Aug 27 22:16:49 2017	1503872209	0	3360	3360	3248
Sun Aug 27 22:16:28 2017	1503872188	80	3280	3360	3078
Sun Aug 27 22:16:28 2017	1503872188	1	3360	3361	2090
Sun Aug 27 22:12:03 2017	1503871923	1	3362	3362	3299
Sun Aug 27 22:13:10 2017	1503871990	0	3370	3370	3356
Sun Aug 27 22:12:01 2017	1503871921	72	3299	3370	3275
Sun Aug 27 22:11:56 2017	1503871916	1	3372	3372	3316
Sun Aug 27 22:13:45 2017	1503872025	1	3374	3375	3308
Sun Aug 27 22:12:32 2017	1503871952	0	3375	3376	3334
Sun Aug 27 22:12:30 2017	1503871950	23	3353	3376	3237
Sun Aug 27 22:12:30 2017	1503871950	1	3376	3376	3214
Sun Aug 27 22:17:48 2017	1503872268	0	3376	3377	3345
Sun Aug 27 22:12:56 2017	1503871976	0	3383	3383	3265
Sun Aug 27 22:12:46 2017	1503871966	0	3385	3386	3207
Sun Aug 27 22:15:53 2017	1503872153	0	3386	3386	3271
Sun Aug 27 22:16:15 2017	1503872175	0	3387	3387	3379
Sun Aug 27 22:12:03 2017	1503871923	0	3387	3388	3347
Sun Aug 27 22:17:51 2017	1503872271	1	3387	3388	3166
Sun Aug 27 22:17:28 2017	1503872248	56	3334	3390	3217
Sun Aug 27 22:17:28 2017	1503872248	1	3390	3390	3303
Sun Aug 27 22:16:47 2017	1503872207	1	3390	3390	3152
Sun Aug 27 22:11:58 2017	1503871918	1	3397	3398	3317
Sun Aug 27 22:16:07 2017	1503872167	1	3399	3400	3367
Sun Aug 27 22:12:29 2017	1503871949	0	3400	3400	3385
Sun Aug 27 22:13:21 2017	1503872001	1	3407	3408	3314
Sun Aug 27 22:17:33 2017	1503872253	0	3409	3409	3296
Sun Aug 27 22:12:17 2017	1503871937	1	3411	3411	3247
Sun Aug 27 22:12:35 2017	1503871955	16	3396	3412	3374
Sun Aug 27 22:12:04 2017	1503871924	1	3412	3413	3327
Sun Aug 27 22:12:56 2017	1503871976	0	3414	3414	3320
Sun Aug 27 22:11:58 2017	1503871918	0	3415	3415	3357
Sun Aug 27 22:12:27 2017	1503871947	15	3402	3417	3351
Sun Aug 27 22:12:27 2017	1503871947	1	3417	3418	3362
Sun Aug 27 22:12:32 2017	1503871952	0	3419	3419	3180
Sun Aug 27 22:12:44 2017	1503871964	0	3420	3421	3405
Sun Aug 27 22:17:48 2017	1503872268	1	3420	3421	3398
Sun Aug 27 22:11:56 2017	1503871916	55	3369	3424	3354
Sun Aug 27 22:11:59 2017	1503871919	0	3424	3425	3415
Sun Aug 27 22:17:55 2017	1503872275	78	3349	3427	3320
Sun Aug 27 22:12:10 2017	1503871930	11	3419	3430	3203
Sun Aug 27 22:12:10 2017	1503871930	1	3430	3430	3326
Sun Aug 27 22:17:15 2017	1503872235	0	3431	3431	3149
Sun Aug 27 22:11:54 2017	1503871914	0	3431	3432	3355
Sun Aug 27 22:12:06 2017	1503871926	45	3394	3439	3356
Sun Aug 27 22:12:06 2017	1503871926	1	3438	3439	3340
Sun Aug 27 22:14:53 2017	1503872093	1	3446	3447	3313
Sun Aug 27 22:17:53 2017	1503872273	91	3357	3448	3283
Sun Aug 27 22:17:55 2017	1503872275	0	3447	3448	3370
Sun Aug 27 22:17:51 2017	1503872271	0	3451	3451	3252
Sun Aug 27 22:14:25 2017	1503872065	0	3452	3452	3426
Sun Aug 27 22:16:54 2017	1503872214	12	3443	3454	3343
Sun Aug 27 22:16:54 2017	1503872214	1	3454	3455	3342
Sun Aug 27 22:15:52 2017	1503872152	15	3441	3456	3174
Sun Aug 27 22:15:52 2017	1503872152	1	3456	3457	3270
Sun Aug 27 22:11:54 2017	1503871914	0	3456	3457	3416
Sun Aug 27 22:12:54 2017	1503871974	69	3390	3459	3242
Sun Aug 27 22:12:54 2017	1503871974	0	3459	3460	3220
Sun Aug 27 22:11:37 2017	1503871897	0	3461	3461	3272
Sun Aug 27 22:17:23 2017	1503872243	46	3415	3461	3383
Sun Aug 27 22:17:23 2017	1503872243	1	3461	3462	3385
Sun Aug 27 22:12:57 2017	1503871977	11	3451	3462	3259
Sun Aug 27 22:12:57 2017	1503871977	1	3462	3463	3231
Sun Aug 27 22:12:08 2017	1503871928	1	3462	3463	3345
Sun Aug 27 22:12:46 2017	1503871966	0	3463	3463	3254
Sun Aug 27 22:11:40 2017	1503871900	0	3463	3464	3451
Sun Aug 27 22:16:44 2017	1503872204	11	3454	3465	3258
Sun Aug 27 22:13:20 2017	1503872000	0	3464	3465	3253
Sun Aug 27 22:12:17 2017	1503871937	0	3466	3467	3387
Sun Aug 27 22:12:39 2017	1503871959	1	3466	3467	3390
Sun Aug 27 22:17:13 2017	1503872233	1	3467	3468	3251
Sun Aug 27 22:12:13 2017	1503871933	0	3471	3471	3452
Sun Aug 27 22:12:41 2017	1503871961	11	3462	3473	3402
Sun Aug 27 22:12:35 2017	1503871955	1	3473	3474	3458
Sun Aug 27 22:16:21 2017	1503872181	0	3478	3478	3089
Sun Aug 27 22:13:06 2017	1503871986	1	3478	3478	3411
Sun Aug 27 22:16:40 2017	1503872200	17	3462	3479	3431
Sun Aug 27 22:16:40 2017	1503872200	1	3478	3479	3448
Sun Aug 27 22:11:44 2017	1503871904	4	3476	3480	3469
Sun Aug 27 22:11:45 2017	1503871905	0	3482	3482	3471
Sun Aug 27 22:12:25 2017	1503871945	36	3451	3487	3347
Sun Aug 27 22:12:25 2017	1503871945	1	3486	3487	3401
Sun Aug 27 22:11:40 2017	1503871900	11	3481	3492	3438
Sun Aug 27 22:12:42 2017	1503871962	0	3493	3493	3475
Sun Aug 27 22:17:30 2017	1503872250	1	3493	3494	3397
Sun Aug 27 22:13:04 2017	1503871984	1	3494	3494	3343
Sun Aug 27 22:18:44 2017	1503872324	13	3482	3495	3381
Sun Aug 27 22:18:44 2017	1503872324	1	3495	3496	3417
Sun Aug 27 22:13:34 2017	1503872014	0	3495	3496	3190
Sun Aug 27 22:12:33 2017	1503871953	14	3483	3496	3402
Sun Aug 27 22:12:33 2017	1503871953	1	3496	3496	3424
Sun Aug 27 22:17:58 2017	1503872278	1	3496	3497	3355
Sun Aug 27 22:14:55 2017	1503872095	0	3499	3499	3481
Sun Aug 27 22:13:06 2017	1503871986	0	3500	3501	3456
Sun Aug 27 22:17:15 2017	1503872235	1	3503	3504	3486
Sun Aug 27 22:16:04 2017	1503872164	6	3499	3505	3364
Sun Aug 27 22:16:35 2017	1503872195	89	3418	3507	3404
Sun Aug 27 22:16:35 2017	1503872195	0	3507	3507	3398
Sun Aug 27 22:16:07 2017	1503872167	10	3498	3508	3402
Sun Aug 27 22:15:41 2017	1503872141	0	3508	3508	3473
Sun Aug 27 22:12:11 2017	1503871931	1	3509	3510	3394
Sun Aug 27 22:18:17 2017	1503872297	0	3513	3514	3498
Sun Aug 27 22:14:58 2017	1503872098	1	3516	3517	3493
Sun Aug 27 22:17:33 2017	1503872253	0	3517	3517	3420
Sun Aug 27 22:17:58 2017	1503872278	0	3517	3517	3473
Sun Aug 27 22:18:35 2017	1503872315	0	3519	3519	3484
Sun Aug 27 22:14:53 2017	1503872093	0	3524	3524	2260
Sun Aug 27 22:15:42 2017	1503872142	1	3524	3525	3501
Sun Aug 27 22:18:42 2017	1503872322	13	3514	3526	3345
Sun Aug 27 22:18:42 2017	1503872322	1	3526	3526	3502
Sun Aug 27 22:12:13 2017	1503871933	11	3516	3527	3465
Sun Aug 27 22:18:38 2017	1503872318	96	3431	3527	3374
Sun Aug 27 22:12:11 2017	1503871931	0	3527	3527	3424
Sun Aug 27 22:18:38 2017	1503872318	1	3527	3527	3381
Sun Aug 27 22:14:58 2017	1503872098	0	3530	3531	3506
Sun Aug 27 22:12:59 2017	1503871979	12	3521	3533	3393
Sun Aug 27 22:12:59 2017	1503871979	0	3533	3533	3507
Sun Aug 27 22:13:43 2017	1503872023	74	3459	3534	3377
Sun Aug 27 22:13:43 2017	1503872023	1	3533	3534	3427
Sun Aug 27 22:13:58 2017	1503872038	0	3534	3535	3453
Sun Aug 27 22:11:45 2017	1503871905	1	3535	3535	3519
Sun Aug 27 22:13:51 2017	1503872031	0	3536	3537	3497
Sun Aug 27 22:11:44 2017	1503871904	0	3538	3538	3527
Sun Aug 27 22:18:45 2017	1503872325	0	3538	3538	3412
Sun Aug 27 22:12:15 2017	1503871935	60	3479	3539	3439
Sun Aug 27 22:12:15 2017	1503871935	1	3538	3539	3303
Sun Aug 27 22:18:33 2017	1503872313	87	3452	3539	3404
Sun Aug 27 22:13:28 2017	1503872008	0	3539	3539	3492
Sun Aug 27 22:18:33 2017	1503872313	1	3539	3539	3429
Sun Aug 27 22:14:00 2017	1503872040	0	3540	3541	3232
Sun Aug 27 22:15:09 2017	1503872109	0	3541	3542	3526
Sun Aug 27 22:18:40 2017	1503872320	1	3543	3544	3483
Sun Aug 27 22:15:13 2017	1503872113	1	3544	3544	3435
Sun Aug 27 22:13:04 2017	1503871984	48	3497	3545	3413
Sun Aug 27 22:17:57 2017	1503872277	0	3545	3545	3478
Sun Aug 27 22:12:37 2017	1503871957	10	3538	3548	3452
Sun Aug 27 22:12:37 2017	1503871957	1	3548	3548	3530
Sun Aug 27 22:18:35 2017	1503872315	0	3548	3549	3518
Sun Aug 27 22:14:38 2017	1503872078	0	3554	3555	3364
Sun Aug 27 22:15:14 2017	1503872114	98	3458	3556	3386
Sun Aug 27 22:15:14 2017	1503872114	1	3555	3556	3295
Sun Aug 27 22:17:15 2017	1503872235	1	3556	3557	3536
Sun Aug 27 22:12:04 2017	1503871924	0	3556	3557	3530
Sun Aug 27 22:17:53 2017	1503872273	1	3558	3558	3467
Sun Aug 27 22:17:21 2017	1503872241	0	3558	3559	3458
Sun Aug 27 22:18:40 2017	1503872320	0	3562	3562	3512
Sun Aug 27 22:13:12 2017	1503871992	0	3562	3563	3288
Sun Aug 27 22:18:49 2017	1503872329	0	3564	3565	3444
Sun Aug 27 22:17:04 2017	1503872224	0	3565	3565	3551
Sun Aug 27 22:17:46 2017	1503872266	16	3551	3567	3468
Sun Aug 27 22:17:46 2017	1503872266	0	3566	3567	3542
Sun Aug 27 22:16:58 2017	1503872218	120	3447	3567	2346
Sun Aug 27 22:15:48 2017	1503872148	0	3568	3568	3472
Sun Aug 27 22:16:51 2017	1503872211	19	3553	3572	3351
Sun Aug 27 22:16:51 2017	1503872211	1	3572	3572	3350
Sun Aug 27 22:12:44 2017	1503871964	0	3572	3572	3438
Sun Aug 27 22:18:02 2017	1503872282	15	3559	3574	3460
Sun Aug 27 22:18:02 2017	1503872282	0	3574	3574	3496
Sun Aug 27 22:14:45 2017	1503872085	0	3575	3575	3564
Sun Aug 27 22:17:32 2017	1503872252	23	3554	3578	3232
Sun Aug 27 22:17:32 2017	1503872252	0	3577	3578	3503
Sun Aug 27 22:11:47 2017	1503871907	0	3578	3578	3565
Sun Aug 27 22:18:45 2017	1503872325	106	3472	3578	3461
Sun Aug 27 22:15:03 2017	1503872103	1	3578	3578	3547
Sun Aug 27 22:11:42 2017	1503871902	17	3562	3579	3528
Sun Aug 27 22:15:50 2017	1503872150	1	3578	3579	3547
Sun Aug 27 22:15:18 2017	1503872118	0	3580	3581	3550
Sun Aug 27 22:16:26 2017	1503872186	11	3570	3582	3436
Sun Aug 27 22:16:26 2017	1503872186	1	3581	3582	3491
Sun Aug 27 22:18:17 2017	1503872297	1	3582	3583	3434
Sun Aug 27 22:16:56 2017	1503872216	13	3574	3587	3445
Sun Aug 27 22:16:56 2017	1503872216	1	3587	3587	3512
Sun Aug 27 22:11:52 2017	1503871912	1	3588	3589	3548
Sun Aug 27 22:11:42 2017	1503871902	1	3590	3591	3574
Sun Aug 27 22:16:24 2017	1503872184	0	3592	3593	3551
Sun Aug 27 22:16:39 2017	1503872199	1	3594	3595	3582
Sun Aug 27 22:11:47 2017	1503871907	0	3596	3596	3541
Sun Aug 27 22:17:56 2017	1503872276	0	3597	3597	3504
Sun Aug 27 22:17:10 2017	1503872230	0	3598	3599	3451
Sun Aug 27 22:14:54 2017	1503872094	0	3598	3599	3526
Sun Aug 27 22:18:47 2017	1503872327	15	3586	3601	3466
Sun Aug 27 22:18:47 2017	1503872327	1	3600	3601	3391
Sun Aug 27 22:11:51 2017	1503871911	0	3603	3604	3591
Sun Aug 27 22:18:49 2017	1503872329	0	3604	3605	3590
Sun Aug 27 22:16:42 2017	1503872202	1	3605	3607	3512
Sun Aug 27 22:11:49 2017	1503871909	0	3607	3607	3598
Sun Aug 27 22:13:57 2017	1503872037	0	3607	3608	3233
Sun Aug 27 22:15:03 2017	1503872103	1	3609	3610	3591
Sun Aug 27 22:13:31 2017	1503872011	0	3614	3615	2801
Sun Aug 27 22:13:19 2017	1503871999	0	3615	3616	3605
Sun Aug 27 22:16:39 2017	1503872199	12	3605	3617	3503
Sun Aug 27 22:14:08 2017	1503872048	0	3617	3618	3264
Sun Aug 27 22:14:45 2017	1503872085	0	3619	3620	3607
Sun Aug 27 22:11:49 2017	1503871909	0	3621	3621	3582
Sun Aug 27 22:17:30 2017	1503872250	0	3622	3623	3594
Sun Aug 27 22:15:09 2017	1503872109	15	3611	3626	3495
Sun Aug 27 22:15:13 2017	1503872113	0	3628	3629	2696
Sun Aug 27 22:13:31 2017	1503872011	13	3617	3630	3579
Sun Aug 27 22:18:36 2017	1503872316	92	3540	3631	3514
Sun Aug 27 22:12:39 2017	1503871959	0	3631	3631	3569
Sun Aug 27 22:16:37 2017	1503872197	30	3602	3632	3480
Sun Aug 27 22:16:37 2017	1503872197	0	3632	3632	3551
