Percentage served,Time in ms
0,590.750
1,1889.997
2,2320.629
3,2461.307
4,2983.957
5,3052.505
6,3076.760
7,3095.605
8,3121.109
9,3139.852
10,3154.671
11,3168.430
12,3175.012
13,3189.690
14,3194.003
15,3202.218
16,3207.742
17,3215.449
18,3221.312
19,3226.078
20,3233.306
21,3237.031
22,3245.808
23,3246.858
24,3251.487
25,3261.014
26,3266.199
27,3273.529
28,3277.302
29,3282.152
30,3285.064
31,3290.828
32,3296.975
33,3311.316
34,3313.176
35,3315.118
36,3320.851
37,3322.863
38,3326.121
39,3331.551
40,3336.021
41,3337.148
42,3338.327
43,3343.713
44,3349.562
45,3352.827
46,3356.989
47,3359.342
48,3363.866
49,3367.112
50,3371.700
51,3377.944
52,3378.679
53,3383.380
54,3385.409
55,3390.550
56,3395.658
57,3398.260
58,3402.562
59,3407.953
60,3409.539
61,3412.049
62,3417.337
63,3419.041
64,3427.551
65,3432.166
66,3437.976
67,3440.920
68,3445.083
69,3454.833
70,3457.257
71,3462.450
72,3464.537
73,3466.714
74,3472.803
75,3476.511
76,3483.897
77,3488.158
78,3491.828
79,3495.534
80,3510.911
81,3515.130
82,3526.982
83,3534.629
84,3537.212
85,3543.192
86,3555.085
87,3563.732
88,3571.005
89,3634.333
90,3669.942
91,3698.925
92,3759.902
93,3853.311
94,3939.776
95,3997.113
96,4261.647
97,4852.321
98,5029.283
99,5968.406
