Percentage served,Time in ms
0,264.710
1,365.527
2,382.025
3,394.329
4,404.657
5,421.434
6,432.609
7,450.762
8,465.018
9,480.713
10,492.435
11,502.078
12,509.424
13,513.799
14,520.965
15,524.373
16,527.554
17,531.373
18,534.347
19,536.695
20,538.795
21,542.362
22,545.889
23,549.178
24,551.557
25,553.240
26,556.195
27,558.241
28,561.120
29,563.364
30,564.359
31,567.279
32,569.089
33,571.453
34,574.601
35,576.372
36,579.339
37,582.313
38,585.218
39,588.294
40,590.094
41,592.926
42,594.491
43,597.269
44,599.749
45,602.279
46,603.861
47,606.339
48,607.642
49,609.707
50,611.280
51,615.261
52,616.199
53,619.723
54,622.365
55,624.161
56,625.545
57,628.865
58,631.782
59,634.086
60,636.863
61,639.504
62,641.966
63,644.676
64,647.476
65,649.803
66,653.155
67,656.958
68,660.953
69,663.436
70,667.469
71,670.339
72,673.584
73,675.666
74,679.702
75,683.661
76,686.536
77,691.867
78,695.380
79,698.965
80,702.427
81,706.036
82,710.691
83,715.312
84,722.167
85,726.438
86,732.687
87,744.497
88,748.153
89,752.697
90,761.640
91,768.635
92,777.999
93,784.283
94,794.566
95,800.579
96,812.630
97,826.504
98,845.055
99,905.664
