starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 27 23:12:57 2017	1503875577	13	568	581	552
Sun Aug 27 23:12:57 2017	1503875577	1	621	622	608
Sun Aug 27 23:12:57 2017	1503875577	29	610	639	590
Sun Aug 27 23:12:57 2017	1503875577	50	590	640	579
Sun Aug 27 23:19:56 2017	1503875996	0	1238	1239	1221
Sun Aug 27 23:19:05 2017	1503875945	0	1908	1908	1852
Sun Aug 27 23:17:08 2017	1503875828	0	1937	1937	1819
Sun Aug 27 23:14:21 2017	1503875661	1	1965	1966	1956
Sun Aug 27 23:16:21 2017	1503875781	1	1992	1992	1960
Sun Aug 27 23:16:38 2017	1503875798	0	1994	1994	1926
Sun Aug 27 23:15:28 2017	1503875728	0	2143	2143	2130
Sun Aug 27 23:16:26 2017	1503875786	13	2336	2349	2311
Sun Aug 27 23:15:43 2017	1503875743	0	2445	2446	2429
Sun Aug 27 23:19:54 2017	1503875994	0	2455	2455	2393
Sun Aug 27 23:15:25 2017	1503875725	0	2456	2456	2442
Sun Aug 27 23:17:25 2017	1503875845	0	2480	2480	2467
Sun Aug 27 23:19:54 2017	1503875994	0	2484	2485	2418
Sun Aug 27 23:19:39 2017	1503875979	0	2703	2703	2525
Sun Aug 27 23:13:15 2017	1503875595	0	2797	2798	2784
Sun Aug 27 23:15:30 2017	1503875730	0	2806	2807	2798
Sun Aug 27 23:17:06 2017	1503875826	0	3003	3003	2920
Sun Aug 27 23:13:48 2017	1503875628	1	3003	3004	2937
Sun Aug 27 23:14:39 2017	1503875679	1	3010	3010	2936
Sun Aug 27 23:18:10 2017	1503875890	1	3011	3012	3003
Sun Aug 27 23:14:39 2017	1503875679	12	3023	3035	2992
Sun Aug 27 23:14:39 2017	1503875679	1	3035	3036	2282
Sun Aug 27 23:18:18 2017	1503875898	1	3040	3041	3023
Sun Aug 27 23:16:28 2017	1503875788	0	3057	3057	2940
Sun Aug 27 23:16:55 2017	1503875815	1	3059	3059	2847
Sun Aug 27 23:18:11 2017	1503875891	14	3046	3059	2946
Sun Aug 27 23:18:11 2017	1503875891	0	3059	3060	3008
Sun Aug 27 23:16:30 2017	1503875790	16	3044	3060	2878
Sun Aug 27 23:16:30 2017	1503875790	0	3060	3060	2959
Sun Aug 27 23:15:29 2017	1503875729	13	3048	3061	2975
Sun Aug 27 23:17:57 2017	1503875877	14	3047	3061	3006
Sun Aug 27 23:17:57 2017	1503875877	0	3061	3061	3007
Sun Aug 27 23:16:53 2017	1503875813	0	3067	3067	2985
Sun Aug 27 23:15:12 2017	1503875712	2	3069	3070	2988
Sun Aug 27 23:18:10 2017	1503875890	0	3093	3093	3074
Sun Aug 27 23:15:45 2017	1503875745	0	3096	3096	2965
Sun Aug 27 23:18:19 2017	1503875899	14	3083	3097	3012
Sun Aug 27 23:15:32 2017	1503875732	0	3097	3097	2789
Sun Aug 27 23:17:52 2017	1503875872	17	3089	3106	3014
Sun Aug 27 23:17:52 2017	1503875872	1	3106	3106	3053
Sun Aug 27 23:13:53 2017	1503875633	0	3108	3108	2973
Sun Aug 27 23:19:53 2017	1503875993	1	3112	3113	3094
Sun Aug 27 23:18:22 2017	1503875902	0	3113	3113	2930
Sun Aug 27 23:13:48 2017	1503875628	0	3113	3114	3053
Sun Aug 27 23:15:14 2017	1503875714	0	3114	3115	3014
Sun Aug 27 23:18:18 2017	1503875898	0	3117	3117	3002
Sun Aug 27 23:18:19 2017	1503875899	1	3120	3121	3106
Sun Aug 27 23:17:37 2017	1503875857	16	3105	3121	2941
Sun Aug 27 23:17:37 2017	1503875857	1	3121	3121	3013
Sun Aug 27 23:19:07 2017	1503875947	0	3122	3123	3060
Sun Aug 27 23:16:57 2017	1503875817	0	3127	3127	2947
Sun Aug 27 23:15:04 2017	1503875704	0	3127	3127	2827
Sun Aug 27 23:16:06 2017	1503875766	29	3099	3128	3001
Sun Aug 27 23:16:06 2017	1503875766	1	3127	3128	3061
Sun Aug 27 23:19:53 2017	1503875993	14	3116	3130	3054
Sun Aug 27 23:18:24 2017	1503875904	0	3133	3134	3062
Sun Aug 27 23:14:59 2017	1503875699	1	3136	3136	3124
Sun Aug 27 23:17:42 2017	1503875862	1	3136	3136	3027
Sun Aug 27 23:18:22 2017	1503875902	0	3137	3137	2968
Sun Aug 27 23:15:53 2017	1503875753	1	3140	3141	3010
Sun Aug 27 23:17:40 2017	1503875860	33	3108	3141	3055
Sun Aug 27 23:17:40 2017	1503875860	0	3141	3141	3068
Sun Aug 27 23:16:03 2017	1503875763	19	3123	3142	2993
Sun Aug 27 23:16:08 2017	1503875768	1	3141	3142	3114
Sun Aug 27 23:16:03 2017	1503875763	1	3141	3142	3030
Sun Aug 27 23:16:23 2017	1503875783	0	3143	3143	3134
Sun Aug 27 23:17:42 2017	1503875862	0	3148	3149	2914
Sun Aug 27 23:15:21 2017	1503875721	0	3154	3155	2942
Sun Aug 27 23:14:59 2017	1503875699	12	3143	3155	3103
Sun Aug 27 23:14:59 2017	1503875699	48	3107	3155	3091
Sun Aug 27 23:18:02 2017	1503875882	19	3136	3155	3064
Sun Aug 27 23:18:45 2017	1503875925	14	3144	3158	3108
Sun Aug 27 23:18:21 2017	1503875901	0	3157	3158	3119
Sun Aug 27 23:18:45 2017	1503875925	1	3157	3158	3045
Sun Aug 27 23:16:04 2017	1503875764	1	3157	3158	3086
Sun Aug 27 23:17:27 2017	1503875847	0	3159	3160	3025
Sun Aug 27 23:17:53 2017	1503875873	1	3158	3160	3020
Sun Aug 27 23:14:26 2017	1503875666	1	3160	3160	2868
Sun Aug 27 23:16:58 2017	1503875818	0	3160	3161	1684
Sun Aug 27 23:17:55 2017	1503875875	1	3162	3162	3145
Sun Aug 27 23:18:13 2017	1503875893	1	3164	3164	3119
Sun Aug 27 23:19:37 2017	1503875977	50	3115	3165	3013
Sun Aug 27 23:19:37 2017	1503875977	1	3164	3165	3142
Sun Aug 27 23:14:00 2017	1503875640	1	3166	3167	3149
Sun Aug 27 23:18:24 2017	1503875904	0	3167	3167	2959
Sun Aug 27 23:16:40 2017	1503875800	0	3167	3167	3132
Sun Aug 27 23:16:08 2017	1503875768	0	3168	3168	3156
Sun Aug 27 23:19:51 2017	1503875991	0	3168	3169	3150
Sun Aug 27 23:13:18 2017	1503875598	1	3168	3169	3137
Sun Aug 27 23:18:52 2017	1503875932	63	3107	3170	3045
Sun Aug 27 23:18:52 2017	1503875932	1	3170	3170	2954
Sun Aug 27 23:17:53 2017	1503875873	0	3173	3173	2813
Sun Aug 27 23:13:53 2017	1503875633	0	3176	3176	3120
Sun Aug 27 23:18:08 2017	1503875888	10	3167	3177	3073
Sun Aug 27 23:18:08 2017	1503875888	1	3177	3177	3147
Sun Aug 27 23:18:02 2017	1503875882	1	3177	3178	3159
Sun Aug 27 23:14:26 2017	1503875666	76	3102	3178	3076
Sun Aug 27 23:14:26 2017	1503875666	16	3162	3178	3102
Sun Aug 27 23:18:25 2017	1503875905	76	3104	3180	3036
Sun Aug 27 23:18:25 2017	1503875905	1	3180	3180	3084
Sun Aug 27 23:16:16 2017	1503875776	14	3169	3183	3061
Sun Aug 27 23:16:04 2017	1503875764	0	3183	3183	3170
Sun Aug 27 23:16:16 2017	1503875776	0	3183	3183	3027
Sun Aug 27 23:15:53 2017	1503875753	0	3187	3188	3017
Sun Aug 27 23:16:01 2017	1503875761	1	3190	3190	3175
Sun Aug 27 23:18:21 2017	1503875901	13	3178	3191	3166
Sun Aug 27 23:15:12 2017	1503875712	9	3185	3194	3131
Sun Aug 27 23:15:12 2017	1503875712	0	3194	3194	2393
Sun Aug 27 23:18:27 2017	1503875907	1	3195	3196	3158
Sun Aug 27 23:15:47 2017	1503875747	11	3185	3196	2967
Sun Aug 27 23:15:47 2017	1503875747	1	3196	3196	3050
Sun Aug 27 23:18:43 2017	1503875923	1	3196	3197	3179
Sun Aug 27 23:18:03 2017	1503875883	12	3185	3197	2969
Sun Aug 27 23:18:03 2017	1503875883	1	3197	3197	3118
Sun Aug 27 23:19:51 2017	1503875991	17	3181	3198	3137
Sun Aug 27 23:16:53 2017	1503875813	0	3199	3200	3187
Sun Aug 27 23:19:30 2017	1503875970	1	3201	3201	3175
Sun Aug 27 23:17:29 2017	1503875849	14	3187	3201	3154
Sun Aug 27 23:17:29 2017	1503875849	1	3201	3202	3164
Sun Aug 27 23:17:55 2017	1503875875	15	3188	3203	3085
Sun Aug 27 23:14:11 2017	1503875651	12	3191	3203	3158
Sun Aug 27 23:18:47 2017	1503875927	1	3202	3203	3100
Sun Aug 27 23:16:01 2017	1503875761	15	3189	3204	3136
Sun Aug 27 23:18:43 2017	1503875923	17	3188	3205	3149
Sun Aug 27 23:17:39 2017	1503875859	0	3204	3205	3138
Sun Aug 27 23:16:56 2017	1503875816	0	3205	3206	3139
Sun Aug 27 23:15:22 2017	1503875722	0	3205	3206	3191
Sun Aug 27 23:19:35 2017	1503875975	0	3208	3209	3113
Sun Aug 27 23:18:47 2017	1503875927	0	3211	3211	3177
Sun Aug 27 23:16:42 2017	1503875802	0	3213	3213	2979
Sun Aug 27 23:15:52 2017	1503875752	10	3206	3216	3148
Sun Aug 27 23:19:33 2017	1503875973	1	3215	3216	3145
Sun Aug 27 23:15:52 2017	1503875752	1	3216	3216	3170
Sun Aug 27 23:15:48 2017	1503875748	69	3147	3217	2996
Sun Aug 27 23:15:48 2017	1503875748	4	3213	3217	3004
Sun Aug 27 23:14:08 2017	1503875648	34	3183	3217	3102
Sun Aug 27 23:14:08 2017	1503875648	0	3217	3217	3039
Sun Aug 27 23:18:48 2017	1503875928	15	3204	3219	3024
Sun Aug 27 23:18:48 2017	1503875928	0	3219	3219	3056
Sun Aug 27 23:16:56 2017	1503875816	0	3219	3219	2906
Sun Aug 27 23:14:13 2017	1503875653	48	3172	3220	2988
Sun Aug 27 23:14:13 2017	1503875653	0	3219	3220	3059
Sun Aug 27 23:14:25 2017	1503875665	0	3220	3220	3028
Sun Aug 27 23:19:13 2017	1503875953	1	3220	3220	3143
Sun Aug 27 23:13:16 2017	1503875596	0	3222	3222	3202
Sun Aug 27 23:15:56 2017	1503875756	17	3206	3222	3129
Sun Aug 27 23:15:56 2017	1503875756	0	3222	3223	3123
Sun Aug 27 23:14:03 2017	1503875643	0	3223	3223	3135
Sun Aug 27 23:18:53 2017	1503875933	1	3223	3224	3151
Sun Aug 27 23:14:41 2017	1503875681	1	3225	3226	3151
Sun Aug 27 23:18:13 2017	1503875893	1	3226	3227	3153
Sun Aug 27 23:18:16 2017	1503875896	75	3154	3229	3031
Sun Aug 27 23:18:16 2017	1503875896	1	3228	3229	3118
Sun Aug 27 23:19:32 2017	1503875972	0	3229	3229	3057
Sun Aug 27 23:14:06 2017	1503875646	56	3174	3229	3083
Sun Aug 27 23:14:06 2017	1503875646	1	3229	3230	3100
Sun Aug 27 23:15:02 2017	1503875702	1	3234	3234	3202
Sun Aug 27 23:17:36 2017	1503875856	0	3236	3236	3219
Sun Aug 27 23:14:48 2017	1503875688	0	3236	3236	3052
Sun Aug 27 23:14:14 2017	1503875654	1	3237	3238	3083
Sun Aug 27 23:17:39 2017	1503875859	1	3238	3238	3217
Sun Aug 27 23:18:37 2017	1503875917	11	3228	3239	3045
Sun Aug 27 23:18:37 2017	1503875917	1	3239	3240	3007
Sun Aug 27 23:19:09 2017	1503875949	1	3240	3240	3132
Sun Aug 27 23:13:46 2017	1503875626	1	3242	3242	3188
Sun Aug 27 23:17:09 2017	1503875829	0	3243	3243	3028
Sun Aug 27 23:16:31 2017	1503875791	15	3229	3244	2965
Sun Aug 27 23:16:31 2017	1503875791	1	3244	3244	3196
Sun Aug 27 23:13:55 2017	1503875635	1	3244	3245	3165
Sun Aug 27 23:13:23 2017	1503875603	0	3245	3245	3109
Sun Aug 27 23:15:06 2017	1503875706	1	3245	3246	3233
Sun Aug 27 23:13:29 2017	1503875609	0	3247	3247	3122
Sun Aug 27 23:14:00 2017	1503875640	13	3235	3248	3155
Sun Aug 27 23:14:04 2017	1503875644	1	3249	3249	3087
Sun Aug 27 23:17:00 2017	1503875820	13	3237	3250	3166
Sun Aug 27 23:17:00 2017	1503875820	1	3250	3250	3228
Sun Aug 27 23:18:29 2017	1503875909	18	3233	3251	3137
Sun Aug 27 23:18:29 2017	1503875909	1	3250	3251	3184
Sun Aug 27 23:17:58 2017	1503875878	1	3251	3251	3081
Sun Aug 27 23:15:22 2017	1503875722	0	3251	3252	3241
Sun Aug 27 23:15:05 2017	1503875705	0	3252	3252	3238
Sun Aug 27 23:14:28 2017	1503875668	1	3252	3252	3034
Sun Aug 27 23:15:02 2017	1503875702	0	3253	3253	3229
Sun Aug 27 23:17:22 2017	1503875842	10	3243	3253	2998
Sun Aug 27 23:17:18 2017	1503875838	1	3254	3255	3038
Sun Aug 27 23:14:23 2017	1503875663	0	3256	3256	3224
Sun Aug 27 23:14:11 2017	1503875651	0	3256	3256	3192
Sun Aug 27 23:17:36 2017	1503875856	16	3242	3257	3155
Sun Aug 27 23:15:29 2017	1503875729	1	3257	3258	3244
Sun Aug 27 23:18:50 2017	1503875930	1	3257	3258	3163
Sun Aug 27 23:18:27 2017	1503875907	34	3225	3260	3193
Sun Aug 27 23:16:28 2017	1503875788	0	3260	3261	3115
Sun Aug 27 23:13:31 2017	1503875611	1	3261	3262	3244
Sun Aug 27 23:16:53 2017	1503875813	0	3262	3262	3224
Sun Aug 27 23:14:58 2017	1503875698	0	3264	3264	3225
Sun Aug 27 23:17:21 2017	1503875841	0	3264	3264	3150
Sun Aug 27 23:14:49 2017	1503875689	1	3267	3268	3248
Sun Aug 27 23:18:42 2017	1503875922	0	3268	3269	3122
Sun Aug 27 23:13:16 2017	1503875596	0	3268	3269	3208
Sun Aug 27 23:18:56 2017	1503875936	69	3201	3269	3075
Sun Aug 27 23:18:56 2017	1503875936	0	3269	3269	3083
Sun Aug 27 23:13:29 2017	1503875609	0	3270	3270	3150
Sun Aug 27 23:15:05 2017	1503875705	14	3258	3271	3191
Sun Aug 27 23:13:24 2017	1503875604	0	3272	3272	3257
Sun Aug 27 23:14:01 2017	1503875641	1	3272	3273	3240
Sun Aug 27 23:13:55 2017	1503875635	0	3274	3274	3223
Sun Aug 27 23:18:35 2017	1503875915	12	3263	3275	3166
Sun Aug 27 23:18:35 2017	1503875915	0	3274	3275	3239
Sun Aug 27 23:14:29 2017	1503875669	56	3219	3275	3185
Sun Aug 27 23:14:29 2017	1503875669	1	3275	3275	2980
Sun Aug 27 23:14:36 2017	1503875676	1	3275	3276	3222
Sun Aug 27 23:19:50 2017	1503875990	14	3262	3276	3054
Sun Aug 27 23:19:50 2017	1503875990	1	3276	3276	3089
Sun Aug 27 23:13:51 2017	1503875631	0	3277	3277	3258
Sun Aug 27 23:17:03 2017	1503875823	0	3277	3277	3255
Sun Aug 27 23:16:46 2017	1503875806	14	3263	3277	2976
Sun Aug 27 23:18:53 2017	1503875933	0	3277	3278	3139
Sun Aug 27 23:15:50 2017	1503875750	25	3253	3278	3193
Sun Aug 27 23:18:58 2017	1503875938	81	3198	3279	3141
Sun Aug 27 23:18:58 2017	1503875938	1	3278	3279	3172
Sun Aug 27 23:17:22 2017	1503875842	1	3278	3279	3258
Sun Aug 27 23:13:58 2017	1503875638	1	3278	3279	3197
Sun Aug 27 23:17:31 2017	1503875851	13	3268	3281	3170
Sun Aug 27 23:17:31 2017	1503875851	1	3281	3282	3204
Sun Aug 27 23:16:49 2017	1503875809	0	3282	3282	3070
Sun Aug 27 23:15:58 2017	1503875758	41	3242	3283	3106
Sun Aug 27 23:18:34 2017	1503875914	39	3244	3283	3154
Sun Aug 27 23:15:58 2017	1503875758	1	3282	3283	3129
Sun Aug 27 23:18:34 2017	1503875914	0	3283	3283	3201
Sun Aug 27 23:13:50 2017	1503875630	0	3283	3283	3240
Sun Aug 27 23:14:49 2017	1503875689	19	3264	3284	3209
Sun Aug 27 23:14:09 2017	1503875649	11	3273	3284	3112
Sun Aug 27 23:15:55 2017	1503875755	61	3223	3284	3039
Sun Aug 27 23:14:09 2017	1503875649	0	3284	3284	3201
Sun Aug 27 23:15:55 2017	1503875755	0	3284	3284	3066
Sun Aug 27 23:19:10 2017	1503875950	1	3286	3287	3212
Sun Aug 27 23:17:43 2017	1503875863	15	3273	3288	3072
Sun Aug 27 23:15:09 2017	1503875709	1	3287	3288	3243
Sun Aug 27 23:17:43 2017	1503875863	0	3288	3288	3119
Sun Aug 27 23:19:30 2017	1503875970	1	3288	3288	3001
Sun Aug 27 23:14:01 2017	1503875641	0	3289	3290	3228
Sun Aug 27 23:19:25 2017	1503875965	0	3290	3290	3233
Sun Aug 27 23:19:33 2017	1503875973	11	3280	3291	3168
Sun Aug 27 23:19:33 2017	1503875973	0	3291	3291	3242
Sun Aug 27 23:14:14 2017	1503875654	2	3290	3291	3098
Sun Aug 27 23:17:58 2017	1503875878	0	3292	3292	3219
Sun Aug 27 23:14:04 2017	1503875644	0	3292	3292	2485
Sun Aug 27 23:16:46 2017	1503875806	1	3292	3293	3259
Sun Aug 27 23:15:39 2017	1503875739	1	3292	3293	2968
Sun Aug 27 23:13:50 2017	1503875630	0	3293	3293	3278
Sun Aug 27 23:16:09 2017	1503875769	16	3278	3294	3051
Sun Aug 27 23:16:09 2017	1503875769	1	3293	3294	3157
Sun Aug 27 23:16:11 2017	1503875771	1	3293	3294	2963
Sun Aug 27 23:19:23 2017	1503875963	16	3279	3295	3007
Sun Aug 27 23:19:23 2017	1503875963	1	3294	3295	3232
Sun Aug 27 23:15:01 2017	1503875701	0	3295	3296	3016
