[7l----system---- ----total-cpu-usage---- -dsk/total- ------memory-usage----- -net/total-
     time     |usr sys idl wai hiq siq| read  writ| used  buff  cach  free| recv  send
03-04 12:49:48|  2   1  94   2   0   0| 638k  925k| 423M  183M 2659M 3545M|   0     0 
03-04 12:49:49|  6   6  85   3   0   0|   0   612k| 450M  183M 2659M 3518M| 538B   90B
03-04 12:49:50|  4   9  87   0   0   0|   0    14M| 461M  183M 2660M 3507M| 292B  168B
03-04 12:49:51|  5   5  89   2   0   0|   0  1620k| 430M  183M 2660M 3537M| 738B  758B
03-04 12:49:52|  0   0  88  12   0   0|   0    10M| 430M  183M 2660M 3538M|   0     0 
03-04 12:49:53|  0   0  90  10   0   0|   0  7432k| 430M  183M 2660M 3538M|  64B    0 
03-04 12:49:54|  0   0  88  12   0   0|   0  5052k| 430M  183M 2660M 3538M|   0     0 
03-04 12:49:55|  1   1  86  12   0   0|   0  2444k| 430M  183M 2660M 3537M|  16E   16E
03-04 12:49:56|  0   0  88  12   0   0|   0  2712k| 430M  183M 2660M 3538M|   0     0 
03-04 12:49:57|  0   0  88  11   0   0|   0  2760k| 428M  183M 2660M 3540M|  64B    0 
03-04 12:49:58|  0   0  93   7   0   0|   0  7204k| 428M  183M 2659M 3540M|   0     0 
