"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/bypass/microbench-encode-64MB-7.csv",,,,"Date:","05 Apr 2016 15:59:58 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
05-04 15:59:58,9.417,2.373,87.943,0.266,0.0,0.000,31692.723,66400.673,485892096.0,282619904.0,2813988864.0,3559075840.0,0.0,0.0
05-04 15:59:59,5.747,5.109,85.568,3.576,0.0,0.0,0.0,827392.0,514056192.0,282619904.0,2814115840.0,3530784768.0,166.0,258.0
05-04 16:00:00,1.003,11.404,87.594,0.0,0.0,0.0,0.0,0.0,530575360.0,282619904.0,2814177280.0,3514204160.0,372.0,160.0
05-04 16:00:01,0.0,12.609,87.391,0.0,0.0,0.0,0.0,0.0,543227904.0,282619904.0,2814218240.0,3501510656.0,458.0,90.0
05-04 16:00:02,0.0,12.641,87.359,0.0,0.0,0.0,0.0,0.0,555462656.0,282619904.0,2814251008.0,3489243136.0,184.0,0.0
05-04 16:00:03,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,567631872.0,282619904.0,2814251008.0,3477073920.0,180.0,0.0
05-04 16:00:04,0.125,12.484,87.016,0.375,0.0,0.0,0.0,139264.0,577880064.0,282619904.0,2814251008.0,3466825728.0,244.0,70.0
05-04 16:00:05,0.876,11.640,87.484,0.0,0.0,0.0,0.0,0.0,626421760.0,282619904.0,2814251008.0,3418284032.0,186.0,0.0
05-04 16:00:06,6.367,6.242,87.391,0.0,0.0,0.0,0.0,0.0,648097792.0,282619904.0,2814255104.0,3396603904.0,184.0,0.0
05-04 16:00:07,7.134,5.382,87.484,0.0,0.0,0.0,0.0,122880.0,606920704.0,282619904.0,2814255104.0,3437780992.0,180.0,0.0
05-04 16:00:08,6.258,6.258,87.484,0.0,0.0,0.0,0.0,0.0,634458112.0,282619904.0,2814255104.0,3410243584.0,244.0,70.0
05-04 16:00:09,6.625,6.0,87.375,0.0,0.0,0.0,0.0,0.0,592740352.0,282619904.0,2814255104.0,3451961344.0,186.0,0.0
05-04 16:00:10,6.508,5.882,86.984,0.626,0.0,0.0,0.0,65536.0,620908544.0,282619904.0,2814255104.0,3423793152.0,0.0,0.0
05-04 16:00:11,6.742,5.993,87.266,0.0,0.0,0.0,0.0,0.0,653271040.0,282619904.0,2814255104.0,3391430656.0,64.0,0.0
05-04 16:00:12,6.125,6.375,87.500,0.0,0.0,0.0,0.0,45056.0,613269504.0,282619904.0,2814255104.0,3431432192.0,0.0,0.0
05-04 16:00:13,6.758,5.757,87.484,0.0,0.0,0.0,0.0,0.0,642199552.0,282619904.0,2814255104.0,3402502144.0,64.0,0.0
05-04 16:00:14,5.296,5.549,87.516,1.639,0.0,0.0,0.0,184320.0,495919104.0,282619904.0,2814246912.0,3548790784.0,1.84467440737e+19,1.84467440737e+19
