"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/flat_xor_hd_3/microbench-encode-16MB-7.csv",,,,"Date:","05 Apr 2016 16:05:14 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
05-04 16:05:14,9.399,2.393,87.936,0.271,0.0,0.000,31533.084,68316.618,486866944.0,283820032.0,2817347584.0,3553542144.0,0.0,0.0
05-04 16:05:15,5.718,6.099,84.879,3.304,0.0,0.0,0.0,806912.0,514306048.0,283844608.0,2817638400.0,3525787648.0,230.0,258.0
05-04 16:05:16,1.126,11.389,87.484,0.0,0.0,0.0,0.0,12288.0,531488768.0,283844608.0,2817667072.0,3508576256.0,308.0,160.0
05-04 16:05:17,3.254,9.262,87.484,0.0,0.0,0.0,0.0,0.0,582148096.0,283844608.0,2817568768.0,3458015232.0,522.0,90.0
05-04 16:05:18,7.375,5.250,87.375,0.0,0.0,0.0,0.0,0.0,549642240.0,283844608.0,2817572864.0,3490516992.0,0.0,0.0
05-04 16:05:19,7.0,5.625,87.375,0.0,0.0,0.0,0.0,0.0,567529472.0,283844608.0,2817572864.0,3472629760.0,64.0,0.0
05-04 16:05:20,6.258,6.258,87.359,0.125,0.0,0.0,0.0,159744.0,537677824.0,283844608.0,2817572864.0,3502481408.0,0.0,70.0
05-04 16:05:21,7.134,5.507,87.359,0.0,0.0,0.0,0.0,106496.0,561328128.0,283844608.0,2817572864.0,3478831104.0,190.0,0.0
05-04 16:05:22,6.508,6.008,87.484,0.0,0.0,0.0,0.0,0.0,577937408.0,283844608.0,2817572864.0,3462221824.0,0.0,0.0
05-04 16:05:23,7.635,4.881,87.484,0.0,0.0,0.0,0.0,0.0,546893824.0,283844608.0,2817572864.0,3493265408.0,64.0,0.0
05-04 16:05:24,7.250,5.250,87.500,0.0,0.0,0.0,0.0,0.0,563654656.0,283844608.0,2817572864.0,3476504576.0,0.0,70.0
05-04 16:05:25,7.259,5.257,87.484,0.0,0.0,0.0,0.0,0.0,585842688.0,283844608.0,2817572864.0,3454316544.0,190.0,0.0
05-04 16:05:26,6.516,6.015,87.343,0.125,0.0,0.0,0.0,110592.0,554352640.0,283844608.0,2817572864.0,3485806592.0,0.0,0.0
05-04 16:05:27,7.134,5.382,87.484,0.0,0.0,0.0,0.0,0.0,570859520.0,283844608.0,2817572864.0,3469299712.0,64.0,0.0
05-04 16:05:28,7.134,5.382,87.484,0.0,0.0,0.0,0.0,0.0,540762112.0,283844608.0,2817572864.0,3499397120.0,0.0,0.0
05-04 16:05:29,7.366,5.368,87.266,0.0,0.0,0.0,0.0,0.0,562606080.0,283844608.0,2817572864.0,3477553152.0,64.0,0.0
05-04 16:05:30,7.250,5.250,87.500,0.0,0.0,0.0,0.0,0.0,580636672.0,283844608.0,2817572864.0,3459522560.0,0.0,0.0
05-04 16:05:31,7.259,5.257,86.608,0.876,0.0,0.0,0.0,679936.0,549273600.0,283844608.0,2817572864.0,3490885632.0,64.0,0.0
05-04 16:05:32,6.875,5.625,87.500,0.0,0.0,0.0,0.0,0.0,566796288.0,283844608.0,2817572864.0,3473362944.0,0.0,0.0
