"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/hashed_xor_driver/microbench-encode-16MB-10.csv",,,,"Date:","05 Apr 2016 16:13:25 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
05-04 16:13:25,10.262,1.308,88.217,0.213,0.0,0.000,30424.445,52880.537,456159232.0,272068608.0,2812477440.0,3600871424.0,0.0,0.0
05-04 16:13:26,7.033,5.115,84.399,3.453,0.0,0.0,0.0,716800.0,486731776.0,272080896.0,2812571648.0,3570192384.0,398.0,90.0
05-04 16:13:27,0.625,11.875,87.500,0.0,0.0,0.0,0.0,0.0,500834304.0,272080896.0,2812731392.0,3555930112.0,356.0,168.0
05-04 16:13:28,4.881,7.635,87.484,0.0,0.0,0.0,0.0,0.0,546750464.0,272080896.0,2812694528.0,3510050816.0,166.0,250.0
05-04 16:13:29,11.264,1.252,87.484,0.0,0.0,0.0,0.0,0.0,591904768.0,272080896.0,2812731392.0,3464859648.0,64.0,0.0
05-04 16:13:30,11.500,1.125,87.375,0.0,0.0,0.0,0.0,0.0,516296704.0,272080896.0,2812731392.0,3540467712.0,0.0,0.0
05-04 16:13:31,11.375,1.125,87.375,0.125,0.0,0.0,0.0,139264.0,557461504.0,272084992.0,2812731392.0,3499298816.0,190.0,0.0
05-04 16:13:32,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,591900672.0,272084992.0,2812731392.0,3464859648.0,0.0,70.0
05-04 16:13:33,11.640,0.876,87.484,0.0,0.0,0.0,0.0,0.0,519213056.0,272084992.0,2812731392.0,3537547264.0,64.0,0.0
05-04 16:13:34,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,557207552.0,272084992.0,2812731392.0,3499552768.0,0.0,0.0
05-04 16:13:35,11.640,0.876,87.484,0.0,0.0,0.0,0.0,0.0,592027648.0,272084992.0,2812731392.0,3464732672.0,190.0,0.0
05-04 16:13:36,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,522260480.0,272084992.0,2812731392.0,3534499840.0,0.0,70.0
