[7l----system---- ----total-cpu-usage---- -dsk/total- ------memory-usage----- -net/total-
     time     |usr sys idl wai hiq siq| read  writ| used  buff  cach  free| recv  send
03-04 12:57:35|  3   2  93   2   0   0| 551k  875k| 423M  191M 2665M 3532M|   0     0 
03-04 12:57:36|  6   6  84   4   0   0|   0   696k| 453M  191M 2665M 3502M| 166B   90B
03-04 12:57:37|  7   6  88   0   0   0|   0     0 | 472M  191M 2665M 3482M| 372B  168B
03-04 12:57:38| 11   1  87   0   0   0|   0     0 | 468M  191M 2665M 3486M| 458B  250B
03-04 12:57:39| 11   2  87   0   0   0|   0    76k| 463M  191M 2665M 3491M|  64B    0 
03-04 12:57:40| 11   1  87   0   0   0|   0     0 | 462M  191M 2665M 3492M|   0     0 
03-04 12:57:41| 11   1  87   0   0   0|   0   152k| 461M  191M 2665M 3493M|  64B    0 
03-04 12:57:42| 11   2  87   0   0   0|   0     0 | 461M  191M 2665M 3493M| 126B   70B
03-04 12:57:43| 11   2  87   0   0   0|   0     0 | 481M  191M 2665M 3473M|  64B    0 
03-04 12:57:44| 11   2  88   0   0   0|   0     0 | 481M  191M 2665M 3473M|   0     0 
03-04 12:57:45| 11   2  88   0   0   0|   0     0 | 475M  191M 2665M 3479M|  64B    0 
03-04 12:57:46| 11   2  87   0   0   0|   0     0 | 472M  191M 2665M 3482M| 126B   70B
03-04 12:57:47| 11   1  87   0   0   0|   0    12k| 472M  191M 2665M 3482M|  64B    0 
03-04 12:57:48| 11   2  87   0   0   0|   0     0 | 471M  191M 2665M 3483M|   0     0 
03-04 12:57:49| 11   2  87   0   0   0|   0     0 | 463M  191M 2665M 3491M|  64B    0 
03-04 12:57:50| 11   2  88   0   0   0|   0   368k| 463M  191M 2665M 3492M|   0     0 
03-04 12:57:51| 11   1  87   0   0   0|   0     0 | 462M  191M 2665M 3493M|  64B    0 
03-04 12:57:52| 11   2  87   1   0   0|   0    20k| 461M  191M 2665M 3494M|   0     0 
03-04 12:57:53| 11   2  87   0   0   0|   0     0 | 481M  191M 2665M 3473M|  64B    0 
03-04 12:57:54| 11   2  88   0   0   0|   0     0 | 481M  191M 2665M 3474M|   0     0 
03-04 12:57:55| 11   2  87   0   0   0|   0   144k| 472M  191M 2665M 3482M|  64B    0 
03-04 12:57:56| 11   2  88   0   0   0|   0     0 | 472M  191M 2665M 3482M|   0     0 
03-04 12:57:57| 10   2  88   0   0   0|   0    56k| 432M  191M 2665M 3522M|  64B    0 
