"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/isa_l_rs/microbench-encode-16MB-9.csv",,,,"Date:","05 Apr 2016 16:33:29 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
05-04 16:33:29,9.332,2.476,87.907,0.284,0.0,0.000,30708.528,73521.511,498946048.0,288481280.0,2828070912.0,3526078464.0,0.0,0.0
05-04 16:33:30,5.0,5.769,85.256,3.974,0.0,0.0,0.0,819200.0,527667200.0,288514048.0,2828115968.0,3497279488.0,166.0,168.0
05-04 16:33:31,1.250,11.250,87.500,0.0,0.0,0.0,0.0,0.0,547659776.0,288514048.0,2828341248.0,3477061632.0,372.0,340.0
05-04 16:33:32,3.0,9.625,87.375,0.0,0.0,0.0,0.0,0.0,587128832.0,288514048.0,2828341248.0,3437592576.0,458.0,0.0
05-04 16:33:33,7.009,5.757,87.234,0.0,0.0,0.0,0.0,0.0,595308544.0,288514048.0,2828345344.0,3429408768.0,64.0,0.0
05-04 16:33:34,7.125,5.500,87.375,0.0,0.0,0.0,0.0,12288.0,590159872.0,288514048.0,2828345344.0,3434557440.0,0.0,0.0
05-04 16:33:35,7.009,5.507,87.484,0.0,0.0,0.0,0.0,0.0,585408512.0,288514048.0,2828345344.0,3439308800.0,64.0,70.0
05-04 16:33:36,7.615,4.994,87.266,0.125,0.0,0.0,0.0,147456.0,579694592.0,288514048.0,2828345344.0,3445022720.0,126.0,0.0
05-04 16:33:37,7.125,5.500,87.375,0.0,0.0,0.0,0.0,0.0,574615552.0,288514048.0,2828345344.0,3450101760.0,0.0,0.0
05-04 16:33:38,6.750,5.875,87.375,0.0,0.0,0.0,0.0,0.0,569917440.0,288514048.0,2828345344.0,3454799872.0,64.0,0.0
05-04 16:33:39,7.250,5.375,87.375,0.0,0.0,0.0,0.0,167936.0,564330496.0,288514048.0,2828345344.0,3460386816.0,0.0,70.0
05-04 16:33:40,7.625,5.0,87.375,0.0,0.0,0.0,0.0,0.0,559378432.0,288514048.0,2828345344.0,3465338880.0,190.0,0.0
05-04 16:33:41,6.758,5.882,87.109,0.250,0.0,0.0,0.0,69632.0,557301760.0,288514048.0,2828345344.0,3467415552.0,0.0,0.0
05-04 16:33:42,7.250,5.250,87.500,0.0,0.0,0.0,0.0,0.0,600457216.0,288514048.0,2828345344.0,3424260096.0,64.0,0.0
05-04 16:33:43,6.884,5.632,87.484,0.0,0.0,0.0,0.0,0.0,595251200.0,288514048.0,2828345344.0,3429466112.0,0.0,0.0
05-04 16:33:44,7.500,5.125,87.375,0.0,0.0,0.0,0.0,4096.0,590172160.0,288514048.0,2828345344.0,3434545152.0,64.0,0.0
05-04 16:33:45,6.875,5.750,87.375,0.0,0.0,0.0,0.0,0.0,585220096.0,288514048.0,2828345344.0,3439497216.0,0.0,0.0
05-04 16:33:46,7.500,5.125,87.0,0.375,0.0,0.0,0.0,32768.0,579760128.0,288514048.0,2828345344.0,3444957184.0,64.0,0.0
