"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/jerasure_rs_cauchy/microbench-encode-64MB-8.csv",,,,"Date:","05 Apr 2016 16:53:56 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
05-04 16:53:56,9.290,2.530,87.889,0.291,0.0,0.001,30134.690,76525.554,511381504.0,293154816.0,2834661376.0,3502379008.0,0.0,0.0
05-04 16:53:57,5.732,5.987,84.713,3.567,0.0,0.0,0.0,839680.0,541552640.0,293179392.0,2834866176.0,3471978496.0,308.0,168.0
05-04 16:53:58,1.253,11.278,87.469,0.0,0.0,0.0,0.0,0.0,557834240.0,293183488.0,2834894848.0,3455664128.0,522.0,250.0
05-04 16:53:59,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,570150912.0,293183488.0,2834915328.0,3443326976.0,166.0,90.0
05-04 16:54:00,0.125,12.782,87.093,0.0,0.0,0.0,0.0,0.0,580161536.0,293183488.0,2834915328.0,3433316352.0,64.0,0.0
05-04 16:54:01,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,592584704.0,293183488.0,2834915328.0,3420893184.0,0.0,0.0
05-04 16:54:02,0.125,12.500,86.625,0.750,0.0,0.0,0.0,147456.0,606949376.0,293183488.0,2834915328.0,3406528512.0,190.0,70.0
05-04 16:54:03,1.0,11.500,87.500,0.0,0.0,0.0,0.0,0.0,708788224.0,293183488.0,2834915328.0,3304689664.0,0.0,0.0
05-04 16:54:04,9.0,3.625,87.375,0.0,0.0,0.0,0.0,0.0,708530176.0,293183488.0,2834919424.0,3304943616.0,64.0,0.0
05-04 16:54:05,9.500,3.0,87.500,0.0,0.0,0.0,0.0,0.0,721809408.0,293183488.0,2834919424.0,3291664384.0,0.0,0.0
05-04 16:54:06,8.761,3.755,87.484,0.0,0.0,0.0,0.0,352256.0,793153536.0,293183488.0,2834919424.0,3220320256.0,190.0,70.0
05-04 16:54:07,9.0,3.500,87.500,0.0,0.0,0.0,0.0,282624.0,660946944.0,293183488.0,2834919424.0,3352526848.0,0.0,0.0
05-04 16:54:08,8.521,3.885,87.218,0.376,0.0,0.0,0.0,20480.0,708530176.0,293187584.0,2834915328.0,3304943616.0,64.0,0.0
05-04 16:54:09,9.125,3.375,87.500,0.0,0.0,0.0,0.0,0.0,708530176.0,293187584.0,2834915328.0,3304943616.0,0.0,0.0
05-04 16:54:10,8.886,3.630,87.484,0.0,0.0,0.0,0.0,0.0,749060096.0,293187584.0,2834919424.0,3264409600.0,64.0,0.0
05-04 16:54:11,8.500,4.0,87.500,0.0,0.0,0.0,0.0,0.0,621895680.0,293187584.0,2834919424.0,3391574016.0,0.0,0.0
05-04 16:54:12,9.0,3.625,87.375,0.0,0.0,0.0,0.0,0.0,681836544.0,293187584.0,2834919424.0,3331633152.0,64.0,0.0
05-04 16:54:13,8.875,3.625,87.500,0.0,0.0,0.0,0.0,0.0,708517888.0,293187584.0,2834919424.0,3304951808.0,0.0,0.0
05-04 16:54:14,9.387,3.129,87.234,0.250,0.0,0.0,0.0,20480.0,708517888.0,293187584.0,2834919424.0,3304951808.0,64.0,0.0
05-04 16:54:15,8.761,3.755,87.484,0.0,0.0,0.0,0.0,0.0,769753088.0,293187584.0,2834919424.0,3243716608.0,0.0,0.0
05-04 16:54:16,8.614,3.995,87.391,0.0,0.0,0.0,0.0,0.0,640405504.0,293187584.0,2834919424.0,3373064192.0,0.0,0.0
05-04 16:54:17,8.761,3.755,87.484,0.0,0.0,0.0,0.0,0.0,702664704.0,293187584.0,2834919424.0,3310804992.0,64.0,0.0
05-04 16:54:18,9.0,3.500,87.500,0.0,0.0,0.0,0.0,0.0,708509696.0,293187584.0,2834919424.0,3304960000.0,0.0,0.0
05-04 16:54:19,9.148,3.258,87.594,0.0,0.0,0.0,0.0,0.0,722296832.0,293187584.0,2834919424.0,3291172864.0,64.0,0.0
05-04 16:54:20,8.989,3.620,87.016,0.375,0.0,0.0,0.0,12288.0,795230208.0,293187584.0,2834919424.0,3218239488.0,0.0,0.0
05-04 16:54:21,8.636,3.880,87.484,0.0,0.0,0.0,0.0,0.0,661688320.0,293187584.0,2834919424.0,3351781376.0,64.0,0.0
05-04 16:54:22,8.875,3.625,87.500,0.0,0.0,0.0,0.0,0.0,708509696.0,293187584.0,2834919424.0,3304960000.0,0.0,0.0
05-04 16:54:23,9.488,3.121,87.391,0.0,0.0,0.0,0.0,0.0,708509696.0,293187584.0,2834919424.0,3304960000.0,64.0,0.0
05-04 16:54:24,9.023,3.383,87.594,0.0,0.0,0.0,0.0,0.0,734748672.0,293187584.0,2834919424.0,3278721024.0,0.0,0.0
05-04 16:54:25,8.750,3.875,87.375,0.0,0.0,0.0,0.0,0.0,764133376.0,293187584.0,2834919424.0,3249336320.0,64.0,0.0
05-04 16:54:26,8.614,3.870,86.642,0.874,0.0,0.0,0.0,172032.0,665153536.0,293187584.0,2834919424.0,3348316160.0,0.0,0.0
05-04 16:54:27,8.886,3.630,87.484,0.0,0.0,0.0,0.0,0.0,708575232.0,293187584.0,2834919424.0,3304894464.0,64.0,0.0
05-04 16:54:28,9.375,3.125,87.500,0.0,0.0,0.0,0.0,0.0,708571136.0,293187584.0,2834923520.0,3304894464.0,0.0,0.0
05-04 16:54:29,8.761,3.755,87.484,0.0,0.0,0.0,0.0,0.0,755458048.0,293187584.0,2834923520.0,3258007552.0,64.0,0.0
05-04 16:54:30,8.625,3.875,87.500,0.0,0.0,0.0,0.0,0.0,627888128.0,293187584.0,2834923520.0,3385577472.0,0.0,0.0
05-04 16:54:31,8.761,3.755,86.608,0.876,0.0,0.0,0.0,184320.0,682397696.0,293187584.0,2834923520.0,3331067904.0,64.0,0.0
05-04 16:54:32,8.886,3.630,87.484,0.0,0.0,0.0,0.0,0.0,708571136.0,293187584.0,2834923520.0,3304894464.0,60.0,0.0
05-04 16:54:33,9.125,3.375,87.500,0.0,0.0,0.0,0.0,0.0,708571136.0,293187584.0,2834923520.0,3304894464.0,124.0,0.0
05-04 16:54:34,9.387,3.129,87.484,0.0,0.0,0.0,0.0,0.0,780615680.0,293187584.0,2834923520.0,3232849920.0,60.0,0.0
05-04 16:54:35,8.875,3.625,87.500,0.0,0.0,0.0,0.0,0.0,649265152.0,293187584.0,2834923520.0,3364200448.0,124.0,0.0
05-04 16:54:36,8.647,3.759,87.093,0.501,0.0,0.0,0.0,69632.0,708538368.0,293187584.0,2834923520.0,3304927232.0,60.0,0.0
05-04 16:54:37,8.989,3.620,87.391,0.0,0.0,0.0,0.0,0.0,708538368.0,293187584.0,2834923520.0,3304927232.0,244.0,0.0
05-04 16:54:38,9.250,3.375,87.375,0.0,0.0,0.0,0.0,0.0,735793152.0,293187584.0,2834923520.0,3277672448.0,120.0,0.0
05-04 16:54:39,8.385,4.005,87.610,0.0,0.0,0.0,0.0,0.0,723714048.0,293187584.0,2834923520.0,3289751552.0,244.0,0.0
05-04 16:54:40,8.739,3.995,87.266,0.0,0.0,0.0,0.0,0.0,668483584.0,293187584.0,2834923520.0,3344982016.0,240.0,0.0
05-04 16:54:41,9.0,3.500,87.500,0.0,0.0,0.0,0.0,81920.0,708538368.0,293187584.0,2834923520.0,3304927232.0,364.0,0.0
05-04 16:54:42,9.524,3.008,87.218,0.251,0.0,0.0,0.0,12288.0,709038080.0,293187584.0,2834923520.0,3304427520.0,300.0,0.0
05-04 16:54:43,9.238,3.371,87.391,0.0,0.0,0.0,0.0,0.0,749318144.0,293187584.0,2834923520.0,3264147456.0,244.0,0.0
05-04 16:54:44,8.772,3.634,87.594,0.0,0.0,0.0,0.0,0.0,724025344.0,293187584.0,2834923520.0,3289440256.0,180.0,0.0
05-04 16:54:45,8.989,3.620,87.391,0.0,0.0,0.0,0.0,0.0,668442624.0,293187584.0,2834923520.0,3345022976.0,184.0,0.0
05-04 16:54:46,9.637,2.879,87.484,0.0,0.0,0.0,0.0,0.0,708988928.0,293187584.0,2834923520.0,3304476672.0,60.0,0.0
05-04 16:54:47,9.262,3.254,87.484,0.0,0.0,0.0,0.0,0.0,708988928.0,293187584.0,2834923520.0,3304476672.0,64.0,0.0
05-04 16:54:48,8.500,4.0,87.125,0.375,0.0,0.0,0.0,12288.0,749772800.0,293191680.0,2834923520.0,3263688704.0,0.0,0.0
