"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/jerasure_rs_vand/microbench-encode-64MB-2.csv",,,,"Date:","05 Apr 2016 16:03:49 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
05-04 16:03:49,7.968,2.231,89.506,0.295,0.000,0.000,31614.569,71646.404,501723136.0,281632768.0,2809458688.0,3548762112.0,0.0,0.0
05-04 16:03:50,4.701,5.718,85.006,4.574,0.0,0.0,0.0,733184.0,523476992.0,281632768.0,2809540608.0,3526926336.0,230.0,168.0
05-04 16:03:51,2.378,10.138,87.484,0.0,0.0,0.0,0.0,0.0,545431552.0,281632768.0,2809778176.0,3504734208.0,308.0,250.0
05-04 16:03:52,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,558133248.0,281632768.0,2809798656.0,3492012032.0,522.0,90.0
05-04 16:03:53,0.0,12.734,87.266,0.0,0.0,0.0,0.0,0.0,567889920.0,281632768.0,2809798656.0,3482255360.0,0.0,0.0
05-04 16:03:54,0.0,12.516,87.484,0.0,0.0,0.0,0.0,0.0,583000064.0,281632768.0,2809798656.0,3467145216.0,64.0,0.0
05-04 16:03:55,0.125,12.500,87.375,0.0,0.0,0.0,0.0,0.0,595505152.0,281632768.0,2809798656.0,3454640128.0,0.0,70.0
05-04 16:03:56,0.125,12.375,87.0,0.500,0.0,0.0,0.0,139264.0,612909056.0,281636864.0,2809798656.0,3437232128.0,190.0,0.0
05-04 16:03:57,9.262,3.129,87.610,0.0,0.0,0.0,0.0,0.0,786472960.0,281636864.0,2809802752.0,3263664128.0,0.0,0.0
05-04 16:03:58,9.500,3.0,87.500,0.0,0.0,0.0,0.0,0.0,760614912.0,281636864.0,2809802752.0,3289522176.0,64.0,0.0
05-04 16:03:59,8.886,3.630,87.484,0.0,0.0,0.0,0.0,0.0,732979200.0,281636864.0,2809802752.0,3317157888.0,0.0,70.0
05-04 16:04:00,9.125,3.375,87.500,0.0,0.0,0.0,0.0,0.0,704454656.0,281636864.0,2809802752.0,3345682432.0,190.0,0.0
05-04 16:04:01,8.886,3.504,87.109,0.501,0.0,0.0,0.0,16384.0,698990592.0,281636864.0,2809802752.0,3351146496.0,0.0,0.0
05-04 16:04:02,9.500,3.125,87.375,0.0,0.0,0.0,0.0,0.0,698990592.0,281636864.0,2809802752.0,3351146496.0,64.0,0.0
05-04 16:04:03,9.011,3.379,87.610,0.0,0.0,0.0,0.0,0.0,698990592.0,281636864.0,2809802752.0,3351146496.0,0.0,0.0
05-04 16:04:04,9.512,3.004,87.484,0.0,0.0,0.0,0.0,634880.0,698990592.0,281636864.0,2809802752.0,3351146496.0,64.0,0.0
05-04 16:04:05,9.375,3.125,87.500,0.0,0.0,0.0,0.0,0.0,698990592.0,281636864.0,2809802752.0,3351146496.0,0.0,0.0
05-04 16:04:06,9.136,3.379,87.234,0.250,0.0,0.0,0.0,20480.0,698990592.0,281636864.0,2809802752.0,3351146496.0,64.0,0.0
05-04 16:04:07,9.762,2.753,87.484,0.0,0.0,0.0,0.0,0.0,683679744.0,281636864.0,2809802752.0,3366457344.0,0.0,0.0
05-04 16:04:08,9.750,2.750,87.500,0.0,0.0,0.0,0.0,0.0,659410944.0,281636864.0,2809802752.0,3390726144.0,64.0,0.0
05-04 16:04:09,9.273,3.133,87.594,0.0,0.0,0.0,0.0,274432.0,639270912.0,281636864.0,2809802752.0,3410866176.0,0.0,0.0
05-04 16:04:10,9.488,3.121,87.391,0.0,0.0,0.0,0.0,0.0,624726016.0,281636864.0,2809802752.0,3425411072.0,64.0,0.0
